Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities,Appliances,Elevator,Room Area,Balcony,Floor,Links
House,Stone,550 sq.m.,3,7,3+,Euro Renovation,1000 sq.m.,Yerevan › Nork-Marash,"$4,000 monthly",USD,"A 3-storey luxurious and unique private house is for rent in Nork Marash, on Armenak Armenakyan street.The building area is 550 square meters.The area of the land is 1000 square meters.Ceiling height: 3 m.It is fully repaired and has a unique design. It is heated by a gas boiler, air conditioners are installed.Interior and room doors are made of wood, the floor of the bedrooms is covered with parquet.The house is completely equipped with modern and original accessories.It consists of a living room, 4 bathrooms, a kitchen, 3 open balconies with a beautiful view of the garden, 5 bedrooms, a laundry room.In the basement there is a large hall with billiards and tennis tables.The house is very bright due to its three-sided location.The area is fenced, has a beautiful, green yard, where in one part there is a swimming pool, and in the other part there is a summer kitchen with its pavilion, closed and open parking lot.There are different types of and fruit and decorative trees in the yard.Code 4041429Translated from Armenian",Nov-24-2022_22-46,Available,3 or more spots,8+,Yes,No,Not included,By Agreement,,,,,,,https://list.am/en/item/17658004
House,Monolith,200 sq.m.,2,4,2,Designer Renovation,300 sq.m.,"Dzor 1, Yerevan","$3,500 monthly",USD,"Capitally renovated apartment in design style, heating system, air conditioner, necessary furniture and equipment. For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-46,Available,2 spots,6,No,Yes,Not included,1 month,,,,,,,https://list.am/en/item/17726231
House,Monolith,380 sq.m.,3,5,3+,Designer Renovation,150 sq.m.,"Noy District, Yerevan","$3,000 monthly",USD,"Трёхэтажный дом, Ной микрорайон в Малатия Себастии, 380 кв. М. , 3 + ванные, дизайнерский ремонт. 3000$",Nov-24-2022_22-46,Available,2 spots,5,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/18057692
House,Monolith,250 sq.m.,2,4,2,Designer Renovation,500 sq.m.,"Barbyus Street, Yerevan","$3,500 monthly",USD,"Сдается в аренду с дизайнерским ремонтом 2 этажный дом. Система отопление, кондиционер, интернет, необходимы мебель и бытовая техника, во дворе бассейн, мангал, беседка. По вопросам звоните.",Nov-24-2022_22-46,Available,3 or more spots,6,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/17719693
House,Stone,400 sq.m.,3,4,3+,Designer Renovation,200 sq.m.,"Davidashen 3-rd block, Yerevan","$1,500 monthly",USD,"Сдается двухэтажный отремонтированный частный дом в Давташене. Жилая площадь дома 200 кв. М, площадь земельного участка 400 кв. М.В нем 2 гостиные, 3 спальни, 3 ванные комнаты, кухня, 2 балкона, гараж, барбекю, бесетка, погреб, красивый сад.Дом оборудован всеми коммуникациями и техникой.Дается только на длительный срок. 1000$Կոդ 1234",Nov-24-2022_22-46,Available,2 spots,5,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18248599
Townhouse,Monolith,270 sq.m.,2,5,2,Euro Renovation,650 sq.m.,"Davtashen 1st Block 1, Yerevan","$2,000 monthly",USD,"Առանձնատունը կահավորված է ու համալրված գույքով ու տեխնիկայովԿոնդիցիոներ, ջեռուցման համակարգ, բացօթյա ավտոկայանատեղի, այգի պտղատու ծառերով, տունը Ազատ կլինի Սեպտեմբերի 1֊ից 2022թThe house is furnished and equipped with furniture and appliancesAir conditioning, heating system, outdoor parking, garden with fruit trees, the house will be free from September 1, 2022خانه مبله و مجهز به مبلمان و لوازم خانگی استتهویه مطبوع ، سیستم گرمایشی ، پارکینگ در فضای باز ، باغ با درختان میوه ، این خانه از اول سپتامبر سال 2020 رایگان خواهد بود.",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/16493180
Townhouse,Stone,950 sq.m.,3,6,3+,Euro Renovation,500 sq.m.,"Vahram Papazyan street, Yerevan","$4,000 monthly",USD,"430քմ. Բնակելի մակերեսով և 500 ք. Մ. Մակերեսով կից հողատարածքով։ Առանձնատունը կապիտալ վերանորոգված է համապատասխան վերջին եվրոպական ատանդարտներին։ Ունի 2 նախասրահ, մեծ խոհանոց իր հյուրասենյակով, ընդարձակ ճաշասենյակ, 5 ննջասենյակ, հանդերձասենյակ, 6 սանհանգույց, 2 մեծ բաց պատշգամբ: Ապահովված է բոլոր կոմունալ հարմարություններով։ Տեղադրված է ջեռուցման անհատական համակարգ, ինչպես նաև օդորակիչներ։ Առանձնատունը ամբողջությամբ կահավորված է հարմարավետ և ժամանակակից կահույքով, ապահովված է անհրաժեշտ տեխնիկայով։Բակում առկա է ամառային խոհանոց, լողավազան: Ավտոկայանատեղի նախատեսված 2 մեքենայի համար: Առանձնատունը ամբողջությամբ պարսպապատ է:430 sq. M. Living area և 500 sq. M. Մ. With adjacent land. The house is fully renovated in accordance with the latest European standards. It has 2 halls, a large kitchen with its living room, a spacious dining room, 5 bedrooms, a dressing room, 6 bathrooms, 2 large open balconies. It is provided with all the communal facilities. Individual heating system is installed, as well as air conditioners. The house is fully furnished with comfortable, modern furniture, provided with the necessary equipment. In the yard there is a summer kitchen, a swimming pool. Parking for 2 cars. The house is completely fenced.430 متر مربع مساحت و 500 متر مربع م با زمین مجاور. این خانه مطابق آخرین استانداردهای اروپا کاملاً بازسازی شده است. دارای 2 سالن ، یک آشپزخانه بزرگ با اتاق نشیمن خود ، یک اتاق غذاخوری بزرگ ، 5 اتاق خواب ، یک اتاق رختکن ، 6 حمام ، 2 بالکن بزرگ باز. با تمام امکانات عمومی فراهم شده است. سیستم گرمایشی فردی و همچنین کولرهای گازی نصب شده است. این خانه کاملاً با مبلمان راحتی و مدرن و با تجهیزات لازم مبله شده است. در حیاط یک آشپزخانه تابستانی ، استخر وجود دارد. پارکینگ برای 2 ماشین. خانه کاملاً حصارکشی شده است.",Nov-24-2022_22-46,Available,Not available,8+,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/16493045
House,Monolith,200 sq.m.,2,5,2,Designer Renovation,200 sq.m.,"Duryan street, Yerevan","$2,500 monthly",USD,"Сдается 2 этажный дом дизайнерским ремонтом, с площадью 250квм, 5 отделение спальни, система отопления, кондиционер, большой двор, дом находится в Аване на улице Петроса Дурян",Nov-24-2022_22-46,Available,2 spots,6,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/17613762
House,Monolith,580 sq.m.,3,8+,3+,Designer Renovation,280 sq.m.,Yerevan › Arabkir,"$4,500 monthly",USD,"Որպես գրասենյակ ցանկության դեպքում կկահավորվի որպես տուն-Եվրովերանորոգում – euro repaired-Ջեռուցում - heating-Արևկողմ և լուսավոր- sunny and brigtՀասանելի ենք օրը 24 ժամ, սիրով կպատասխան ենք բոլոր հարցերին զանգահարեք կամ գրեքViber / Whatsapp /",Nov-24-2022_22-46,Available,3 or more spots,8+,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/12802923
House,Stone,120 sq.m.,1,3,1,Cosmetic Renovation,30 sq.m.,"Aygestan 9th street, Yerevan","450,000 ֏ monthly",AMD,"For long-term or daily rent, 4 rooms, 4 rooms, 4 rooms, 4 roomsKitchens: 1, bathrooms: 2 combined, bedrooms: 3, large hall, building type: Stone, condition: Capital renovated, parking space: Stone garage, windows: European kitchens, pipes: New, electrical wiring: New, floor: Presgranite, metal tile New European, external door: Iron, individual heating system, constant water, electricity, gas, cooling system: Air conditioner#2 room#3 room#1 room#4 room#5 room#6 room#7 room#apartment #private house #own house#sale #apartment #house #Tower #very urgent#space #sale #rent #center #Yerevan #Armenia #agency #real estate #house #apartment #renovated #clean #apartments #luxuryhouse #penthouse #realestetagency #realtor #broker #dreamhome #dreamhouseCode 6725Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/14451742
House,Panels,120 sq.m.,1,4,1,Designer Renovation,700 sq.m.,"Դավթաշենի 7-րդ փողոց 2, Երևան","$2,300 monthly",USD,The house is renovated. Complete with necessary property and equipment. Heating is carried out by a gas boiler (Baxi)It has a large and fruit garden.Code AV0364Translated from Armenian,Nov-24-2022_22-46,Available,1 spot,6,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/18140876
House,Stone,180 sq.m.,2,6,2,Major Renovation,250 sq.m.,"Davit Bek street, Yerevan","$1,400 monthly",USD,"A fully renovated private house is for long-term rent in Erebuni community, on Davit Bey Street. The house has 6 bedrooms, bathrooms, everything necessary, furniture, appliances, constant water, gas, heating system.Translated from Armenian",Nov-24-2022_22-46,,,6,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/18327822
House,Stone,150 sq.m.,2,4,2,Designer Renovation,300 sq.m.,"Աջափնյակ Գ-1, Երևան","$2,200 monthly",USD,"The house is renovated. Complete with necessary property and equipment. Heating is carried out by a gas boiler (Baxi), air conditioner. It has 2 bathrooms and an open balcony. It has a pool outside.Code AV0346Translated from Armenian",Nov-24-2022_22-46,Available,1 spot,6,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/18164507
House,Stone,400 sq.m.,3,7,3+,Major Renovation,100 sq.m.,"Sarmen street 64, Yerevan","$3,000 monthly",USD,Сдается на долгосрочную! Аренду 3х этажный дом с гаражом. Есть садовый участок. С открытого балкона открывается прекрасный вид на город. Для дополнительной информации звоните. Агенство.,Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/17811576
House,Stone,90 sq.m.,1,2,1,Euro Renovation,,"Ծխախոտագործների փողոց 10/2, Երևան","250,000 ֏ monthly",AMD,"Տունը գտնվում է երեք հարկանի սեփական տան առաջին հարկում, ամբողջովին վերանորոգված, ունի տաք և սառը ջուր շուրջօրյա, գազաֆիկացված, ամբողջական կոմունալ հարմարություններով (խահանոցային գույք, հյուրասենյակի կահավորանք, ննջասենյակի կահավորանք, WiFi ինտերնետ, հեռուստացույց կաբելային) ։Պատերը հաստ են, որի շնորհիվ ձմեռը հեշտ տաքացվում է իսկ ամռանը զով է։Дом расположен на первом этаже трехэтажного частного дома, полностью отремонтирован, круглосуточно горячая и холодная вода, газификация, полные коммуникации (шкафы, мебель для гостиной, мебель для спальни, WiFi интернет, кабельное ТВ)Стены толстые, благодаря чему легко обогревать зимой и охлаждать летом.Translated from Armenian",Nov-24-2022_22-46,Available,Not available,4,Yes,No,Not included,1 month,"TElevision, internet","MIcrowave, washing machine",,,,,https://list.am/en/item/17617010
House,Stone,1000 sq.m.,2,8+,2,Partial Renovation,,"Forest Street 47, Yerevan","$4,000 monthly",USD,"Վարձով է տրվում սեփական տուն Երևանի Կենտրոնում, բոլոր հարմարություններով, մասնակի նոր վերանորոգված: Ունի մեծ հողամաս և 2 ավտոտնակ: Հարմար է հյուրանոցի, հոսթելի, օֆիսային տարածքի համար: Տրվում է երկարաժամկետ: Նաև վաճառվում է:Сдается в аренду собственный дом в Центре Еревана, со всеми удобствами, с частичным ремонтом. Имеются также большой земельный участок и два гаража. Дом может служить в качестве отеля, мотеля, офиса и т. Д. Сдается на долговременный срок. Также продается.Private house for rent in the city center, with all amenities, partially newly renovated. Has a large land and 2 garages. Suitable for hotel, hostel, office space and e. T. C. The house is given for a long term rent.Also for sale.",Nov-24-2022_22-46,,,8+,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/16137018
House,Stone,60 sq.m.,1,2,1,Euro Renovation,100 sq.m.,"Nork 2-nd street, Yerevan","20,000 ֏ daily",AMD,"A newly built house in Nork Marash community is for daily rent. The house is renovated and furnished. Call for details.Available for daily rent: 20,000 AMD/day or for long-term rent: 300,000 AMD/month.Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/18139360
House,Stone,240 sq.m.,3,6,3+,Cosmetic Renovation,400 sq.m.,"Նոյ թաղամաս 41, Երևան","$2,500 monthly",USD,"If desired, it can be furnished within 3 days, in which case the rent will be $3,500.A private house is for rent on Vagharshyan street.The mansion:• Has a yard and a garden,• It is equipped with utilities (gas, hot water, individual heating system)• Has a parking space for 2 cars,• It has a basement and 120 square meters. Garage.The property is also for sale, with a selling price of $400,000.Contact us for more information, our specialists will answer all your questions.ID 12-0063Translated from Armenian",Nov-24-2022_22-46,By agreement,3 or more spots,7,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/18362913
House,Stone,205 sq.m.,2,6,2,Major Renovation,200 sq.m.,"Sarmen street 66, Yerevan","$2,500 monthly",USD,"A 2-storey private house in the center is for rent. The house is fully furnished, equipped with necessary utilities and individual heating system. The house has a yard, a wide balcony, 5 bedrooms and 2 bathrooms. There is a parking space for 1 car in the area.Code 12-0024Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/18170427
House,Stone,382 sq.m.,3,8+,3+,Major Renovation,270 sq.m.,"Արմենակ Արմենակյանի փողոց 81, Երևան","$4,000 monthly",USD,"A luxurious, three-storey private house is for rent on Armenak Armenakyan street. Comfortable իան excellent option for a large family. The house is fully renovated, furnished and equipped with the necessary equipment. The house has a parking lot, a spacious yard, three bathrooms, a Jacuzzi, a sauna and a security system.Code 12-0053Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/17834052
House,Stone,400 sq.m.,2,7,3+,Designer Renovation,1200 sq.m.,"Tairov street, Yerevan","65,000 ֏ daily",AMD,"A 6-room, three-story luxury house is for daily rent in Parakar, next to Carrefour, to organize your complete rest. There is furniture and appliances, all kitchen utensils, heating system, swimming pool,Mangal, green zone, parking for 7 carsCode 8838Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/14562015
House,Monolith,300 sq.m.,2,5,3+,Euro Renovation,1000 sq.m.,"Vahagni street, Yerevan","$5,000 monthly",USD,"A beautiful and luxurious private house is for rent in Vahagn district, with all the communal facilities, a swimming pool, a summer pavilion and a beautiful garden. Price is negotiable.Code 013438Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/16764695
House,Stone,380 sq.m.,2,8+,3+,Designer Renovation,750 sq.m.,"Nazarbekyan block, Yerevan","$6,000 monthly",USD,"Բարի գալուստ «The Embassy»: Այն գտնվում է Երևանի ամենաբացառիկ վարչական համայնքում, որը հայտնի է որպես Աջափնյակի G1 թաղամաս: Ֆրանսիական շատոյի ոճով կառուցված այս առանձնատունը գտնում է Հանրապետության հրապարակից մոտ 10 րոպե վարելու հեռավորության վրա և անմիջական ելք ունի դեպի «Հյուսիս֊հարավ» ավտոմայրուղի, որը Հայաստանի ամենակարևոր և ամենամեծ ավտոմայրուղին է:Առանձնատան մակերեսը կազմում է մոտ 380 մ2 (4.100 ֆտ2) ՝ կառուցված 750 մ2 (8.100 ֆտ2) ընդարձակ հողամասի վրա: Ամբողջ տարածքը առանձնացված է մարմարե պատերով և սյուներով: Առանձնատան երկու հարկերը նույնպես երեսպատված են մարմարե սալիկներով: Այն ունի 4 ննջարան և 4 լոգասենյակ: Ինտերյերը նախագծված է լավագույն ֆրանսիական ճարտարապետական ոճով՝ ամբողջությամբ մարմարե հատակով և քարե կառուցվածքով պատերով: Ամբողջ տան բոլոր հատակները ջեռուցվող են:Առաջին հարկում են գտնվում նրբագեղ խոհանոցը և ճաշասենյակը, ինչպես նաև պաշտոնական ոճով հյուրասենյակը, ընտանեկան սենյակը, ինչպես նաև մեկ մեծ ննջարան՝ կից լոգարանով և հյուրերի համար նախատեսված առանձին սանհանգույցով: Երկրորդ հարկը ներառում է 1 x մեծ ննջարան՝ կից լոգարանով և 2 x լրացուցիչ ննջարաններ՝ ամբողջական լոգարանով և լվացքասենյակով, ինչպես նաև բաց պլանի ընդարձակ վարչական գրասենյակ՝ դեպի Արարատ նայող առանձին պատշգամբով: Պարտեզը պարուրված է գեղեցիկ բուսականությամբ և բացառիկ առանձնությամբ, տեղադրված են ժամանակակից տեսախցիկներ:Առանձնատունը ամբողջությամբ կահավորված է և տրվում է երկարաժամկետ վարձակալության:Խնդրում ենք կապ հաստատել՝Լևոն Նազարյան (Կանադա կամ ԱՄՆ)Հարութ Բաղդասարյան (Հայաստան)Welcome to ""The Embassy"". Located in Yerevan's most exclusive executive community, known as ""G1"" Taxamas in Ajapnyak. This French Chateau inspired mansion is approximately 10 minute drive to Republic Square and has immediate access to the, ""North-South Highway"", Armenia's most vital and largest highway.This mansion is approximately 380 Sq. M. (4,100 Sq. Ft.) sitting on 750 Sq. M. (8,100 Sq. Ft.) of spacious land. The entire estate is privately gated with marble walls and columns. The mansion itself is cladded with marble stone slabs on 2 stories. It consists of 4 bedrooms and 4 washrooms. The interior is designed with the finest French Architectural design with marble floors throughout and stone construction walls. All floors are heated throughout the house.The first floor consists of an elegant kitchen and dining room, along with a formal living room, family room, as well as a Master Bedroom with ensuite washroom and an additional powder room for all guests. The second floor consists of 1 x Master Bedroom with ensuite washroom and 2 x additional bedrooms with full washroom and laundry room, along with an expansive executive open-concept office with private balcony overlooking Mt. Ararat. The garden is immersed with beautiful greenery and exceptional privacy with state of the art surveillance cameras.The Mansion is fully furnished and looking for long term tenancy.Please contact:Levon Nazarian (Canada or U. S. A.)Harut Bagdasaryan (Armenia)",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/17116170
House,Monolith,250 sq.m.,2,4,3+,Designer Renovation,100 sq.m.,"Avan-Arinj 2nd micro, Yerevan","$3,000 monthly",USD,"CODE AV250Agent-Lena4-room spacious, beautiful private house for sale. The house has 2 floors. On the 1st floor there is a living room, kitchen, 1 bedroom, 1 bathroom. On the 2nd floor: 3 bedrooms, 1 MASTERBEDROOM, 1 shared bathroom and open balconies. The mansion has a beautiful yard and a beautiful view.===== (4 rooms, 250 sq/m) =====The utilities available inside the mansion are:• Permanent hot and cold water,• Gas, gas stove, gas oven,• TV, Internet, Wi-Fi, 3 bathrooms,• Refrigerator, Washing machine,• Dishes, linens,• Iron door, 2 open balconies.===== Monthly: $2000-$3000=====Dear customers, you can also contact usViber, WhatsApp, Telegram // Lux GroupTranslated from Armenian",Nov-24-2022_22-46,Available,2 spots,5,Yes,No,Not included,By Agreement,,,,,,,https://list.am/en/item/18362776
House,Stone,200 sq.m.,1,3,1,Partial Renovation,300 sq.m.,Yerevan › Shengavit,"250,000 ֏ monthly",AMD,"The house is in good conditionLong-term rental available, call for more information!Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/18231868
Townhouse,Monolith,90 sq.m.,2,3,2,Designer Renovation,800 sq.m.,Yerevan › Nubarashen,"220,000 ֏ monthly",AMD,Fully renovated and furnished...Translated from Armenian,Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/18362766
House,Panels,44 sq.m.,4+,2,1,Designer Renovation,,"Ծովակալ Իսակովի պողոտա 4, Երևան","15,000 ֏ daily",AMD,Capital has been renovated. With all facilities. (conditioner wifi) ka:Translated from Armenian,Nov-24-2022_22-46,,Not available,3,Yes,Yes,Included,By Agreement,,,,,,,https://list.am/en/item/18089588
House,Stone,400 sq.m.,2,7,2,Euro Renovation,,"Nubarashen 6th street 1/2, Yerevan","500,000 ֏ monthly",AMD,"Euro-renovated house in the newly built district of Nubarashen community, the newly built apartment is for long-term and daily rent, the surrounding area and the residential area are also available in separate sections, for details, call the indicated phone numbers500,000 per month, in case of short-term renting, the prices are differentTranslated from Armenian",Nov-24-2022_22-46,Available,1 spot,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17976181
House,Stone,750 sq.m.,1,4,1,Designer Renovation,600 sq.m.,"Gusan Sheram Street 76/5, Yerevan","50,000 ֏ daily",AMD,"A fabulous entertainment place in Yerevan...Hold your event at our comfortable and beautiful Villa Nors, a closed container for various events for 10-40 people, with overnight accommodation for 5-7 people.Prices start from AMD 50,000.At Villa Nors, all conditions are created for a full and pleasant vacation.The house has 2 living rooms, 2 bedrooms, kitchen with all facilities,furniture, music recorder, swimming pool, mangal (skewers), table tennis, summer kitchen, backgammon, chess...In short, everything you needed._For detailed information and reservation, you can call the following phone numbers:Call in advance for reservations.Also, the private house is for long-term rent.For more information, you can call or follow our pagesFacebook Villa Nors:Instagram Villa_Nors:Villa Nors.Translated from Armenian",Nov-24-2022_22-46,,,8+,Yes,Yes,Included,By Agreement,,,,,,,https://list.am/en/item/13766711
House,Stone,120 sq.m.,1,4,1,Euro Renovation,,"Դավթաշենի 10-րդ փողոց 87/1, Երևան","750,000 ֏ monthly",AMD,Own house for rent also with daily rent.Translated from Armenian,Nov-24-2022_22-46,,,6,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/18346224
House,Stone,140 sq.m.,2,4,2,Euro Renovation,,"Tumanyan street, Yerevan","600,000 ֏ monthly",AMD,"Two-story private house for rent in Avan district!The apartment is renovated, has all the necessary facilities, has 3 bedrooms, 2 bathrooms.Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/18362650
House,Stone,200 sq.m.,3,4,2,Cosmetic Renovation,300 sq.m.,Yerevan › Kentron,"$2,000 monthly",USD,"Urgently for rent own house in the center, 4 rooms, 200 square meters, renovated, furnished. The price is 2000 dollarsTranslated from Armenian",Nov-24-2022_22-46,By agreement,3 or more spots,5,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/13935968
House,Stone,300 sq.m.,2,8+,2,Designer Renovation,60 sq.m.,"Nork 5-th street, Yerevan","$6,000 monthly",USD,"The most elegant and uninhabited private house is for rentNork, 2 floors, 5 rooms, 6 bathroomsseparately 360 square metersspecial subtle colors, high-end fixtures and fittingsis given long-termWe are waiting with loveTranslated from Armenian",Nov-24-2022_22-46,Available,Not available,5,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/14197730
Country House,Stone,240 sq.m.,2,6,2,Euro Renovation,1200 sq.m.,"2-я улица Норка 44/2, Ереван","500,000 ֏ monthly",AMD,Есть постоянная горячая и холодная вода. Team tv и wi-Fi. Болшой сад и гораж. Можно и 30000 на день.,Nov-24-2022_22-46,Available,1 spot,7,Yes,No,Not included,2 months,"TElevision, internet","FRidge, stove, microwave, dishwasher, washing machine, iron, hair dryer",,,,,https://list.am/en/item/17959222
Townhouse,Stone,320 sq.m.,1,4,2,Designer Renovation,,"Արարատյան փողոցի 2-րդ նրբանցք 1, Երևան","$1,800 monthly",USD,"VERY CHEAP FROM THE MARKET URGENTLY for sale or rent in the 3rd part, long-term with the first and last installments, also with daily rent for at least 5 days, the daily fee is 40,000 drams, at a much lower price than the market, a high-quality private house with all its amenities, it is located very closeShengavit and Garegin Nzhdeh Metro stations are only (300) meters away, there are schools, kindergartens, SUPER MARKETS, 2 TAXI SERVISE services nearby, the house is located on a very safe and closed street, completely renovated, stone fence, toaster + barbecue kitchen, automated doors-gate, intercom, gate with wrought iron arches, car parking outside the house and in the inner yard, the whole area with interesting lighting design solutions and high security systems, video recording systems, automatic watering system, beautiful English lawn, 2 high-quality bathrooms On the 1st floor, high quality kitchen equipped with the latest appliances, separate entrances, double doors, euro windows, permanent water, gas + 2 separate baxi systems, heated floor, 2 different operators ucom + beeline with all its systems wifi, internet, tv, phone nomber, a separate sputnik antenna, the whole house is furnished and equipped with the highest electrical equipment, it has a beautiful design solution with large shoes, etc... , not an agency, I am the owner, call for REAL details, the price is final.Translated from Armenian",Nov-24-2022_22-46,,Not available,4,Yes,No,By Agreement,1 month,,,,,,,https://list.am/en/item/17509576
House,Stone,120 sq.m.,1,3,1,Designer Renovation,350 sq.m.,"Ներքին Շենգավիթի 13-րդ փողոց 1, Երևան","70,000 ֏ monthly",AMD,"Please read to the end and then call.For rent, own building with completely renovated design solutions.It is equipped with state-of-the-art equipment and a security system. With a heating system. Has natural gas. Internet. Modern garage. Garden. Chulan.It is close to bus stop number twenty. Family, Orange, Bonus, Inessa supermarkets are nearby.GIVEN ONLY FOR ONE OR TWO GIRLS... 70000 for one and 130000 for both.Why is it affordable because my mother will also live there? She is a very modern, good-looking, kind-hearted, housewife. 52 years old will also help you in every matter.For the details of the questions, please call or write to the Viber hotline of the mentioned phone numbers, because I am outside the country.Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/18142260
House,Stone,450 sq.m.,2,5,3+,Designer Renovation,600 sq.m.,"Nazarbekyan block, Yerevan","$3,500 monthly",USD,"Aренда: Двухэтажный частный дом в Аджапняке по улице Назарбекяна, имеет 5 комнат, 4 санузла, есть открытый и закрытый балкон, парковка, бассейн красивый двор. Сдается не менее 6 месяцев.Аренда: $3,500Код SR354.Для подробности свяжитесь с нами.",Nov-24-2022_22-46,Available,2 spots,7,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/18303453
House,Monolith,500 sq.m.,2,6,3+,Designer Renovation,1600 sq.m.,"Vahagni street, Yerevan","$10,000 monthly",USD,"A newly built private house is for rent in Vahagn district ․,Rooms: 6:Building area: 500 square meters. ,The land area is 1600 square meters.Bathroom: 4Parking:Floor: 2 floorsThe house is fully furnished.For more information callCode - SR044:Translated from Armenian",Nov-24-2022_22-46,Available,2 spots,7,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/17438631
House,Stone,300 sq.m.,2,6,2,Major Renovation,400 sq.m.,"Mush District, Yerevan","$4,000 monthly",USD,"Code 621225-room house for rent in Malatia-Sebastia, Mush district.^ House built in 2021-22, unoccupied^ Has a basement of 100 square meters^ Permanent water, sewage, gas, underfloor heating throughout the house, automatic gates, the latest video equipment and intercom,^ A beautiful view of Yerevan Park opens from the balcony^ The building is on 10/10, it has a spacious yard of 300 square meters^ Comes furnished^ All amenities for living are available^ It's a sunny, bright house at any time of the day^ There are all the necessary shops, a school, a kindergarten nearbyTranslated from Armenian",Nov-24-2022_22-46,,,4,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/17804341
House,Stone,250 sq.m.,1,3,2,Designer Renovation,70 sq.m.,"Nalbandyan street, Yerevan","$2,000 monthly",USD,"Beautiful private house in the center, on Nalbandyan street3 bathrooms, 3 bedrooms.Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/16353465
House,Monolith,650 sq.m.,1,7,2,Designer Renovation,,"Noy District, Yerevan","$3,500 monthly",USD,"CODE-15253330:Noy district 2-storey private housebakery, sauna, swimming pool650 square meters of property + equipmentTranslated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/15253330
House,Stone,400 sq.m.,3,8+,3+,Euro Renovation,,"Davit Bek street 103, Yerevan","$4,000 monthly",USD,"Կոդ--14163956Առանձնատունը կապիտալ նորոգված է, ունի կոմունալ բոլոր հարմարությունները, համալրված է անվտանգության և ինտերնետային համակարգերով, ունի 6 ննջարան յուրաքանչյուրում տեղադրված են օդորակիչներ: Առանձնատունն ունի 2 հեռակառավարվող դարպասներ՝ 6 սանհանգույց, 2 խոհանոց բուխարի, շոգեբաղնիք, 200քմ ընդհանուր մակերեսով ավտոտնակ, որը կարող է ծառայել նաև որպես արտադրամաս, փակ լողավազան, խնամված այգիներ: Բնակելի մակերեսը 400քմ, ընդհանուր հողի մակերեսը 2000քմ:",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/14163956
House,Stone,800 sq.m.,3,8+,3+,Designer Renovation,,"Babayan street, Yerevan","$9,000 monthly",USD,"Code - 14154387:Luxurious 3-storey private house is located in Arabkir community, on Babayan street; Has a beautiful yard, swimming pool parking, modern property and equipment; Given only for the long term;Translated from Armenian",Nov-24-2022_22-46,,,,,,,,,,,,,,https://list.am/en/item/14154387
