Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
Agricultural,"10,000 sq.m.",Lorri › Stepanavan,"2,000,000 ֏",AMD,Arable land in Vardablur villageTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/18284893,
For Residential Development,1000 sq.m.,Lorri › Stepanavan,"1,500,000 ֏",AMD,"A plot of land near the house is for sale, 500 meters from Vardablur lakes.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18158118,
For Residential Development,800 sq.m.,Lorri › Gyulagarak,"2,900,000 ֏",AMD,"Land for residential buildings with fruit trees is located in c. In Gulagarak, electricity, water and gas are right next door. NegotiableTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17992794,
For Public Buildings,210 sq.m.,"Տարոն-4 թաղամաս, Վանաձոր","3,000,000 ֏",AMD,"The land is in the center, very suitable for any buildingTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17345741,
For Public Buildings,200 sq.m.,Lorri › Vanadzor,"$7,500",USD,Land near the house or public significance (vtc) is for sale. With the polytechnic at the entrance. Do not offer closed exchangeTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/16103889,
Agricultural,7000 sq.m.,Lorri › Vahagni,300 ֏,AMD,"Tnamerdz, varelahox, MEK METRI ARJEK@ 300-DRAM",Nov-25-2022_01-05,https://list.am/en/item/14069045,
Agricultural,1700 sq.m.,Lorri › Margahovit,"$2,600",USD,Land for sale in Xhangot... 1700 m. K.Translated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/18298857,
Agricultural,3700 sq.m.,Lorri › Arjut,"4,000 ֏",AMD,"Rural land, very suitable for planting a gardenTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17401283,
For General Purpose,1200 sq.m.,Lorri › Vanadzor,"$8,000",USD,"A plot of land near the house in the Shahumyan community, on which there is a half-built building of 155 square meters, there are fruit treesTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18311847,
For Public Buildings,400 sq.m.,Lorri › Gugark,"4,000,000 ֏",AMD,Exchange of public significanceTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/17751127,
Agricultural,1800 sq.m.,Lorri › Vanadzor,"$8,000",USD,"On the Vanadzor Spitak road, on the road in the vicinity of the GARDEN exchangeTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/15881092,
For General Purpose,"10,200 sq.m.",Lorri › Dsegh,"$60,000",USD,"One ha is for sale in Dsegh village. Land, of general purpose, in a beautiful place, with a beautiful view, on the edge of the valley, from where a beautiful view opens: Debedi gorge and Tufenkyan hotel. The location is suitable for tourism and hotel business. An observation post will be built at the mouth of the plot of land. Call for questions. Exchange with an apartment in Yerevan is also possible.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17028082,
For Residential Development,1000 sq.m.,Lorri › Dsegh,"$7,200",USD,"A plot of land near the house is for sale in the village of Dsegh, convenient location, 1000 square meters. Call for details. Price $7,200;Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17049313,
For General Purpose,300 sq.m.,Lorri › Spitak,"2,000,000 ֏",AMD,"For sale: LandShirak marz, c. Jajur300 square meters Total areaFruit treesCan serve as a recreation areaSuitable as an area for setting up shedsOne can engage in agricultural workBring landIt also provides an opportunity to set up summer pavilionsThe area is located next to the highwayA zone suitable for eco-toursYou can build your country house in the lap of natureSale price: 2,000,000 AMDCode 5132Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18044221,
For Residential Development,6000 sq.m.,"Թևոսյան նրբանցք, Վանաձոր","$89,000",USD,"Land for residential buildings at Tevosyan 2 (former Robot area) in Vanadzor, 17000 sq. M, for sale in parts, 1 square meter. M. AMD 5,900.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18154572,
For Public Buildings,2500 sq.m.,Lorri › Stepanavan,"$25,000",USD,Land intended for development.Translated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/18316691,
For General Purpose,600 sq.m.,Lorri › Vanadzor,"$2,000",USD,Продается земельный участок по адресу село. Шаумян 6 улица 1 переулок 5 (600 кв. М) Село находится вблизи г. Ванадзора,Nov-25-2022_01-05,https://list.am/en/item/15202173,
For Residential Development,1200 sq.m.,Lorri › Dsegh,"$13,500",USD,"Գտնվում է գյուղի ներսում, առկա է ջուր, գազ",Nov-25-2022_01-05,https://list.am/en/item/18150968,
Agricultural,"10,000 sq.m.",Lorri › Spitak,"$5,000",USD,"Республика Армения, Лорийская область, г. Спитак, село Аржовит (Курсали) - продается земельный участок, назначение: Сельскохозяйственное, эксплуатационное назначение или тип земли: Пашня. Размер участка 1.086576 га, право собственности.Հայաստանի հանրապետություն, Մարզ Լոռի, քաղաք Սպիտակ, գյուղ Արջհովիտ (Ղուրսալի) - վաճառվում է հողատարածք, Նպատակային նշանակությունը՝ գյուղատնտեսական, Գործառնական նշանակությունը, կամ հողատեսքը՝ վարելահող։ Մակերեսի չափը 1.086576 հա, սեփականության իրավունքով.",Nov-25-2022_01-05,https://list.am/en/item/18301703,
For General Purpose,1000 sq.m.,Lorri › Vanadzor,"$6,000",USD,"Land 1000 meters, Lori region, Shahumyan community (14 streets), near Vanadzor (Vardanlu), in front of Mush restaurant. There is irrigation water, fruit trees.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/16562343,
For Residential Development,400 sq.m.,Lorri › Vanadzor,"$20,500",USD,"Տնամերձ հողատարածքը գտնվում է Վանաձոր թաղամասում, ունի բոլոր հարմարությունները - խմելու ջուր, գազ, հոսանք, կոյուղի, ունի երկու մուտք տարբեր փողոցներից։ Գինը պայմանագրային։",Nov-25-2022_01-05,https://list.am/en/item/11992975,
For Residential Development,1000 sq.m.,Lorri › Gyulagarak,"6,000,000 ֏",AMD,"The land is located on the river bank. Suitable for building a house, summer house or other recreation area. It is free from any building. The land is actually bigger, 1000 square meters are for sale, more can be sold if desired. Price is negotiable.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17869557,
For Residential Development,600 sq.m.,Lorri › Alaverdi,"2,500,000 ֏",AMD,"Տնամերձ հողատարածք Օձունի կենտրոնում, ակումբից վերև, ելքը դեպի գլխավոր փողոց:",Nov-25-2022_01-05,https://list.am/en/item/11779058,
For Residential Development,1145 sq.m.,"Vahagni street, Yerevan","$437,000",USD,"A land is for sale in Vahagni, one of the ecologically cleanest closed districts of Yerevan.The area of the land is 1145 square metersSignificance: Residential constructionThe land has an angular position. It is located in the already built part of the district. Due to the location, a wonderful view opens to Mount Ararat. Foundation works have been carried out on the land. All communications are within easy reach.Kind Regards #asatryanconsulting team:The best for you!Best for you!Luchshee for you!Lo mejor para ti!The best for you!最 适合 您Code 17857858Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17857858,
For General Purpose,500 sq.m.,"Գարեգին Նժդեհ 2-րդ նրբանցք, Վանաձոր","$4,000",USD,"Land for sale in Gugark community, 1 street, 1 alley, 6On the way to Old Gugark13.5x37 500 sq. M.$ 4,000 negotiableGeneral use:Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17579425,
For Public Buildings,117 sq.m.,"Շինարարների փողոց 4, Վանաձոր","3,200,000 ֏",AMD,"A business plot of 117 sq/m is for sale near the 4th building of Vanadzor Shinararner Street. Suitable for shop, laundry, warehouse, guest house and other business structures. For more information call:Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18217664,
For General Purpose,1200 sq.m.,Lorri › Gyulagarak,"$8,000",USD,Land for sale. The price is negotiable.Translated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/18220421,
For Public Buildings,34 sq.m.,"Usanogakan street 5, Vanadzor","1,100,000 ֏",AMD,The area is suitable for a pharmacy or a shopTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/17745863,
For General Purpose,3000 sq.m.,Lorri › Jrashen,"$17,000",USD,"Շտապ!Հողատարածքը գտնվում է Ջրաշեն գյուղում, Լոռու մարզ:Ունի ջուր (կողքով անցնում է գետակ), հոսանք և գազ:Հողատարածքը կարող է օգտագործվել ցանկացած նպատակի համար՝ սկսած գյուղատնտեսությունից ավարտված ոչխարաբուծությունից և արդյունաբերությունից ։Հարցերի դեպքում կարող եք ուղարկել email / կամ զանգահարել:The land is located in Jrashen village, Lori marz.It has water (river passes next to the land), electricity and gas.The land can be used for any purpose, from agriculture to sheep breeding and industry.In case of questions, you can send an email / or call me directly.",Nov-25-2022_01-05,https://list.am/en/item/18022330,
For Residential Development,1590 sq.m.,"Erevanyan street, Tashir","$25,000",USD,"Տաշիրի քաղաքապետարանի մոտ, բաղկացած է 2 մասիցՏնամերձ - 720 քմորից 161 քմ բնակելի տուն,1-2 = 20 մետր2-3 = 36 մետր3-4 = 19.8 մետր4-5 = 13.2 մետր5-1 = 17.8 մետրՏնամերձ - 870 քմորից 171 քմ բնակելի տուն1-2 = 42.4 մետր2-3 = 21.4 մետր3-4 = 39 մետր4-5 = 20 մետր",Nov-25-2022_01-05,https://list.am/en/item/12014750,
For Public Buildings,100 sq.m.,"Բոնդրևի փողոց 1, Ստեփանավան","$5,500",USD,"I am selling 100 sq. M. M. Land in the city of Stepanavan, next to the sports school.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18274662,
For Residential Development,500 sq.m.,"Улица Вардананц 26, Ванадзор","$33,000",USD,"The land is located next to Charles Aznavour Culture Palace, Vardanants 3rd alley.500 sq. M. 13 m front, high quality building material 100 sq. M. Foundation, 50 sq. M. Basement, for a two-storey private house.The land has a newly built water line, sewerage line and electricity.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17841019,
For General Purpose,1800 sq.m.,"Шоссе Лори 7/1, Ванадзор","$75,000",USD,"The land is located next to the river, there is a building on the landTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17841024,
For Residential Development,1640 sq.m.,Lorri › Haghpat,"$30,000",USD,"I am selling my own land 1640 m. It is located in the beginning of Haghpat village, near Gayane and Kefyan hotels. It is suitable for building a hotel complex or a recreation area. There are fruit trees in the plot, there is drinking and irrigation water. A gas pipe passes near the plot.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/16884989,
For Residential Development,1640 sq.m.,Lorri › Haghpat,"$30,000",USD,"Private land is for sale in Haghpat village, it is located near Gayane hotel, it is suitable for building a hotel complex or a recreation area. There are fruit trees, water on the land, the gas pipeline passes by the land.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/16884997,
For Residential Development,600 sq.m.,Lorri › Vanadzor,"$6,500",USD,Փոխանակվում է հողատարածք ք. Վանաձորում Տարոն 3 Շրջադարձային 11 հասցեում մեքենայի հետ` Ձեր կողմից հավելավճարով։,Nov-25-2022_01-05,https://list.am/en/item/15826745,
For General Purpose,50 sq.m.,"Ռուսթավի փողոց 4, Վանաձոր","$3,000",USD,"2 adjoining plots of land for sale. Any 50 sq. M. It has a two-story building permit. It is suitable for any building (shop, hall, house)Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18261166,
For Residential Development,700 sq.m.,Lorri › Stepanavan,"$9,000",USD,"The land is located on the 2nd line, it is suitable for building a summer house.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18000183,
Agricultural,2000 sq.m.,Lorri › Lori Berd,"369,057 ֏",AMD,"The property is in the RACP auction.Lori region, Berdum village, 2000 square meters, arable land, which is aridYou can also purchase the presented property through lending by the Bank, with the current lending terms and rates.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18248442,
For General Purpose,6000 sq.m.,Lorri › Dsegh,"9,000,000 ֏",AMD,A land of 6000 m is for sale on the slopes of Dsegh village. Price ել Call for detailsTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/17171816,
For General Purpose,1200 sq.m.,"Yerevan highway, Vanadzor","$32,000",USD,"It is located 7 km away from Vanadzor, on the way to Dilijan. The building is 13 meters long and 6.5 meters wide. Negotiable.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17657181,
For General Purpose,55 sq.m.,"Украинская улица 12, Ванадзор","$4,500",USD,"Земля для общего назначения, 60 м, около улицы, около школы 30.Можно построить и дом и магазин и мойка и салон все что хотите кроме завода",Nov-25-2022_01-05,https://list.am/en/item/17951689,
For Public Buildings,80 sq.m.,Lorri › Vanadzor,"$8,000",USD,"The land is located at the beginning of Vanadzor Spitak road, next to the Melissa furniture salon.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18047626,
For Residential Development,900 sq.m.,Lorri › Vanadzor,"$12,000",USD,1.5 hark 4 սենյակ.ՀոսանքՋուրԳազտարածքումԲզովդալ Դուց չաստի կողքը,Nov-25-2022_01-05,https://list.am/en/item/13390338,
For Residential Development,2600 sq.m.,Lorri › Alaverdi,"$40,000",USD,"Summer house with 2600 square meters of land, on the banks of the Debed River. The house needs to be repaired, 4 rooms.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17889178,
For Residential Development,163 sq.m.,Lorri › Shirakamut,"$7,310,000",USD,"Для жилой стройки, без ремонта",Nov-25-2022_01-05,https://list.am/en/item/18224075,
For Residential Development,348 sq.m.,Lorri › Shirakamut,"$1,000",USD,Участок для хозяйства,Nov-25-2022_01-05,https://list.am/en/item/18222680,
For General Purpose,"15,000 sq.m.",Lorri › Vanadzor,"62,000,000 ֏",AMD,Можно использовать сельскохозяйственных и промышленных целях.,Nov-25-2022_01-05,https://list.am/en/item/18088783,
For Residential Development,632 sq.m.,"Աբովյան փողոց, Վանաձոր","$50,000",USD,"Land for sale, 632 m. K. , is located at the beginning of Vanadzor district, near the new church. The area is located on the sidewalk, it is also suitable for building a business center, it has a garden, at the end of the plot, in 2021. A stone summer kitchen was built. All utilities are available. 2021 In order to build a house and a shopping center, I took a building permit and a project. 2022 The foundations and pillars of the house were built.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17174217,
For Public Buildings,90 sq.m.,Lorri › Vanadzor,"$14,000",USD,"90 sq / m (5x18 m) land for public buildings is for sale in the center of the city, near the intersection of Batumi and Zoryan streets, near the 2nd (Gugark) polyclinic.Exchange is possible.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17385737,
For Residential Development,20 sq.m.,Lorri › Vanadzor,"$5,500",USD,"Adjacent to the new hospital near the old hospital, the area is privatized, you can build 2 floors, urgently exchange it with a carTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17795601,
For Residential Development,500 sq.m.,Lorri › Vanadzor,"$32,000",USD,"URGENT:Karbyshev str. 28 years Vanadzor district, Second central street, connecting Miasnikyan and Abovyan streets.A block of houses not far from the city park.Land adjacent to the street. The house is subject to repair.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18193756,
For Residential Development,1700 sq.m.,"Tumanyan street, Stepanavan","$17,000",USD,"It is located in the village of Gyulagarak, near the arboretum. For details, call: The picture has nothing to do with the areaTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/16419464,
For Residential Development,1390 sq.m.,Lorri › Vardablur,"$3,500",USD,"Земля находится в деревне Вардаблур, в очень живописном месте не далеко от Церкви. Общая площадь 1390 кв. М. Для жилой застройки (տնամերձ)",Nov-25-2022_01-05,https://list.am/en/item/16705863,
For General Purpose,1200 sq.m.,Lorri › Haghpat,"9,600,000 ֏",AMD,"Permanent water, orchard, flat areaTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17727066,
Agricultural,9000 sq.m.,Lorri › Dsegh,"$25,000",USD,"Land for sale, 9000 square meters. 2 of the plots are gardens with fruit trees, the 3rd is arable land. Urgent sale. Real buyers should call, the price is $3 per square meter.The plots are also sold separately, negotiable in case of a real buyer.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17902323,
For Public Buildings,2000 sq.m.,Lorri › Stepanavan,"$25,000",USD,The land is located on Stepanavan-Yerevan highway. I will exchange it with an equivalent car.Translated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/16942787,
For General Purpose,6200 sq.m.,"Vardanants Street, Vanadzor","$40,000",USD,"The land is located next to the Vanadzor-Dilijan highway, near Tezh Mountain, the front part is 200m. It is suitable for hotel, restaurant business or other similar activities. There are 50-60 trees in the area. It is possible to sell both completely and in parts. 1 square meter: $7.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18133874,
For General Purpose,1800 sq.m.,Lorri › Vanadzor,"$5,500",USD,"The first floor of the building is covered, there are separate panels in the area, there are fruit trees, the price was negotiated in exchange for a car.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/16843343,
For Public Buildings,180 sq.m.,Lorri › Vanadzor,"19,000,000 ֏",AMD,"The land is located in the center of Vanadzor, next to the Artsakh park, the central library, it is intended for public development, public + residential development is also possible, it is suitable for any business activity, it also has the possibility of expansion with real estate.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18439709,
For Public Buildings,24 sq.m.,"Տավրոսի 1-ին փողոց 61, Վանաձոր","$1,000",USD,"An unowned plot of land measuring 3.5*6m is for sale, located in Taron 4 district, 61 sh. NearTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18524910,
Agricultural,2300 sq.m.,Lorri › Arjut,"$1,200",USD,"I am selling arable land in the village of Arjut, at the end of the village. A little more than the cadastral price) You can calculate all the costs yourself.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18467756,
For Public Buildings,940 sq.m.,Lorri › Spitak,"$50,000",USD,"940 sq/m plot of land for sale Spitak Alek Manukyan 14, next to the Monument. Price: 50,000 USD.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18420523,
For Public Buildings,4000 sq.m.,Lorri › Stepanavan,"$36,000,000",USD,0100393B:4000 square meters of industrial land for sale in StepanavanTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18015007,
For Public Buildings,115 sq.m.,Lorri › Vanadzor,"$35,000",USD,Suitable for shops in public facilitiesTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18616476,
For General Purpose,3000 sq.m.,Lorri › Spitak,"$30,000",USD,"Call for details, price negotiableTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18724726,"Electricity, water supply, natural gas, sewerage"
For Public Buildings,3000 sq.m.,"Երևանյան խճուղի, Վանաձոր","21,000,000 ֏",AMD,"3000 square meters of public land with a half-built building is for sale. The area is located in the 15th kilometer of the Vanadzor-Dilijan road section, in the center of Lermontovo village. It used to be the village club. Utilities are available. It is suitable for building a guest house, tea house, tourist place, as well as any business area.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18491680,
For Residential Development,1000 sq.m.,"Շահումյան 1-ին նրբանցք 1, Սպիտակ","2,000,000 ֏",AMD,"A plot of land near the house in Saralanj village of Spitak is for sale. Or exchanged for a car (Soviet does not care)Total area 1000 m. K.Call for details.40.87551°C, 44.10033°BTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18606954,"Electricity, water supply, natural gas, sewerage"
For General Purpose,"24,500 sq.m.",Lorri › Margahovit,"$45,000",USD,"Land plots for sale in Margahovit village. 10,000 m of arable land9000m grassland5500m near the house (4 units)1 square meter M 2 dollarsIn case of taking it as a whole, it is also subject to exchange with (a car or an apartment), there is irrigation water near the arable land. It is suitable for a greenhouse. It is possible to pay in installments.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18388064,
For Public Buildings,3000 sq.m.,Lorri › Vanadzor,"21,000,000 ֏",AMD,"A 3000 square meter plot of land with a half-built building is for sale. The area is located on the 15th kilometer of the Vanadzor-Dilijan road section, in the center of the Russian village of Lermontovo. It used to be the village club. Communal facilities are available.It is suitable for building a guest house, tea house or other tourist place.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18515083,
For Residential Development,800 sq.m.,Lorri › Haghpat,"$10,000",USD,"The land is near the house, it is located in the central part of the village (next to the main road), all utilities (water, gas, electricity) are close to the plot.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/17860285,
For General Purpose,2100 sq.m.,Lorri › Arjut,"$5,000",USD,Call for details (Negotiable)Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18655365,Water supply
For Residential Development,1560 sq.m.,Lorri › Spitak,"2,000,000 ֏",AMD,"A plot of land with fruit trees intended for residential construction is for sale. All communications pass through gas, electricity, sewerage. Trade-in with equivalent vehicle also availableTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18468823,
Agricultural,"12,000 sq.m.",Lorri › Dzoragyugh,"$120,000",USD,"The area is suitable for building a hotel and other recreational facilities. On the left bank of Dzoraget, 0.5 km away. Hnevank is 2 km away. The Tsits stone is also located nearby.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18617388,Water supply
For Industrial Use,3000 sq.m.,Lorri › Shnogh,"$100,000",USD,A stone workshop with all its facilities is for sale. It is in perfect condition. The price is negotiable. Real buyers callTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18720742,
For Residential Development,914 sq.m.,Lorri › Stepanavan,"$3,000",USD,A plot of land for residential construction is for sale. The land is located in Pushkino village of Stepanavan region.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18514610,
For Public Buildings,3984 sq.m.,Lorri › Vahagnadzor,"$30,000",USD,On the way to Vanadzor AlaverdiVahagnadzor Recreation area500 public 3484 Agricultural. I will exchangeTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/12902402,
For General Purpose,"20,000 sq.m.","Վիրահայոց փողոց 78, Ստեփանավան","$200,000",USD,"About 2 hectares of land with 1000 square meters of buildings is for sale at 3 of Virahyots Highway, Stepanavan.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18587409,"Electricity, water supply, natural gas, sewerage"
For Public Buildings,100 sq.m.,"Սուրեն Ավետիսյանի փողոց 7/6, Սպիտակ","3,000,000 ֏",AMD,"The price is final, not negotiable.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18654998,
For General Purpose,"16,000 sq.m.",Lorri › Gargar,"$30,000",USD,Arable land 1 hectare 6000 meters width 40 meters length 390 meters negotiableTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18570575,
For Residential Development,260 sq.m.,"Վահան Տերյան փողոցի 1-ին փակուղի, Վանաձոր","$20,000",USD,Located in the center of Vanadzor. Near the square. It has 2 entrances.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18640016,"Electricity, water supply, sewerage"
For Public Buildings,125 sq.m.,Lorri › Shnogh,"5,000,000 ֏",AMD,"The land is located on the side of the road, it is also possible to lower the land to level with the interstate road.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18626725,
For General Purpose,300 sq.m.,"Բաղրամյան փողոց 123, Ստեփանավան","$35,000",USD,"Commercial land for sale, with all utilities, intended for business activities. It is located on the interstate road. In the center of the city.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18411757,
For General Purpose,1650 sq.m.,Lorri › Odzun,"4,000,000 ֏",AMD,"Հողամասում առկա են բերքատու ծառեր, ունի 40մ քառակուսի կիսակառույց շինություն, հարմար է հանգստյան գոտի ստեղծելու համար։В площадке есть плодородные деревья, имеется полустройное здание площадь 40 метров в квадрате, удобно для создания зоны отдыха.",Dec-15-2022_22-13,https://list.am/en/item/18574098,
For Public Buildings,100 sq.m.,Lorri › Vanadzor,"3,500,000 ֏",AMD,Taron 4Crossroads of the Red CrossTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18658996,
For Public Buildings,5500 sq.m.,"2-րդ փողոց 8, Դեբետ","$70,000",USD,It is suitable for organizing food and service activities. Will be exchanged for real estate in Yerevan.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18665088,
For Public Buildings,2589 sq.m.,"4-րդ փողոց 1/3, Դեբետ","$30,000",USD,It will also be exchanged for a car. For more information call.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18646544,
For Residential Development,180 sq.m.,Lorri › Vanadzor,"3,000,000 ֏",AMD,"For residential buildings.Taron 4, near the football academyTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18454017,
For General Purpose,4000 sq.m.,Lorri › Lernapat,"$14,000",USD,"A house with its own plot is for sale in the village of Lori marz. In Lernapat, on the main road, the surface of the house is about 150 sq. M., The area of the land is about 4000 square meters. The land has fruit trees, irrigation water, barn, garage.The house has drinking water, gas, electricity, cable internetTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18714356,
For Residential Development,250 sq.m.,"Սանահին Սարահարթ թաղամաս, Ալավերդի","2,000,000 ֏",AMD,"There is a pantry in the garden, 23 square meters. M, provided with water, for details call...Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18405315,
For Public Buildings,300 sq.m.,Lorri › Debet,"$10,000",USD,"Land for sale in Pambak village, a plot of land next to the street, suitable for building a guest house, shop and similar buildings. Address: Lori region, Pambak village, Debed 10th street, 1st lane, plot 7. Call for more detailed informationWill trade for a car thoughTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18419482,
For Public Buildings,22 sq.m.,"Улица Гарегин Нжде 15, Степанаван","$2,700",USD,Area for saleTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18577538,
For Residential Development,1200 sq.m.,"Shahumyan 2nd street, Yerevan","7,000,000 ֏",AMD,"Land for sale near the central street, gas, electricity, water. Very suitable for a private houseTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18482413,
For Residential Development,950 sq.m.,"Forest Street, Stepanavan","$10,000",USD,Land clearing with its ready foundation.The space is located in G. In the bracket.CALL for other questions.The price is negotiable. Lori Marz Rukh Amrakits.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/17266381,"Electricity, water supply, natural gas, sewerage"
For Residential Development,600 sq.m.,Lorri › Stepanavan,"$12,000",USD,"A 600 sq. M. Apartment is for sale in the fresh and green city of Stepanvan, at the newly renovated 28 Eritasaka Street. M land area. The land can be used to build both a residential house and a hotel complex. A beautiful view of Arjasar opens from the area. All necessary documents are available, annual land taxes have been paid. There is a grocery store nearby. The area is close to all necessary communications (gas, water, electricity)Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18704815,"Electricity, water supply, natural gas, sewerage"
For Public Buildings,3000 sq.m.,Lorri › Pushkino,"6,000,000 ֏",AMD,"The land is located in the Stepanavan region, in the village of Pushkino, near the Arboretum. The location and location of the land allows it to be used as a residential development, as a public development and as a park. It is located near settlements, that is, all communications are available. The forest is only 100 meters away from the plot. The price is much lower than the market price, 6,000,000 drams, there is no closing.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18417135,
For General Purpose,1300 sq.m.,Lorri › Spitak,"$16,000",USD,"Garden, building for sale.Address: C. Spitak, Aygestan 2/88Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18702863,"Electricity, water supply, natural gas"
For General Purpose,9300 sq.m.,Lorri › Dsegh,"$40,000",USD,Common land for sale in Dsegh village. From the land there is a beautiful view of Lorva valley and Anushi rock. The land stretches along the valley.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18053342,
For Public Buildings,908 sq.m.,Lorri › Vanadzor,"$12,000",USD,Public construction land for sale at Hambardzumyan 3/85 (508 square meters) and 3/86 (400 square meters) The purpose is residential land. The land is located near residential buildings. NegotiableTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18473124,
For Residential Development,1500 sq.m.,Lorri › Pushkino,"$11,000",USD,"The plot of land is located in the village of Pushkino, next to a forest and a river. You can call for detailsTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18450712,
For Residential Development,727 sq.m.,"6-րդ փողոց, Գուգարք","$2,700",USD,"A plot of land for residential buildings is for sale in Gugark, 727 square meters. M. There is constant water, possibility of gas light.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18506415,
