Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Appliances,Window Views,Links
Panels,Yes,Available,9,76 sq.m.,3,1,from 2.6 m,1,Multiple balconies,,Major Renovation,"Квартал Кентрон 38, Раздан","15,000,000 ֏",AMD,"Продается 3х комнатная квартира, с капитальным ремонтом. Индивидуальная система Бакси. Постоянная горячая, и холодная вода. С обеих сторон балкона есть возможность переделать квартиру в магазин, парикмахерскую, офис и т. Д. Очень удобное местоположение дома. По соседству дом Правления, полицейский участок, шлолы, дет. Сады, мед. Колледж. Кадастровые услуги.",Nov-25-2022_12-56,,,,,https://list.am/en/item/17927745
Panels,No,Available,9,57 sq.m.,3,1,from 2.7 m,8,Not available,Not available,Partial Renovation,"Սևանի փողոց 5Բ, Աբովյան","$45,000",USD,"Urgent sale of a 2-room apartment, converted into 3 very comfortable rooms, the apartment is equipped with heating, round-the-clock water supply, the building has a sound system.HURRY HURRY HURRY!Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17835090
Stone,No,Not available,5,77 sq.m.,3,2,from 3 m,3,Closed balcony,By agreement,Euro Renovation,Kotayk › Byureghavan,"$57,000",USD,"3-room apartment is for sale in a stone building on 5/3 floor, sunny, bright, renovated apartment. The polyclinic, the post office, the kindergarten are nearby.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/16834147
Stone,No,Not available,1,300 sq.m.,6,1,from 2.7 m,1,Not available,,Euro Renovation,Kotayk › Abovian,"$80,000",USD,Call the numbers listedTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/15407015
Stone,Yes,Available,9,32 sq.m.,1,1,from 3 m,6,Open balcony,,Major Renovation,Kotayk › Tsakhkadzor,"$1,550",USD,"Tsakhkadzor V. Harutyunyan 2/10️ Renovated and furnished apartments️ Outdoor and indoor pool: Underground parking️ Gym and SPA️ Outdoor restaurant complex... AND a number of benefitsThere will be a concierge service in the complex, in case of no further residence you can rent the apartmentsThe complex will be ready in 2023. In the second half1 sq. M. The cost of $ 1550Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17948307
Stone,No,Not available,5,56 sq.m.,2,1,from 2.6 m,1,Closed balcony,By agreement,Old Renovation,"Hanrapetutian Avenue 12, Abovyan","$41,940",USD,"The house is located in c. In the center of Abovyan, on the main street, very little inland, close to the bus stop, in a quiet and peaceful place. There are no problems with the 1st floor: Humidity, noise... There is a small plot of land in front of the balcony. It is possible to extend the balcony, making the apartment 85-90 square meters, which can also serve various commercial purposes: Bank, hair salon, pharmacy, dental clinic, other medical clinic, etc.Квартира 2 комнатная Abovyan продается в центре Abovyan apartment 2 roomTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18172500
Stone,Yes,Not available,1,130 sq.m.,4,1,from 3 m,1,Multiple balconies,Not available,Partial Renovation,Kotayk › Kasagh,"$80,000",USD,"Շտապ վաճառվում է առանձնատուն Քասախ համայնքումեվրո պատուհաններԴարբնի մետաղական մուտքի դուռԳաջածՍանտեխմիկան քաշված էԱռաստաղի բարձրությունը 3,30տանիքը ամբողջովին մետաղական55քմ նկուղ (պադվալ) 10մ /5,5մ26քմ բաց բալկոն 3,5 լայնություն 7,5 երկարություն.Գազ. Ջուր. Լույս շատ մոտ.26քմ ավտոտնակ 3,3 լայնություն 7,5 երկարությունՎաճառվում է շատ շտապ!",Nov-25-2022_12-56,,GArage,,"YArd view, street view, park view",https://list.am/en/item/17544993
Stone,No,Not available,2,1300 sq.m.,8+,3+,from 3 m,2,Open balcony,,Euro Renovation,Kotayk › Abovian,"$160,000",USD,"A two-storey house is for sale in Balahovit village. The first floor windows are European windows. It is habitable, it has gas, water, light, sewerage, garage, 2 barns. Մ. Residential 347.q. M: NegotiableTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/15715799
Panels,No,Available,9,96 sq.m.,3,1,from 2.75 m,8,Closed balcony,By agreement,Major Renovation,"Mayak block 31, Yerevan","$85,000",USD,"A spacious 3-room apartment is for sale in the Mayak district of Jrvevezh, in the quietest part.• The apartment is fully renovated, equipped with high-quality furniture and appliances.• There is a closed balcony where you can spend your rest and enjoy the view of the city from the balcony.• Heating is carried out through an individual heating system.• The floors are covered with quality laminate.• The bathroom is tiled, the necessary plumbing equipment is available.• All necessary infrastructures are nearby: School, kindergarten, shops, etc.For other details, write or call the indicated numbers.The apartment is shown with a real estate showing contract.Service commission: 2% of selling priceCode VC030Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18117848
Panels,No,Available,9,73 sq.m.,3,1,from 2.8 m,9,Not available,Available,Partial Renovation,"4th microdistrict 49, Abovyan","$63,000",USD,"Բնականը գտնվում գերազանց վիճակում, արևկող է, դուռը երկաթյա։ Խոհանոցը, միջանցքը, սանհանգույցը ինչպես նաև շքամուտքը սալիկապատ է։ Ունի ներկառուցված պահարաններ։ Տանիքը վերանորոգված է։Ունի չուլան (кладовка) ։",Nov-25-2022_12-56,,,,,https://list.am/en/item/14479584
Stone,No,Not available,5,58 sq.m.,2,2,from 2.75 m,2,Multiple balconies,,Euro Renovation,Kotayk › Hrazdan,"$27,000",USD,2-room apartment with natural heating systemTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/18176219
Panels,No,Available,9,76 sq.m.,3,1,from 2.7 m,3,Closed balcony,Not available,Cosmetic Renovation,Kotayk › Abovian,"$60,000",USD,"A 3-room apartment is for sale in the city of Abovyan. The apartment is in a clean condition, the windows have been partially replaced, it has an individual heating system, the iron door is on the sunny side.We also work with home buyers with certificates and mortgages.You can read all our announcements by clicking on the right side - Good Offer. Thanks in advance:Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17611999
Stone,No,Not available,4,143 sq.m.,8+,2,from 2.8 m,1,Not available,Not available,No Renovation,"Քոչարի փողոց 4, Չարենցավան","$41,000",USD,"141 sq/m residential area, basement 20-30 sq/m, call for details.Next to the polyclinic - the first respect of the dormitory. Suitable as a warehouse, warehouse, mudTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/16836395
Panels,No,Available,9,57 sq.m.,2,1,from 2.7 m,2,Closed balcony,,Major Renovation,Kotayk › Hrazdan,"$30,000",USD,"Apartment for sale in Hrazds Micro, call for details.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17344801
Monolith,Yes,Available,14,102 sq.m.,3,2,from 3 m,3,Not available,,No Renovation,"Griboyedov street, Yerevan","$133,000",USD,"0500354The apartment is located near Sas supermarket, Griboyedov park, bright and comfortable apartment, paying the initial fee, you can pay the rest in monthly installments, call for details.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17770279
Stone,Yes,Not available,5,66 sq.m.,2,2,from 2.75 m,5,Multiple balconies,,Partial Renovation,Kotayk › Charentsavan,"$30,000",USD,"The apartment is on the sunny side, the living room has an additional part (niche), there is a storage room on the 5th floor of the entrance, the apartment is located in the 6th district. The apartment is sold together with the property in the house. Only real buyers will call.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/15737105
Stone,Yes,Not available,2,250 sq.m.,4,2,from 3 m,2,Open balcony,Available,Major Renovation,Kotayk › Zovuni,"$280,000",USD,"2-storey luxurious private house is for sale. The house is located next to the main road in Zovuni. At a distance of 3 kilometers from Davtashen. The total land area is 800 square meters. Մ. , living space - 250 sq. M. M.: The house is fully renovated, euro doors and windows are installed. It has 4 rooms, 1 kitchen and 2 bathrooms. The floor is covered with parquet. Has an open balcony, storage room, permanent water. In front of the house there is a beautiful garden, fruit trees. The whole area of the house is fenced. There is a parking lot in the yard, the house is for sale with furniture. Has a garage, exchange with a car or a newly built apartment for an additional fee.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/15176485
Stone,No,Not available,5,165 sq.m.,5,2,from 2.7 m,1,Closed balcony,,Designer Renovation,"Garni street, Abovyan","$85,000",USD,"For urgent sale, on the first floor of a stone building, with a separate entrance. Three-phase current, water and sewage separately. Iron door, heating system, two separate bathrooms, two closets. It can be lived in and used as a commercial space. Negotiable. We will also exchange for two separate apartments.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18137818
Stone,No,Not available,5,68 sq.m.,3,1,from 2.8 m,2,Closed balcony,,Old Renovation,Kotayk › Abovian,"$54,000",USD,"Address Garni 1 sh. Tsirani building, close to the school, the original super market, the market, real buyers should call, no exchangeTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18265925
Stone,No,Not available,3,54 sq.m.,3,1,from 2.5 m,1,Not available,By agreement,Partial Renovation,Kotayk › Mrgashen,"$27,000",USD,For sale in natural Mrgashen. The house is partially renovated.Translated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/17930911
Stone,No,Not available,1,84 sq.m.,3,1,from 2.7 m,1,Not available,,Major Renovation,"Zovuni 39 street, Zovuni","$55,000",USD,"Fully renovated house for sale in Zovuni, has all utilities.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18008438
Stone,No,Not available,4,34 sq.m.,2,1,from 2.8 m,3,Open balcony,,Old Renovation,"Oghakain street, Charentsavan","$11,000",USD,3rd floor: Dormitory building. Call for detailsTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/16468554
Stone,No,Not available,5,50 sq.m.,1,1,from 2.75 m,4,Closed balcony,,Cosmetic Renovation,"Barekamutian street, Abovyan","$38,000",USD,"It is a bright, sunny apartment converted from 1 to 2. Fully furnished. Has natural gas.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18333561
Stone,No,Not available,2,500 sq.m.,5,1,from 3.5 m,2,Open balcony,By agreement,Major Renovation,Kotayk › Arinj,"$70,000",USD,"Վաճառվում է 2 հարկանի բնակարան Առինջում, շինությունը քարից է, բնակելի։Մանրամասների համար զանգահարել։․Արշակ։",Nov-25-2022_12-56,,,,,https://list.am/en/item/12447709
Panels,No,Available,14,75 sq.m.,3,1,from 3 m,14,Open balcony,,No Renovation,Kotayk › Hrazdan,"$22,000",USD,The apartment is in state condition. In the center districtTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/16795801
Stone,No,Not available,5,38 sq.m.,1,1,from 2.75 m,1,Closed balcony,,Partial Renovation,Kotayk › Hrazdan,"$18,500",USD,1-3 room apartment is for sale in HrazdanNeeds cosmetic repairsHigh first floorGas boilerPartial European windowsTiled bathroomCode 001-HRTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/17914575
Panels,No,Available,14,90 sq.m.,4,1,from 2.75 m,3,Closed balcony,,Old Renovation,Kotayk › Hrazdan,"$42,000",USD,"A 4-room apartment is for sale in Kotayk district of Hrazdan.Old repair,gasified,wooden parquet,The front door is ironCode H-001Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18089401
Panels,No,Available,9,100 sq.m.,4,1,from 2.75 m,6,Closed balcony,,Old Renovation,Kotayk › Jrvezh,"$70,000",USD,"4-room apartment for sale in Jrvezh,old repair,Individual heating system,The windows are made in Europe.Wooden parquet,The bathroom is tiled.The front door is iron,Closed economy balconyCode 4-3GTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18198490
Monolith,Yes,Available,8,45 sq.m.,2,1,from 2.8 m,4,Open balcony,Not available,No Renovation,"Օլիմպիադիայի փողոց 8, Ծաղկաձոր","18,000,000 ֏",AMD,"ՈՒՇԱԴՐՈՒԹՅՈՒՆ!ԽՆԴՐՈՒՄ ԵՄ ՄԱՆՐԱՄԱՍՆ ԿԱՐԴԱԼ ՆՈՐ ԶԱՆԳԱՀԱՐԵԼ!ՈՒՇԱԴՐՈՒԹՅՈՒՆ!ՆՇՎԱԾ ԳԻՆԸ ՎԵՐՋՆԱԿԱՆ Է! ! !ՆՇՎԱԾ ԳԻՆԸ ՍԱԿԱՐԿՄԱՆ ԵՆԹԱԿԱ ՉԵ! ! !Վաճառվում է նորակառույց բնակարան,մոնոլիտ, Ծաղկաձորի ՄՈՐԻ ՊԼԱԶԱ (Խաչիկ Մուրադյան 11 շենք) Էլիտար համալիրում, 8 հարկանի շենքի 4֊րդ հարկում։ Շենքը շաhագործման է հանձնվել մի քանի տարի առաջ և ամբողջությամբ բնակեցված է։ Բնակարանը 0֊ական վիճակում է (երկաթե դուռ, գաջ, եվրոպատուհաններ), պատշգամբ ։ Սենյակների բաժանումները կատարված չեն։ Առկա է բացոթյա անվճար ընթարցակ ավտոկայանատեղի շենքի բնակիչների համար։ԲՆԱԿԱՐԱՆԸ ՇԱ՜Տ ՀԱՐՄԱՐ Է ԻՆՉՊԵՍ ՎԱՐՁԱԿԱԼՈՒԹՅԱՄԲ ՀԱՆՁՆԵԼՈՒ, ԱՅՆՊԵՍ ԷԼ ԻՆՔՆՈՒՐՈՒՅՆ ԲՆԱԿՎԵԼՈՒ ՀԱՄԱՐ ։Ունի հիանալի տեսարան դեպի անտառ։ՊԱՏՇԳԱՄԲԸ և ԼՈՒՍԱՄՈՒՏՆԵՐԸ ՆԱՅՈՒՄ ԵՆ ԱՆՏԱՌԻՆ! ! ! (Գործակալություն չի, իմ սեփական բնակարանն է)ՆՇՎԱԾ ԳԻՆԸ ՎԵՐՋՆԱԿԱՆ Է! ! !Продается квартира в элитном комплексе Мори Плаза в Цахкадзоре (Горнолыжный курорт) Квартира находится на 4-м этаже 8-ми этажного здания. Квартира без ремонта, в 0-ом состоянии (железная дверь, евро окна, гадж) разделение комнат не выполнено. Прекрасный вид с окна и балкона на горы и лес. Квартира находится у Олимпийской спорт базы с большим плавательным бассайином. Цена окончательная, торг НЕ уместен.Ծաղկաձոր цахкадзор tcaghkadzor elitar shenq նորակառույց новостройка мори плаза, квартира в Цахкадзоре.",Nov-25-2022_12-56,,,,,https://list.am/en/item/10951867
Panels,No,Available,9,98 sq.m.,4,1,from 2.7 m,1,Closed balcony,,Partial Renovation,Kotayk › Hrazdan,"$35,000",USD,Gasified. The floor is thick. It has a double door. Basement from the house. Price is negotiableTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/17349577
Stone,No,Not available,2,47 sq.m.,1,1,from 3 m,2,Not available,Not available,Designer Renovation,Kotayk › Abovian,"$47,000",USD,"0900009Kotayk Marz, AbovyanThe apartment has individual heating, European windows,For sale with property, equipment. The apartment has 1 room converted into 2.Former Kotayk restaurantTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17774788
Stone,No,Not available,5,68 sq.m.,4,1,from 2.8 m,5,Not available,Not available,Euro Renovation,"Yeritasardakan street, Abovyan","$67,000",USD,There is also a storage room on the sunny sideTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/18166957
Panels,No,Available,9,78 sq.m.,3,1,from 2.75 m,7,Closed balcony,,Old Renovation,Kotayk › Abovian,"$60,000",USD,3-room apartment for saleOn the 7th floor of a 9-storey panel buildingold renovationInterior wooden doorscarpet: Parquetgasifiedstorage room:Code 0033-3Translated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/17914542
Stone,Yes,Not available,1,20 sq.m.,3,3+,from 2.7 m,1,Open balcony,Available,Partial Renovation,"Այգեգործական փողոց 134, Արզական","$300,000",USD,"Located in Arzakan village, not far from Aghveran monastery in Aghveran, has 100 different fruit trees, is in the lap of nature. For details, call 2-storeyTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/13565642
Panels,No,Available,9,74 sq.m.,3,1,from 2.8 m,6,Closed balcony,Not available,Old Renovation,Kotayk › Abovian,"$50,000",USD,"Apartment for saleKotayk, Abovyan city, 3rd micronear the hospital3 rooms9 / 6th floorArea of 74 square metersclean conditionlarge enclosed balconyheatingCode VM895Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17908668
Stone,Yes,Not available,4,55 sq.m.,2,1,from 3 m,2,Not available,,Major Renovation,"Yerevan-Abovyan Highway 12/6, Verin Ptghni","$1,350",USD,"Completely renovated apartments of 28 sq. M.-140 sq. M. Are for sale in a newly constructed 4-storey building near Gai post office in Abovyan. Iron door, tiled floor, European windows, central heating system, there are 4 apartments on each floor and it is possible to connect them together. There are also income tax.Code 10038-2Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18302060
Stone,No,Not available,1,100 sq.m.,3,1,from 3.2 m,1,Not available,,No Renovation,Kotayk › Argel,"$55,000",USD,"I am selling my own house in the village of Argelum, Kotayk region.For detailed information, call the indicated phone number.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18299585
Stone,No,Not available,3,65 sq.m.,2,1,from 2.7 m,3,Open balcony,,Old Renovation,"2-րդ թաղամաս 2, Չարենցավան","$30,000",USD,Средное состаяние... Торг нет... Крайная цена... Вожно обмен на однушку с вашей доплатой...,Nov-25-2022_12-56,,,,,https://list.am/en/item/17356073
Panels,No,Available,13,68 sq.m.,3,1,from 2.75 m,5,Closed balcony,,Major Renovation,"Hanrapetutian Avenue, Abovyan","$67,000",USD,"Apartment for sale on the 5th floor of a high-rise building, modified (2 bedrooms and anteroom), fully renovated with all amenities. The walls are additionally thickened. It is tiled and thermally insulated. Together with the property.For detailed information, you can call the specified number, only those who really want it.Apartment for sale, apartment for sale, apartment for sale, apartment for sale, apartment for sale, apartment for sale, apartment for sale, apartment for saleTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17575530
Stone,No,Not available,5,55 sq.m.,2,1,from 2.8 m,3,Open balcony,Available,Cosmetic Renovation,"Shirak street 1, Yeghvard","$30,000",USD,"Urgently selling 2-room apartment in front of the kindergarten school. Possibility to increase 25 square meters. For details, callTranslated from Armenian",Nov-25-2022_12-56,,,WAshing machine,PArk view,https://list.am/en/item/18037200
Stone,No,Not available,5,38 sq.m.,2,1,from 2.7 m,2,Not available,,Partial Renovation,"Վազգեն Ա Վեհափառի փողոց 14, Բյուրեղավան","$15,000",USD,Նախկին հանրակացարանը ունի 2 պահոցՍանհանգիոյցը պետկ է կառուցվիԴուռը և պատուհանները նոր են:Մանրամասների համար զանգահարելՆաև փոխանակում մինջև 5000$ արժողությամբ մեքենաի հետ 98թ ից բարցր և հավելավճարգինը վերջնական,Nov-25-2022_12-56,,,,,https://list.am/en/item/17848087
Stone,No,Not available,2,70 sq.m.,3,1,from 2.5 m,1,Not available,,Partial Renovation,"Zovuni 38 street, Zovuni","17,000,000 ֏",AMD,"Վաճառվում է բնակարան ՝ Երկհարկանի քարե շենքի 1ին հարկում, մասնակի վերանորոգված, ունի կոմունալ բոլոր հարմարությունները",Nov-25-2022_12-56,,,,,https://list.am/en/item/15611382
Monolith,Yes,Available,11,161 sq.m.,6,2,from 3 m,4,Open balcony,,Major Renovation,Kotayk › Abovian,"$160,000",USD,"VD94:Apartment for saleKotayk, Abovyan• Area of 161 square meters• 6 rooms• 11 / 4th floor / new building_•thoroughly reconstructed• Euro windows• heating• 2 bathrooms are tiled• Open balconyTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17861153
Stone,No,Not available,2,75 sq.m.,3,1,from 2.5 m,1,Not available,,Major Renovation,Kotayk › Zovuni,"$80,000",USD,"Զովունիում,* 2 Հարկանի քարե շենքի 1 ին հարկում վաճառվում է ԿԱՊԻՏԱԼ ՎԵՐԱՆՈՐՈԳՎԱԾ բնակարան (առանձին մուտքով)* Բնակարանը 75 քմ. Է և 500 քմ. Տնամերձ այգի* Ապահովված լույսով, գազով, մշտական տաք և սառը ջրով, ինտեռնետ ծառայություններովԳԻՆԸ 65,000 USD (սակարկելի)Մանրամասների համար զանգահարել նշված հեռախոսահամարին կամ հաղորդագրություն ողղարկել նույն հեռախոսահամարով viber - ին:",Nov-25-2022_12-56,,,,,https://list.am/en/item/13902233
Panels,No,Available,9,54 sq.m.,1,1,from 2.8 m,3,Closed balcony,,Old Renovation,Kotayk › Abovian,"$40,000",USD,Продаётся квартира в городе Абовян. Все подробности по телефону.Վաճառվում է բնակարան Աբովյան քաղաքում։ Բոլոր մանրամասները հեռախոսով,Nov-25-2022_12-56,,,,,https://list.am/en/item/18295897
Panels,No,Available,9,90 sq.m.,4,1,from 2.7 m,4,Multiple balconies,By agreement,Old Renovation,"Vazgen Sargsyan St, Byureghavan","$45,000",USD,A 4-room apartment is for sale in Byureghavan. The price is negotiable.Translated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/18323191
Stone,No,Not available,5,47 sq.m.,1,1,from 2.5 m,2,Closed balcony,,Old Renovation,"5-րդ փողոց 8, Բյուրեղավան","$29,000",USD,"Apartment for sale in ByurEghavan. On the 2nd floor of a stone building. 47 sq/m. 23 youth buildings, 4 roomsTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18322995
Stone,No,Not available,5,30 sq.m.,1,1,from 3 m,2,Open balcony,,Cosmetic Renovation,Kotayk › Charentsavan,"$20,000",USD,"The apartment is located on the sunny side, the windows and the balcony door are of European production, the apartment is sold without property. For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18098718
Stone,Yes,Not available,5,55 sq.m.,3,1,from 2.8 m,4,Open balcony,,Major Renovation,"GAM street 3, Proshyan","$55,000",USD,"A apartment in Proshyan village is for sale very urgently. On the Ashtarak-Yerevan highway. The apartment is renovated. All utilities are available. Water, gas. Light. Has an open balcony. It is also possible to add 60 square metersTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/16614683
Stone,No,Not available,2,90 sq.m.,2,1,from 2.8 m,2,Open balcony,,No Renovation,"Աշտարակի խճուղի 2, Երևան","$40,000",USD,"Urgent 2-storey apartment for sale in Proshyan village, on the front line of Yerevan-Ashtarak highway. Utility with all amenities. The first floor is used as a garage. But it can be used as a shop or similar business. The second floor is an unfinished apartmentTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/16616435
Panels,No,Not available,5,80 sq.m.,3,1,from 2.75 m,1,Open balcony,,No Renovation,Kotayk › Hankavan,"3,750,000 ֏",AMD,"Բնակարան ունի կապիտալ վերանորոգման կարիք դուռ և պատուհաններ չկա, ունի նկողային տարացք նաև տարածք ընդլայնելու հնարավորություն, գինը սակարկելի",Nov-25-2022_12-56,,,,,https://list.am/en/item/14833101
Monolith,Yes,Available,8,47 sq.m.,2,1,from 3 m,5,Open balcony,,Major Renovation,Kotayk › Tsakhkadzor,"$90,000",USD,"Apartment in Tsaghkadzor, one of the most ecologically clean and most beautiful cities in Armenia.newly built, monolithic building,an open balcony with a panoramic view of Tsaghkadzoryan,new, comfortable renovation,interior with warm color solutions,a fireplace that will make your evenings beautiful and warm.For sale with furniture.There is a gym and a children's playground in the building.The building has a separate, spacious parking lot.Price is negotiable.For details, you can call the indicated phone number and the same numberwhatsapp (+ 374)viber (+ 374)Code SMTS-201Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18321858
Panels,No,Available,9,80 sq.m.,3,1,from 2.8 m,9,Open balcony,,Designer Renovation,Kotayk › Byureghavan,"$70,000",USD,"The apartment is completely renovated, the entrance door is made of iron. The bathroom and kitchen are renovated and tiled, interior doors and windows are changed (replaced), the floor is laminated. There is a heating system (baxi) The roof is repaired and tinned. The apartment is sunny, with a view of Mount Ararat. The price includes a garage for 2 cars, right in front of the entrance.Real buyers will call.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/16551916
Panels,No,Available,9,63 sq.m.,2,1,from 2.75 m,8,Closed balcony,Not available,Cosmetic Renovation,Kotayk › Byureghavan,"$37,000",USD,"Kotayk, Byureghavan 1 street / in the central part /9/8 floor2 rooms63.4 square metersGood conditionGas, heatingCode BB904Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17441644
Stone,No,Not available,5,45 sq.m.,1,1,from 2.7 m,4,Closed balcony,,Old Renovation,"Daran street, Abovyan","$34,200",USD,"A 1-room apartment is for sale in the city of Abovyan, on the 4th floor of a 5-story building.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18319418
Panels,No,Available,9,53 sq.m.,2,1,from 2.75 m,3,Not available,,Old Renovation,"Улица Севана 5А, Абовян","$44,000",USD,"Квартира продаётся с кухонной мебелью и техникой. Есть встроенные шкафы, индивидуальная система отопления, металлическая дверь, кладовая, санузел в плитке, окны заменены!",Nov-25-2022_12-56,,,,,https://list.am/en/item/18275128
Stone,No,Not available,5,54 sq.m.,2,1,from 2.7 m,1,Closed balcony,Not available,Euro Renovation,Kotayk › Abovian,"$48,000",USD,"A 2-room apartment is for sale in the city of Abovyan. The apartment is renovated, has an individual heating system, the windows are partly of European production, the door is iron.We also work with home buyers with certificates and mortgages.You can read all our announcements by clicking on the right side - Good Offer. Thanks in advance:Code D2 367Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17608824
Stone,No,Not available,5,93 sq.m.,4,1,from 3 m,5,Multiple balconies,,Partial Renovation,"Yerevanyan Street 6, Yeghvard","$52,000",USD,"4-room apartment for sale in Yeghvard. The area of the apartment is 93 square meters. Located on the 5th floor of a 5-storey stone building. The apartment is partially renovated. It also has an open or closed balcony. All utilities are available.Viber, WhatsApp:Call these numbers from 6 to 12 in the evening or from 6 to 12 in the morningTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17769138
Monolith,Yes,Available,9,22 sq.m.,1,1,from 3 m,7,Open balcony,,Major Renovation,Kotayk › Tsakhkadzor,"$250,000",USD,"BB1081Apartment for rent and daily rentKotayk, Tsaghkadzor• 22 square meters area• 1 room•9/7th floor/new building/_•thoroughly reconstructed• furniture-techniques• euro windows• taxi/air conditioner• open balconyRent price: 250,000 dramsThe cost of the daily wage: 22,000 dramsTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18104781
Stone,Yes,Not available,2,1610 sq.m.,6,1,from 3 m,2,Multiple balconies,,Partial Renovation,Kotayk › Arzni,"$100,000",USD,"2-storey private house for sale, each floor area is 208 square meters, the land area is 1200 square meters, it has all the communal facilitiesTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17932634
Panels,No,Not available,5,21 sq.m.,1,1,from 3 m,1,Not available,By agreement,Old Renovation,Kotayk › Nor Hachen,"$15,000",USD,"A 1-room apartment is for sale, it is in good conditionTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18316133
Panels,No,Available,9,80 sq.m.,3,1,from 2.75 m,1,Closed balcony,,No Renovation,"3-րդ թաղամաս 41, Չարենցավան","13,500,000 ֏",AMD,"The natural one needs to be completely renovated + 3 basements, about 160 4 sq / m fenced land in front of itTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/15904514
Stone,No,Not available,5,80 sq.m.,3,1,from 2.75 m,2,Closed balcony,,Cosmetic Renovation,"7-րդ թաղամաս 1, Չարենցավան","$43,000",USD,"The apartment is dilapidated, is in a former furniture building, has a baxi, is partially renovated. At the back of the building there is a plot of land with a big walnut tree, there is also a basement. The small balcony at the back is closed.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17827371
Stone,No,Not available,4,30 sq.m.,1,1,from 2.5 m,1,Not available,Available,No Renovation,"Hrazdan street, Yerevan","$10,500",USD,It is the apartment of the pictureTranslated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/17970978
Stone,No,Not available,5,80 sq.m.,3,1,from 2.8 m,1,Closed balcony,,Cosmetic Renovation,"Օղակաձև փողոց 7, Բյուրեղավան","$40,000",USD,"A 3-room apartment is for sale without a mediator, call for details.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17568824
