Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Appliances,Window Views,Parking,Links
Stone,No,Not available,5,85 sq.m.,3,1,from 2.8 m,1,Not available,Cosmetic Renovation,"Շահումյանի փողոց 12, Արտաշատ","$60,000",USD,"I am selling a 3-room apartment with all its appliances, gas, water, underfloor heating, normal conditions for living. The surface of the house is 85 square metershas a garage, call for details. Hurry!Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/13903431
Panels,No,Not available,5,61 sq.m.,2,1,from 2.8 m,5,Closed balcony,Euro Renovation,Ararat › Masis,"$38,500",USD,Renovated 2-3 rooms turned into an apartment in MasisWith partial propertyFor more information callTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/11383267
Panels,No,Not available,5,103 sq.m.,4,1,from 2.8 m,3,Open balcony,Partial Renovation,"Khanjyan Street 17, Artaxata (Artashat)","$55,000",USD,"4 rooms for sale. Apartment at 17 Khanjyan Street, on the 3rd floor, the house is a child renovated place @ very comfortable, on the 1st floor, there is a garage, no garage, for details callTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17470924
Panels,No,Not available,5,76 sq.m.,3,1,from 2.6 m,2,Open balcony,Major Renovation,Ararat › Artashat,"$70,000",USD,"Բնակարանը կապիտալ վերանորոգված է ունի բակ 300 լ տարողությամբ, բաքսի ներսի դրները փայտից. Խոհանոցի կահույքի հետ. Զանգեն միայն ռյալ գնորդները …Նաև փոխանակում սեփական տան հետВ квартире капитальный евроремонт. Находится по адресу ул. Исакова 72Имеется водная тара объемом 300 литров и Бакси.Внутренние двери и кухонная мебель полностью из дуба, сдаются вместе с квартирой.Звонить только реальным покупателям.",Nov-25-2022_14-06,,,,,https://list.am/en/item/17570457
Panels,No,Not available,5,76 sq.m.,3,2,from 2.7 m,5,Multiple balconies,No Renovation,"Ներսիսյան փողոց 7, Արտաշատ","$37,000",USD,"3-room apartment is for sale WITHOUT MEDIATOR3-room apartment is for sale WITHOUT MEDIATOR, on the 5th floor of the 7th building on Nersisyan street, Artashat city. The apartment is in preliminary condition, without renovation. It has 76 square meters. Area, 2 balconies. From the yard of the building, where there is a rather large balcony, there is a room to add a balcony to move forward. The apartment has an iron door.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17906174
Stone,No,Not available,1,62 sq.m.,3,1,from 2.75 m,1,Not available,Cosmetic Renovation,"Marks street, Artaxata (Artashat)","$45,000",USD,URGENT!A 3-room apartment is for sale in the city of Artashat on Karl Marx street.On the 1st floor of a 5-story building.Construction type - Stone.The apartment is provided with hot and cold water.There is a heating system.It also has a basement.For details write or call whats app.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17215352
Stone,No,Not available,5,68 sq.m.,2,1,from 2.6 m,4,Not available,Euro Renovation,Ararat › Vedi,"18,500,000 ֏",AMD,It has the possibility of an attached building of 35 sq. M.2-room apartment with a signTranslated from Armenian,Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17554769
Panels,No,Not available,5,75 sq.m.,2,1,from 2.8 m,3,Open balcony,Old Renovation,"Աղասի Խանջյանի փողոց 15, Արտաշատ","$42,000",USD,"Apartment for sale in Artashat city, Khanjian 15/6has all utilities, large balcony and garageTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18078376
Stone,No,Not available,3,94 sq.m.,4,1,from 2.75 m,2,Open balcony,Major Renovation,"Hrachya Tovmasyan Street 3, Artashat","$72,000",USD,"The apartment is fully renovated, has a heating system, an open balcony, a water tank. The apartment is sold together with the property, appliances and the garage in front of the entrance to the building.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17301178
Panels,No,Not available,5,74 sq.m.,3,1,from 3 m,5,Closed balcony,Major Renovation,"1st Street, Masis","22,950,000 ֏",AMD,"Возможна рассрочка или обмен на квартиру в Сочи. В центре города Масис, рядом с церковью, вместе с мебелью продается отремонтированная, светлая, солнечная квартира с видом на гору Масис. Есть закрытый балкон и две кладовки. Дом газифицирован. Санузел раздельный и выложен плиткой. Крыша отремонтирована. Адрес - Нор микрорайон 27 дом. Торг. Эдо. ПРОШУ ПИСАТЬ СЮДА. НА ЗВОНКИ ОТВЕЧАТЬ НЕ МОГУ, ТАК КАК ВРЕМЕННО В ОТЪЕЗДЕ.Հնարավոր է փակովի կամ փոխանակում բնակարանի հետ Սոչիում: Մասիս քաղաքի կենտրոնում, եկեղեցու հարեւանությամբ վաճառվում է վերանորոգված, լուսավոր, արեվկողմ, Մասիս սարի տեսարանով բնակարան գույքի հետ միասին: Ունի փակ պատշգամբ եվ երկու խորդանոց: Շենքը գազաֆիկացված է: Սան հանգույցը առանձնացված է եվ սալիկապատված: Տանիքը վերանորոգված է: Հասցեն - Նոր թաղամաս 27 շենք: Սակարկելի: Էդո: Խնդրում եմ գրել այստեղ, զանգերի պատասխանել չեմ կարող, ժամանակավոր բացակայում եմ Հանրապետությունից",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/15720780
Stone,No,Not available,3,33 sq.m.,1,1,from 2.8 m,3,Closed balcony,Cosmetic Renovation,Ararat › Araksavan,"€15,000",EUR,Квартира на 3 этаже в 3-х этажном доме. Ремонт сделан больше 15 лет назад и никто не проживал после ремонта. Находится в центре села. Продажа от собственика. Возможен обмен на автомобиль.,Nov-25-2022_14-06,,,,,https://list.am/en/item/17532946
Stone,No,Not available,4,98 sq.m.,4,1,from 2.75 m,1,Open balcony,Major Renovation,Ararat › Artashat,"$35,000",USD,There is also a separate building with 2 fruit refrigerators and a garage located in the village of Verin ArtashatTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17499544
Stone,No,Not available,2,70 sq.m.,3,1,from 3 m,1,Closed balcony,Old Renovation,Ararat › Ararat,"$30,000",USD,3-room apartment in the city of AraratTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18010668
Panels,No,Not available,5,59 sq.m.,3,1,from 3 m,2,Closed balcony,Partial Renovation,Ararat › Ararat,"5,500,000 ֏",AMD,"Are you afraid without property, call for questions. The apartment is located in ZOD.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17621120
Stone,No,Not available,5,50 sq.m.,2,1,from 2.8 m,3,Closed balcony,Partial Renovation,"Araratyan St, Vedi","11,000,000 ֏",AMD,"The apartment is located in the center of the city. Gas from 3 points. There is constant hot and cold water. Apartment in normal living condition. For details, callTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17941930
Stone,Yes,Not available,5,75 sq.m.,3,1,from 3 m,5,Open balcony,Major Renovation,Ararat › Artashat,"$68,000",USD,"3-room apartment, at 1/15 Yerjanyan street, Baxi (hot-cold water), yard,Large storage room, the house has room to add 30 sq. M., GARAGETranslated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17383825
Panels,No,Not available,5,90 sq.m.,4,1,from 2.7 m,5,Open balcony,Cosmetic Renovation,"Isakov street 113, Artaxata (Artashat)","$60,000",USD,"I am selling a 4-room apartment. , with partial property. Capitally renovated roof, pipes, gas, hot-cold water, metal door, euro windows, open balcony to Mount Ararat.Price is negotiableTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17465169
Stone,Yes,Not available,2,246 sq.m.,3,1,from 2.8 m,1,Not available,Partial Renovation,"19-րդ փողոց 44, Նոր Խարբերդ","$45,000",USD,"Newly built price finished work $ 180,000 plaster euro window laminate flooring left questions by phoneTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17179078
Panels,Yes,Not available,5,68 sq.m.,2,1,from 2.8 m,5,Multiple balconies,Major Renovation,"Ծովակալ Իսակովի փողոց 47/2, Արտաշատ","$52,000",USD,"The house is fully renovated. The floor is fully heated.The house has just been renovated, it is not inhabited.Or it is exchanged with a private house.Call for questions.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17953809
Stone,No,Not available,5,81 sq.m.,3,1,from 2.7 m,1,Closed balcony,Euro Renovation,"Նոր թաղամաս 13, Մասիս","$53,800",USD,"3-room apartment in the center of Masis for sale.The total area of the apartment is 81 square meters. Մ. , there is a building permit to add an additional 30 sq / m.The apartment is ready for sale, it has 1 owner, the apartment was bought in cash.Key Benefits:Comfortable place. 3 minutes walk to the bus station in the city centerThe apartment is fully furnishedHuge area of kitchen-living roomHigh ceilings 2.7 m2 separate bedroomsEuropean windows are installed in the apartmentSpacious bathroomThe apartment is renovated from quality materials, has been rented for many years, it is possible to renovate additional cosmetics at the expense of the seller.It is possible to add an additional 30 sq / m, to make a luxurious, huge 110 sq / m apartment, the columns are placed on the opposite side of the building, some of the upper floors have already increased the area of the apartment to 110 sq / m.The developed surrounding area is perfect for a comfortable life. Kindergartens, schools, clinics, shopping centers are within walking distance. It is a pleasure to spend time in the nearby parks at any time of the year.This is a great opportunity to have a spacious 110 sq / m apartment just 18 km from Yerevan.Call.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17542663
Panels,No,Not available,5,59 sq.m.,2,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,"Azatamartikneri Street 33, Masis","$45,000",USD,"A two-room apartment is for sale, completely renovated, in the new district of K Masis, for details, call and visit our office.Code 2387889ATranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17198087
Panels,No,Not available,5,64 sq.m.,2,1,from 2.8 m,2,Closed balcony,Old Renovation,"Նոր թաղամաս 36, Մասիս","$45,000",USD,"A two-room apartment with a garage is for sale, it is in normal condition, all utilities are available, for details, call and visit our office.Code 2308241ATranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18169089
Stone,No,Not available,3,30 sq.m.,1,1,from 2.5 m,2,Multiple balconies,Major Renovation,"Hrachya Tovmasyan Street 3, Artashat","$33,000",USD,"Urgent sale of one-room apartment, completely renovated, front to side, kitchen furniture included, call for details.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/16295972
Stone,No,Not available,5,47 sq.m.,1,1,from 2.8 m,2,Closed balcony,Partial Renovation,"Արարատյան փողոց 38, Վեդի","9,200,000 ֏",AMD,"For sale or rent. The apartment is located on the central street of Vedi, 2 rooms, gas-fired, closed balcony, European windows. Negotiable.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17683911
Stone,No,Not available,3,85 sq.m.,3,1,from 2.7 m,3,Open balcony,Major Renovation,"Khanjyan street, Ararat","$45,000",USD,"Fully renovated apartment for sale in Ararat city, in the center... With all the communal facilities... The price also includes all the Malaysian furniture, the stone garage in the yard of the building... Call for details.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16758442
Stone,No,Not available,2,53 sq.m.,3,1,from 3 m,1,Closed balcony,Euro Renovation,"8-րդ փողոց 1, Նոր Խարբերդ","$37,000",USD,The apartment has all communal facilities fully renovatedTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17861601
