Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,140 sq.m.,2,5,2,,Major Renovation,600 sq.m.,"Զորավար Անդրանիկ փողոցի 2-րդ փակուղի 10, Դիլիջան","$365,000",USD,"A fully renovated, uninhabited private house (7x10) is for sale in Dilijan, with all communal amenities: Security systems, water / sewerage ․․․․.It was put into operation in January 2021.The private house is located in a developing district (Andranik district, district)For details, call the mentioned phone number.The sale is carried out with property and equipment.In case of purchase it is possible to use the income tax refund.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16119687,
House,Stone,222 sq.m.,2,4,1,Not available,Cosmetic Renovation,807 sq.m.,Tavush › Berd,"7,500,000 ֏",AMD,"The property is the property of the Bank as a result of the pledge.Tavush region, c. Berd, Mashtots street, N 19 residential house, 221.6 square meters, land plot: 807 square meters. The building is one-storey, has a semi-basement, four rooms, the walls are made of tuff-pumice stone, the mezzanine is covered with reinforced concrete, the roof is made of tin, the windows are wooden, metal-plastic, the entrance door is iron, the inner doors are wooden, it has water, electricity. Electricity, gas, there is a balcony, there is a parking lot in the yard.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction may be reduced if the buyer (new owner) undertakes to evict it in accordance with the law.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/14261422,
House,Monolith,200 sq.m.,2,4,3+,2 spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"$260,000",USD,"A two-story, newly built, uninhabited private house is for sale at Mkhitaryan address, Dilijan. The house can serve as a guest house. The mansion is fenced and the building is made of two-story tuff. On the first floor there is a living room, kitchen, 1 bathroom.On the 2nd floor there are 3 bedrooms, 2 bathrooms and an open balcony. All bedrooms have access to an open balcony. The view is towards the forest.The position is sunny, south.It also has a rest area (besetka) with a barbecue grill.The total land area is 1000 square meters. There is constant gas, water, electricity.A new dual-circuit heating system has been installed.Whatsapp/Viber:Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18274479,
House,Stone,1740 sq.m.,3,8+,1,3 or more spots,No Renovation,1300 sq.m.,Tavush › Dilijan,"$120,000",USD,"3-storey, half-built house with all communal facilities is for sale in Dilijan. The total area is 1340 square meters. Living area is 440 square meters. For details you can call the mentioned number.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16468548,
House,Stone,800 sq.m.,2,3,1,Not available,Old Renovation,170 sq.m.,Tavush › Achajur,"$19,000",USD,"A two-story private house in the village of Achajur, Tavush region. There is constant gas, drinking water, an orchard. Living area: 170 m, plot: 0.0814 ha.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18271218,
House,Stone,132 sq.m.,2,4,1,Not available,No Renovation,1300 sq.m.,Tavush › Aghavnavank,"$13,000",USD,"The house is located on the side of the road, in the forest, it needs renovation, it has a barn of 80 square meters, 1300 square meters of land, in the lap of beautiful nature, it is possible to exchange it with a car for an additional fee.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17340101,
House,Stone,200 sq.m.,2,5,2,Not available,Major Renovation,,"Yerevanyan St, Ijevan","22,000,000 ֏",AMD,The house has 2 floors and all the communal facilities. The price is negotiable in Getahovit villageTranslated from Armenian,Nov-25-2022_00-20,Available,,,,https://list.am/en/item/13538104,
House,Monolith,299 sq.m.,2,3,2,,No Renovation,700 sq.m.,Tavush › Dilijan,$950,USD,"Code ART906:A half-built private house is for sale in Dilijan. The land is 700 square meters, and the building is 299 square meters. Communications are available: Water, light, gas.1 sq. M.-$ 950Code ART-906Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16849270,
House,Stone,272 sq.m.,2,6,2,3 or more spots,Major Renovation,328 sq.m.,"Orjonikidze Street, Dilijan station","$317,000",USD,"Code ART878:2-storey private house is for sale on Orjonikidze street, Dilijan. The land area is 328 square meters, and the residential area is 272.4 square meters. The house is fully renovated. On the 1st floor there is a living room, a kitchen, a bathroom. On the 2nd floor there is an entrance hall, a living room, 3 bedrooms, a kitchen, a bathroom, open and closed balconies. Euro windows are installed, heating system, the floor is covered with laminate։ tiles, the bathrooms are tiled. The furniture of the private house is made of natural wood. The height of the ceiling is 3.60 meters. There is a garage, a basement. For sale together with the furniture. From the windows of the private house there is a beautiful view to the central street of Dilijan. A security system is installed. There is a summer kitchen in the yard, a sieve. Nearby there are supermarkets, shops, a school, a kindergarten, a bus stop.Code ART-878Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16722349,
House,Stone,320 sq.m.,2,8+,2,,Cosmetic Renovation,120 sq.m.,Tavush › Dilijan,"$175,000",USD,"Կոդ ART345։Առանձնատան հողատարածքի մակերեսը` 120 քմ է, իսկ բնակելի տան մակերեսը՝ 300 քմ։ Առանձնատունը բաղկացած է 11 սենյակներից՝ 3 հյուրասենյակ, 8 ննջասենյակ, 1 խոհանոց, 2 սանհանգույց, 1 լոգասենյակ։ Առանձնատունն ունի ընդարձակ և կանաչապատ այգի, որտեղ կան բազմաթիվ մրգատու ծառեր: Առանձնատունը ապահովված է մշտական խմելու և ոռոգման ջրով, գազով։ Ունի հիանալի դիրք, որի շնորհիվ բացվում է գեղեցիկ տեսարան դեպի Դիլիջանի հիասքանչ բնությունը։Կոդ ART-345",Nov-25-2022_00-20,,,,,https://list.am/en/item/12125062,
House,Stone,250 sq.m.,2,4,2,2 spots,Major Renovation,500 sq.m.,Tavush › Dilijan,"$310,000",USD,"Code ART1088:2-storey private house is for sale in Dilijan. The total area is 250 square meters, and the land is 500 square meters. The house is fully renovated. Euro windows are installed, heating system, the floor is covered with laminate and tiles, the bathrooms are tiled. Has a basement of 50 square meters. On the 1st floor there is an entrance hall, a living room, a kitchen, a bathroom, an open hall and a garage with an entrance to the house. On the 2nd floor there are 3 bedrooms, one of which has a bathroom and 2 balconies with beautiful views. There is 1 bedroom in the basement. The yard is fenced, a video surveillance system is installed. The house has 2 entrances. It has a garden with fruit trees, a summer pavilion with a summer kitchen, a fireplace and an open parking lot.Code ART-1088Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17582650,
Country House,Stone,250 sq.m.,2,7,2,Not available,Partial Renovation,,"Улица Абовяна 46, Дилижан","$95,000",USD,"We present to your attention the two-storey summer house in the beautiful place of Dilijan resort.Dilijan is a mountain climatic and balneological resort in Armenia. The city has been given the status of a national park. Up to 150,000 tourists from all over the world visit Dilijan annually. Due to its climatic data, as well as its many attractions, the city of Dilijan is truly the resort capital of Armenia.Dilijan is located at the crossroads of major regional roads, which increases its transport accessibility. Distance from Yerevan is 100 km.The house is located in Tavush region, Dilijan city, Abovyan street, house 44, next to Daravand hotel. The house is surrounded on all sides by mountains, river and dense forest plantations.The house was built in 2014. Foundation: Reinforced concrete, concrete. The walls are tuff. Ceilings. Reinforced concrete slabs. The roof is made of metal tiles. The house has a whole rough finish. The walls are painted for painting. The floor is covered with a layer of cement. All doors, windows, partitions are installed. The house is fully gasified. All possible engineering communications are enabled. Living requires minimal investment.Layout: 5 bedrooms, large living room, entrance hall, 2 toilets, 2 bathrooms, balcony, utility room. There is also the possibility of organizing the attic floor.The house is suitable both for the whole year and for rent as a hotel or rest house.I am the only owner, I live in Russia. Ready to make a quick deal. All documents are ready for sale.I can send more detailed information, photos, floor plan to e-mail.I will discuss exchange options in Dilijan / Yerevan.The real buyer is bargaining.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/10223043,
House,Stone,100 sq.m.,2,5,1,,No Renovation,,Tavush › Achajur,"6,000,000 ֏",AMD,Without interior decorationTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/18287786,
House,Stone,160 sq.m.,2,6,2,1 spot,Old Renovation,800 sq.m.,"Getapnya Street, Dilijan","$99,000",USD,Newly renovated house.Translated from Armenian,Nov-25-2022_00-20,Available,GAzebo,"AIr conditioner, fridge, stove, washing machine","ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/17325630,
House,Stone,140 sq.m.,2,5,1,2 spots,Partial Renovation,1700 sq.m.,"Barekamutian street, Noyemberyan","$11,000",USD,"2-storey apartment for sale in Voskevan village, street 4, house 4, for more information, call for details, furniture is negotiable + $2500, it has a garage and a cattle shedTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18237318,
House,Stone,90 sq.m.,2,3,1,2 spots,No Renovation,1430 sq.m.,"Kamo Street, Dilijan","$75,000",USD,"The house is located in Dilijan, on the way to Mountainous Armenia. It is an old house, but it should be demolished. We sell urgently, we build and design. Call for negotiable detailsTranslated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17194631,
House,Stone,236 sq.m.,2,8+,2,Not available,No Renovation,,"Getapnya street, Dilijan station","$100,000",USD,"A two-storey house is for sale. It has all the amenities of living: Electricity, gas, water, orchard 700 sq. M.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/13951693,
House,Stone,180 sq.m.,2,7,1,,Partial Renovation,600 sq.m.,"Կամոյի փողոց 95, Դիլիջան","$80,000",USD,"It is located at the beginning of Dilijan city, 150m up from the M4 highway, in a quiet place. It also has a garage.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18255978,
House,Monolith,240 sq.m.,1,4,1,,Old Renovation,800 sq.m.,"Orjonikidze Street, Dilijan station","$75,000",USD,"Продоется дом район Тахта, на улице Орджонокидзе, 3й переулок д. 11, копитальное строение. Матерал стен бетон, перекрытие манолит. (можно демонтировать крышу и поставить еще пару этажей) Напротив (через дорогу) находятся дома гостиницы (тихта хаус) В огороде пладовитые деревья, грецкий орех, фундук, виноград. Продоется в связи переездом в другую страну.",Nov-25-2022_00-20,,,,,https://list.am/en/item/18147948,
House,Stone,300 sq.m.,2,6,1,2 spots,Old Renovation,1800 sq.m.,"Kalinini street, Dilijan station","$120,000",USD,"Code ART1082:A two stored house is for sale in Dilijan, on Kalinino street. There are 6 rooms, the living area is 300 square meters, and the land is 1800 square meters. There is access from both sides. It is in good condition.Code ART-1082Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17562025,
House,Stone,331 sq.m.,3,6,3+,3 or more spots,Major Renovation,885 sq.m.,Tavush › Dilijan,"$300,000",USD,"ART1218:3-storey private house for sale in Dilijan. The total area is 331 square meters, and the land is 885 square meters. The house is fully renovated. Euro windows are installed, the floor is covered with laminate, the bathrooms are tiled. There is an open balcony with a beautiful view. The house has a game room, a summer kitchen in the yard with all amenities.Code ART-1218Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17947008,
House,Stone,124 sq.m.,2,4,1,1 spot,Old Renovation,463 sq.m.,"Կամարինի փողոց, Դիլիջան","$90,000",USD,"Կոդ՝ B-20133Վաճառվում է 2 հարկանի 4 սենյականոց առանձնատուն Դիլիջան քաղաքում, կենտրոնական փողոցի մոտ։ Առանձնատունը պետական վիճակում է: Մուտքի դուռը և պատուհանները՝ փայտյա, սանհանգույցը՝ համակցված, սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի ավտոտնակ, նկուղ, հողատարածք՝ պտղատու և դեկորատիվ ծառերով, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for sale in Dilijan (near the central street) The rooms' quantity is 4 (a hall and 3 bedrooms) The house is in the state condition. The entrance door and windows are wooden, the bathroom is combined, the electric wires and pipes are newly changed. The house has a garage, cellar, land with decorative and fruitful trees and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/14707312,
House,Stone,275 sq.m.,2,5,1,Not available,Partial Renovation,1342 sq.m.,Tavush › Dilijan,"$160,000",USD,"Կոդ՝ B-20484Վաճառվում է 2 հարկանի 5 սենյականոց առանձնատուն Դլիջանում։ Առանձնատունը միջին վիճակում է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, փայտյա, հատակը՝ մանրահատակ։ Սանհանգույցը՝ համակցված, սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի բաց լոջա, նկուղ, այգի՝ պտղատու և դեկորատիվ ծառերով, խոհանոցի կահույք, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for sale in Dilijan. The rooms' quantity is 5 (a hall and 4 bedrooms) The house is middle renovated. The entrance door is iron-made, the windows are euro-based and wooden, the floor is covered by parquet. The bathroom is combined and tiled, the electric wires and pipes are newly changed. The house has a balcony, cellar, garden with fruitful and decorative trees, kitchen furniture, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/16532483,
House,Stone,245 sq.m.,1,4,1,1 spot,Partial Renovation,1650 sq.m.,Tavush › Dilijan,"$175,000",USD,"Code-VM966Private house/cottage for saleTavush, Dilijan/central street/• 1650/245 square meters area• 4 rooms• 1 floor/stone/_•renovated•playroombooth• garage: 32 square meters•beautiful garden/evergreen trees/Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18193418,
House,Stone,300 sq.m.,2,4,1,,Old Renovation,,Tavush › Ijevan,"$9,700",USD,"Two-storey private house, located in Aygehovit village.HasNearby landBarn:GaragePadwalFor more information callYou can call 10: 00-00: 00Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15519137,
House,Stone,101 sq.m.,1,3,1,Not available,No Renovation,130 sq.m.,Tavush › Ijevan,"$19,000",USD,"(Code 04/26) A private house is for sale in Ijjan, near the Center, the area is 101.4 sq. M., and the size of the land is 130 sq. M. The building is an old building, but the location is suitable for an office or shop, the price is $ 19,000. Attention, only honest and honest people who are ready to cooperate with a real estate agency should call. Do not write a letter, call for all discussions.Code 04-26Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17237545,
House,Stone,590 sq.m.,2,2,1,Not available,No Renovation,490 sq.m.,Tavush › Sarigyugh,"$6,000",USD,Located in the center of the village.Translated from Armenian,Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18277512,
House,Stone,150 sq.m.,1,5,1,,Old Renovation,960 sq.m.,Tavush › Dilijan,"$50,000",USD,"Code-14354: A private house is for sale in the beautiful nature of Dilijan. The house can serve as a guest house, recreation area. The project of the house is available.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17136554,
House,Wooden,50 sq.m.,1,2,1,Not available,Major Renovation,50 sq.m.,Tavush › Dilijan,"$12,000",USD,"3 cottages with an area of 50 square meters are for saleTavush region, DilijanRecreation area with its amenitiesNear the city hallCode BB884Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17378243,
House,Stone,165 sq.m.,2,4,1,,Old Renovation,735 sq.m.,Tavush › Dilijan,"$50,000",USD,"СРОЧНО! Продаётся дом в г. Дилижан, по ул. Васильева дом36.Дом со всеми комуникациями построен в два этажа.На первом этаже дома находятся котельная, три подвальных помещения и большой зал.На втором этаже расположены четыре изолированные комноты + коридор + кухня + ванная комната и туалет.Также есть гараж для авто, над гаражом большая площадка для въезда.Торг уместен звоните договоримся.",Nov-25-2022_00-20,,,,,https://list.am/en/item/17052516,
House,Stone,165 sq.m.,2,4,1,,Old Renovation,735 sq.m.,Tavush › Dilijan,"$50,000",USD,"Продаётся дом в г. Дилижан по ул. Васильева дом36Дом со всеми комуникациями построен в два этажа.На первом этаже дома находятся котельная, три подвальных помещения и большой зал.Второй этаж дома состоит из четырёх отдельных комнат + коридор + кухня + ванная и туалет.Также есть гараж и въезд во двор.ТОРГ УМЕСТЕН ЗВОНИТЕ ДОГОВОРИМСЯ!",Nov-25-2022_00-20,,,,,https://list.am/en/item/17052534,
House,Stone,127 sq.m.,2,4,1,Not available,Old Renovation,730 sq.m.,"Հովսեփյան փողոց 3, Դիլիջան","$55,000",USD,"For sale (or exchange with an apartment in Yerevan) a two-story house with an area of 127.8, with an adjacent land area of 0.073ha in Dilijan city.The first floor serves as a basement, the second living floor has 4 rooms (including a living room), a kitchen, a bathroom and an outdoor terrace.Provided with permanent gas, water and electricity.For details, write to kamli@san.ru.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17685872,
House,Monolith,310 sq.m.,2,5,2,,No Renovation,106 sq.m.,Tavush › Dilijan,"$70,000",USD,"Two-story stone house on ul. Саят Новы в Дилиджане, 310 sq. M:2-storey private house for sale.The house has a basement, a high roof (intended for a veranda)It also has a plot of land next to the house.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18310627,
House,Stone,140 sq.m.,2,6,1,,Partial Renovation,600 sq.m.,"Andranik Street, Dilijan station","$200,000",USD,"600 square meters of land, the area of the house is 140 square metersTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17845449,
House,Stone,2934 sq.m.,2,3,1,1 spot,Old Renovation,2500 sq.m.,Tavush › Gosh,"$37,000",USD,"Residential house for sale 11 km from Goshavank. The house is located in the village of Dprabak and has 2 plots, one in front of the house and the other behind. One area is 2000 square meters, the other is 500 square meters, the surface of the house is 194 square meters, it has a separate barn of 140 square meters and a basement. As well as fruit trees. How can it be a summer house? It is sold at a much lower price than usual, 37,000 USD, it is possible to negotiate, for other questions, call.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18308337,
House,Stone,250 sq.m.,3,8+,1,,Partial Renovation,990 sq.m.,Tavush › Berd,"$50,000",USD,"Особняк находится в центре города Берд. Здание каменное. Имеются все удобства - электричество, газ, вода. Состоит из трех этажей. Верхний этаж удобен для склада, или организации торговли, или точки общественного питания.",Nov-25-2022_00-20,,,,,https://list.am/en/item/16870791,
Townhouse,Stone,94 sq.m.,2,3,1,,Major Renovation,250 sq.m.,Tavush › Dilijan,"$120,000",USD,"Code-14964. Townhouse for sale in Dilijan. 5 similar two-story townhouses, each 94 square meters, fully renovated. There is a swimming pool, children's playground, restaurant. Income tax refund law applies.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18303493,
House,Stone,600 sq.m.,3,7,3+,,Cosmetic Renovation,300 sq.m.,Tavush › Dilijan,"$180,000",USD,"Three-story private house for sale in DilijanTotal area: 600 sq/mLiving area: 300 sq/mIt has a sauna, a swimming poolFour bedrooms with access to an open balconyHeating SystemInterior doors are woodenThe entire area is fenced, has an iron door, an iron gateThe third floor is a mansardFruit treesSummer kitchen in the yard.Code 30312Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17220025,
House,Stone,220 sq.m.,2,7,1,1 spot,Old Renovation,1700 sq.m.,Tavush › Aygehovit,"$18,000",USD,"(Code 07/ 028) A private house for sale in Aygehovit village of Ijevan city, the area is 220.4 sq/m, and the plot size is 1700 sq/m, it has a barn with an area of 18 sq/m, it is gasified, it has water, electricity, the price is 18 000 USD. There are 3 basements and a garage on the first floor, 4 rooms on the 2nd floor. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. We repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/11954070,
House,Stone,266 sq.m.,3,8+,2,,No Renovation,924 sq.m.,Tavush › Dilijan,"$60,000",USD,"(Code 07/7) A three stored semi-constructed private house is for sale in Teghut village of Dilijan, the area is 266 square meters, and the size of the land is 924 square meters. The water is on the plot of the house, and the electricity, gas and sewerage are close by. The house offers a beautiful view of nature, cost $ 60,000. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. Citizens who speak in unison or do not answer calls do not call, we do not work with you. I repeat once, no address is provided by phone.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15965955,
House,Monolith,516 sq.m.,3,8+,2,,No Renovation,616 sq.m.,"2-й тупик улицы Зоравара Андраника 10, Дилижан","$110,000",USD,"Продается дом в тихом, комфортном и в очень живописном месте. Рядом сосновый бор. Внутренние стены оштукатурены, проведено электричество. Просьба звонить на WhatsApp",Nov-25-2022_00-20,,,,,https://list.am/en/item/18163456,
House,Stone,384 sq.m.,2,5,1,2 spots,Old Renovation,,"Sayat-Nova Street, Dilijan station","$89,000",USD,"Продаётся 2-х этажный каменный частный дом, площадью 384 кв. М, рядом пристроен с 2-х этажный каменный гараж, имеется также участок земли 1000 кв. М. Документы готовы! Торг реальному клиенту!",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/6829273,
House,Stone,240 sq.m.,2,6,2,3 or more spots,Major Renovation,2000 sq.m.,Tavush › Acharkut,"$240,000",USD,"Продается дом 2000го года постройки в деревне Ачаркут в 20 км от Иджевана. Расположен особняком. Удобный свободный подъезд к дому, 10 парковочных мест. Все удобства. Паровое отопление, твердотопливный и электрический котлы, работают вместе и порознь. Газ в деревне в проекте. Вода постоянно круглосуточно, отличного качества из высокогорного источника. Поливная вода без ограничений. Во дворе мангал с летней кухней, газ, навес 100 кв. М. Теплица 40кв. М. К участку примыкает дополнительно 7000кв. М, которые можно приватизировать.Дом расположен в лесу в живописном месте, рядом древние церкви 12 века Киранц, Аракелоц, Самсон. Участок огорожен каменным забором, омывается двумя горными речками, родник рядом с участком. Молодой сад-груши, киви, персики, абрикосы, айва, хурма, виноград, яблони, вишни, малина. Декоративные и хвойные растения-туи, ели голубые, кипарисы, можжевельники. Более 60ти кустов роз селекции Англии, Франции, Германии, России.Дом для круглогодичного проживания, также подходит как гостевой дом, как дача.",Nov-25-2022_00-20,By agreement,"BArbecue oven, gazebo","FRidge, stove, washing machine","ELectricity, water supply, sewerage",https://list.am/en/item/18252100,
House,Stone,780 sq.m.,2,3,1,,No Renovation,90 sq.m.,Tavush › Dilijan,"$49,500",USD,"Private house for saleTavush, Dilijancentral part780/90 square metersTavush, q. Dilijan, Kamarini p. _39:The house is subject to reconstructionIf necessary, a project will be providedAll the communications are available, it has a beautiful viewIt is possible to exchange with the car for an additional feeCode VM908Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17989601,
House,Stone,120 sq.m.,3,6,2,,Major Renovation,1000 sq.m.,"Yerevanyan St, Ijevan","$150,000",USD,"For details, call the indicated phone numberTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18177822,
House,Stone,300 sq.m.,3,8+,2,Not available,Major Renovation,1000 sq.m.,Tavush › Dilijan,"$250,000",USD,"3-storey private house is for sale in Dilijan. The living area of the house is 300 square meters, the land is 1000 square meters.On the first floor there is a living room, 2 bedrooms, a kitchen, 2 bathrooms.The first floor is covered with press granite, the second floor with laminate, and the stairs with parquet.The following communications are available ․ electricity, permanent water, gas, sewerage.There are fireplaces on the first and 2nd floor.There is a separate storage room in the yard.There is an orchard.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17175601,
Country House,Stone,289 sq.m.,2,3,2,2 spots,Euro Renovation,600 sq.m.,Tavush › Dilijan,"$260,000",USD,"A two-storey stone summer house is for sale in picturesque Dilijan.The summer house has three bedrooms, two bathrooms, it is euro-renovated.Balcony, garage, yard հող land next to the summer house with its beautiful garden.There is a chat room for up to 10 people, a sieve is installed.The whole building is fenced, there is an iron electric gate.All the utilities are available (water, electricity, gas, etc.)The house is suitable for both living and renting.The property is not mortgaged or seized, it is property.If you have any questions, you can callTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17521755,
House,Stone,263 sq.m.,2,6,1,,Old Renovation,492 sq.m.,"Բլբուլյան փողոց 93, Իջևան","2,500,000 ₽",RUB,2-storey private house is for sale in Ijjan.Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17260538,
House,Stone,146 sq.m.,2,5,2,,Partial Renovation,700 sq.m.,Tavush › Getahovit,"21,000,000 ֏",AMD,"(Code 7/ 14) A two-story detached house for sale in Getahovit village, Ijevan city, the area is 146.6 sq. M., and the plot size is 700 sq. M., it is gasified, has water, electricity, sewerage, the roof is tin, it has 36 sq. M. /m barn. First floor - 1 living room, hallway, small kitchen, bathroom, 2nd floor - 4 bedrooms, kitchen, bathroom. The private house is a concrete structure, and a view of nature opens from the open balcony, the price is AMD 21,000,000. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. I repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18008446,
House,Stone,65 sq.m.,2,5,2,,Cosmetic Renovation,300 sq.m.,Tavush › Dilijan,"$20,000",USD,"A mansion for rent in Dilijan, with a beautiful garden, sunny, beautiful view, the house is located in the centerTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17764692,
House,Stone,60 sq.m.,1,2,1,Not available,No Renovation,1343 sq.m.,Tavush › Dilijan,"$65,000",USD,"Code 1218,Land for sale in Dilijan city, on which there is a building to be demolished with an area of 60 square meters,The ground is flat, on two levels, with a good view, fruit trees.The front is 38 m,all communications are available (gas, water, electricity, sewerage),The road is asphalted and brightTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17808706,
House,Stone,800 sq.m.,1,3,1,1 spot,Cosmetic Renovation,,Tavush › Dilijan,"$82,000",USD,"Կոդ՝ K-17390Վաճառվում է 1 հարկանի առանձնատուն Դիլիջանում։ Առանձնատունը կոսմետիկ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո։ Սանհանգույցը՝ համակցված, նորաոճ սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի բաց լոջա, բարեկարգ բակ՝ դեկորատիվ ծառերով, մշտական ջուր և գազ։ Տեսարանը՝ դեպի բակ և այգի։ Բնակելի տան մակերեսը՝ 80քմ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։1-storey house for sale in Dilijan. The rooms' quantity is 3 (1 hall and 2 bedrooms) The house is cosmetically renovated. The entrance door is iron-made, the windows are euro-based. The bathroom is combined, modern tiled, the electric wires and pipes are newly changed. The house has a balcony, landscaped yard with decorative trees and is supplied with constant water and gas. The view is towards the yard and garden.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.Dilijan",Nov-25-2022_00-20,,,,,https://list.am/en/item/13956676,
House,Stone,1000 sq.m.,2,2,1,,Old Renovation,,Tavush › Achajur,"$15,000",USD,"The house is located in the center of Achajur village, suitable for use as a summer house, call for detailsTranslated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18249874,
