Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links
Country House,Monolith,85 sq.m.,1,2,1,,,Partial Renovation,,Kotayk › Nurnus,"$16,000",USD,"СРОЧНО! Продаю земельный участок в центральной, престижной части дачного района дач Нурнуса (Арзни) находится в 20 километрах от Еревана) земельный участок 600кв. М. Деревья, маленький бассейн, одноэтажный дом не достроенный (можно воздвигнуть 2 и 3 этажи), подвал, деревянный передвижной Домик, вода питьевая и орошаемая) электричество + 350кв. М. Территории, которая почти собственность, т. Е. Находится в нашем распоряжении. Я не брокер - это моя собственность! Прошу звоните после 14-30 дня!",Nov-24-2022_23-10,,,,https://list.am/en/item/14464505
Country House,Stone,160 sq.m.,3,4,2,By agreement,Not available,Partial Renovation,600 sq.m.,Kotayk › Argel,"$35,000",USD,"Трёхэтажная каменая дача, евроокна + балкон, лоджия и маран. Питевая вода, электричество, благоустроеный участок с фруктовыми деревьями, ограда и ворота. Я -собственник, звоните после 12-00 утра.",Nov-24-2022_23-10,,,,https://list.am/en/item/14116928
House,Stone,225 sq.m.,2,7,1,,,Old Renovation,5000 sq.m.,"Geghard Highway 74, Garni","$110,000",USD,"Private house for sale in Garni. It is in a normal condition, it is an ideal option as a summer house. There is a half-built building next to the house, the orchard is big. One of the biggest advantages is that it is cut off from the noise of the street and road. The house has a big open balcony, from where a beautiful view opens to Havuts Tar ""Amenaprkich"" church and Geghama mountains. Price is negotiable.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17150771
House,Stone,90 sq.m.,2,2,1,Not available,Not available,No Renovation,1200 sq.m.,Kotayk › Dzoraghbyur,"$142,000",USD,"A half-built private house is for sale in Dzoraghbyur village, it is provided with gas, electricity, sewerage, irrigation water, drinking water, a well-kept garden, a fence. The house is located in one of the best districts, it is not in the village in summer houses, Azatutyan street, it is not exchanged, it is sold in cash.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17829265
House,Stone,84 sq.m.,1,3,1,,1 spot,Old Renovation,2000 sq.m.,"Улица Баграмяна 6, Гарни","$43,000",USD,"Продается дом 84 кв. М. На участке 2000 кв. М. В с. Гарни, по улице Баграмяна (центр) Участок ровный, есть фруктовые деревья и два больших дерева грецкого ореха. По участку проходит поливной арык. Имеется основательный гараж, котельная и хозяйственные постройки. Возможен обмен на автомобили или рассмотрим ваши предложения. Звонить на Viber или WhatsAppՎաճառվում է առանձնատուն 84 ք. Մ. 2000 ք. Մ մակերեսով հողամասում: Գառնի գյուղում, Բաղրամյան փողոցի երկայնքով (կենտրոն) : Հողամասը հարթ է պտղատու ծառերով և երկու մեծ ընկուզենիներով: Հողամասի միջով անցնում է ոռոգման խրամատ: Կա ամուր ավտոտնակ, կաթսայատուն և տնտեսական շինություններ: Կարող եք փոխանակվել մեքենաների հետ կամ մենք կլսենք ձեր առաջարկները: Զանգահարեք Viber կամ WhatsApp.",Nov-24-2022_23-10,,,,https://list.am/en/item/16852417
House,Stone,160 sq.m.,1,5,1,,,Euro Renovation,1600 sq.m.,"8-րդ փողոց 15, Կամարիս","60,000,000 ֏",AMD,"Roof, attic, solar system, individual heating, solar water heater, orchard, summer kitchen, cattle shed, garage.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18347751
House,Stone,400 sq.m.,2,7,3+,Available,Not available,Major Renovation,3001 sq.m.,Kotayk › Tsakhkadzor,"$850,000",USD,"In Tsaghkadzor, one of the most beautiful places in Armenia, a private house is for sale, which can be used as a guest house. The summer house consists of 2 buildings. The building area of each private house is 400 sq/m.The total area of the land is 3001 sq/mIn general there are:7 bedrooms,2 living rooms, each with its own fireplace2 kitchens4 bathrooms6 open balconies2 basements1 sauna (separate building)The summer house has a large, walled garden, where many fruit and ornamental trees, shrubs and flowers are planted. There is also a chat room and a booth.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18007003Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18007003
House,Stone,516 sq.m.,4+,6,3+,Available,1 spot,Partial Renovation,1316 sq.m.,Kotayk › Kanakeravan,"74,000,000 ֏",AMD,"4-storey house for sale in Kanakeravan4-5 km away from Davtashen.The total area is 516 square meters, has a plot of land with fruit trees, 1316 square meters,Garage, halls, sauna, tiled bathrooms, kitchen, 5 bedrooms, living room, open balconies, attic այլ other buildings adjacent to the house, the floor of the house is partly tiled, partly wooden parquet. The house is on the right side, with a beautiful view of Mount Ararat from all floors.The house is represented by the owner,You can call the mentioned phone number for more details.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17265590
House,Stone,240 sq.m.,2,6,1,,,Partial Renovation,1200 sq.m.,Kotayk › Arzakan,"$70,000",USD,"A two-story private house and a plot of land with fruit trees are for sale in Arzakan village (Aghveran), Kotayk region. The total area of the house is 240 square meters, cold and hot constant water, heating. On the first floor of the detached house there is a living room, a kitchen, a bathroom, a pantry, and on the second floor there are six bedrooms, a balcony, and the second floor also has a garage for cosmetic repairs. Price negotiable or exchange for a house in Yerevan. For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18077630
House,Stone,175 sq.m.,2,4,2,,,Euro Renovation,350 sq.m.,"Մեսրոպ Մաշտոցի փողոց 1-ին նրբանցք 16, Առինջ","$125,000",USD,Private house in Arinj village has all the amenitiesTranslated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/17516702
House,Stone,270 sq.m.,1,5,2,,,Cosmetic Renovation,2000 sq.m.,Kotayk › Nor Geghi,"$72,000",USD,The house is located in Nor Geghi.The house has all the communal facilities. It has a garden. Home pictures only for personal viber WhatsApp. The second floor is 150 square meters and the first floor is a garage with summer kitchen.Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/17762948
Country House,Stone,280 sq.m.,2,4,3+,,,Major Renovation,1000 sq.m.,Kotayk › Ptghni,"$270,000",USD,"Վաճառվում է Առանձնատուն Պտղնի գյուղում:Ունի նկուղ, երկու հարկ և մանսարդ, տան ընդհանուր մակերեսը 280 քմ, բոլոր կոմունալ հարմարություններով, գազ, լույս, ջուր: Առանձնատունն ունի՝ լողավազան, գեղեցիկ այգի 1000 քմ, դրսի խոհանոց: Հողամասով և բոլոր տեսակի պտղատու ծառերով, փակ և բաց ավտոտնակներ:Տունը ունի բարձր և հարմարավետ դիրք:Գտնվում է իդեալական վիճակում.",Nov-24-2022_23-10,,,,https://list.am/en/item/18347402
House,Stone,100 sq.m.,3,3,3+,,,Euro Renovation,,Kotayk › Abovian,"$551,000",USD,"Each floor is rented by the dayOwn House 3 floors, each floor has 3 roomsFor details, you can also contact us via whatsapp and viberTranslated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/8461749
House,Stone,150 sq.m.,2,4,1,By agreement,3 or more spots,Cosmetic Renovation,1700 sq.m.,Kotayk › Garni,"$150,000",USD,"Two-storey house in Garni, House in Garni village, a house in the village of Garni$ 120,000 negotiableUrgent!Kotayk ›GarniBuilding type:Stone:Rooms:4:Area:150 m2:Address: Kotayk region, village Garni 2 ave. 6th st. 1 houseA two-storey house is for sale right next to Garni-Geghard tourist road, 22 km away from Yerevan. It is fenced, has a 1700 m2 orchard, a basement, a refrigerator with a capacity of 10 tons, a tonir, a garage with a balcony, as well as 2 additional rooms on the 1st floor. It is gasified, has permanent drinking water, irrigation water, electricity, BAXI system, bathroom: Bathroom.It can also be used for business purposes as a guest house, restaurant or recreation areaThere is also a video:www.youtube.com/watch?v=wik5spkyg-c:Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17610811
House,Stone,100 sq.m.,1,3,1,,,Old Renovation,900 sq.m.,Kotayk › Garni,"$90,000",USD,"The house is located in the village of Garni, 300m away from the temple, 3 minutes on foot, convenient for everything, the frontage is 30mTranslated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18225183
Country House,Stone,60 sq.m.,2,1,1,,,Old Renovation,500 sq.m.,Kotayk › Bjni,"$15,000",USD,"Ամառանոց Արզաքյանում քարե շենք, 2հարկանի 1հարկը պադվալային է 2-րդ սեյնակնա ամբողջ հողատարածքը 500քմ։ Նաև փոխանակում դեր կողմից հավելավճարով ավտոմեքենայի հետ։ Սակարկելի",Nov-24-2022_23-10,,,,https://list.am/en/item/12108177
House,Stone,170 sq.m.,2,3,2,,Not available,Partial Renovation,315 sq.m.,Kotayk › Zovuni,"$53,000",USD,"The semi-detached Wichakuma house is located. We also plan to complete the construction work at that time for $100,000. Total land size is 315 square meters.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18047264
House,Monolith,860 sq.m.,3,8+,3+,,,No Renovation,5000 sq.m.,Kotayk › Aramus,"$400,000",USD,"The facade of the mansion is a thick hewn stone, it has a beautiful view.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18035164
Country House,Stone,145 sq.m.,3,4,1,,1 spot,Major Renovation,500 sq.m.,Kotayk › Dzoraghbyur,"$38,000",USD,"Urgent. Capital renovated 3-story country house, irrigation water and electricity, no gas or water, 5-ton water tank, Ariston water heater, house is heated by chimney, has yard and land with fruit trees, fenced, price includes furniture. , exchange for a car,It's already the last price, don't call to lower the price.High ketuma, the last 200 meters of the road is dirt,water and gas point 50 meters awayTranslated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17258714
House,Stone,100 sq.m.,1,4,1,,Not available,No Renovation,500 sq.m.,"Zovuni 16 street, Zovuni","$80,000",USD,The house is located in the new district of Zovuni. Call for details.Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/14613545
Country House,Stone,740 sq.m.,2,4,1,Available,1 spot,No Renovation,,Kotayk › Dzoraghbyur,"23,000,000 ֏",AMD,"The summer house is equipped with gas and electricity. House 116.85 sq. M. For details, call negotiable. The garden is full of productive trees, the summer house is not renovated. Fully fenced. 24.000.000 (DRAM) Equivalent to the car in exchange.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17279152
House,Stone,200 sq.m.,2,8+,1,Not available,2 spots,Euro Renovation,,"Գ․ Սարյանի 2-րդ նրբանցք 1, Հրազդան","$39,000",USD,A newly built basalt two-storey private house is for sale by the owner. There is an orchard with all utilities.GarageRenovatedParquetFireplace.The 4th school and the kindergarten are close.Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/15688769
House,Stone,120 sq.m.,1,4,1,,Not available,Old Renovation,,"Grigor Zohrap street, Garni","$80,000",USD,"It has a bakery, a plot of land, a cellarTranslated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18319359
House,Stone,300 sq.m.,3,5,3+,,2 spots,Major Renovation,1040 sq.m.,Kotayk › Dzoraghbyur,"$270,000",USD,"3-storey private house with a basement area is for sale, with a living area of 300 square meters, a land of 1040 square meters, in the area of Dzoraghbyur summer houses, next to a park. The house is fully repaired, individual heating system is installed, solar water heating station, euro windows, the floor is covered with quality parquet and tiles. The bathrooms are covered with European tiles, they are equipped with sanitary ware. On the 1st floor there is an entrance hall, a living room with a fireplace, a kitchen, a terrace and 1 bathroom, on the 2nd floor there are 2 bedrooms with adjoining bathrooms. The 3rd floor is an attic, which is a large open space, it is convenient to transform into 3 bedrooms. The house is furnished and equipped with high quality household appliances. The yard is fenced, there is a green area with ornamental plants, deer, fruit trees, a pavilion with a fireplace, an outdoor swimming pool, a parking lot. The area is provided with cameras. The yard has 2 entrances from different sides.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17900013
House,Monolith,360 sq.m.,2,8+,3+,,,No Renovation,430 sq.m.,Kotayk › Arinj,"$300,000",USD,"A 2-story private house with a large terrace on the 3rd floor is for sale in the intersection of Avan-Arinj village, the total area of which is 360 square meters, each floor is 120 square meters, and the land area is 430 square meters. The main construction works of the mansion have been done, the roof and wall partitions have been made, panoramic windows have been installed, communications are in place, electric wires, sewage and water supply pipes and gas have been laid, the floor has been leveled. On the 1st floor there is a living room, a separate kitchen, a study, a bedroom with its own bathroom and 1 bathroom for guests, on the 2nd floor there are 4 bedrooms, all with dressing rooms, 2 bathrooms and an open balcony. Entrance from 2 bedrooms. The yard is fenced, there is an outdoor parking space. The neighborhood is populated and developing rapidly, there are newly built houses, shops and transport stops nearby.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18165007
House,Stone,220 sq.m.,1,3,1,,,Euro Renovation,3000 sq.m.,Kotayk › Alapars,"$55,000",USD,"Private house for sale in Alapars village, 10 walnuts with fruit treesTrees, irrigation water, natural gas windows, European production house is renovatedThe land is fenced.Call the mentioned phone number for details.I will provide pictures if you wish.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17852392
House,Monolith,120 sq.m.,1,5,2,Not available,Not available,Partial Renovation,800 sq.m.,"5-րդ փողոց 9, Նոր Գյուղ","$80,000",USD,"Own house for sale in Nor-gyuh, adjacent to Abovyan city, separate land area of 1000 square meters, 128 square meters, built a house in the beginning, in new streets, the house is 1 story, 1.20 elevation, has fruit trees, garden soil, filled with black soil, near 15 zil bus stop. Call me with any questions. The owner may exchange for 4 stoves at your additional costTranslated from Armenian",Nov-24-2022_23-10,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/16519599
Townhouse,Stone,692 sq.m.,3,5,3+,By agreement,2 spots,Designer Renovation,641 sq.m.,"Մայիսյան փողոց 34, Ոստան","$1,000,000",USD,"In Tsaghkadzor, a three-story, unique tonhouse is for sale, which can serve as a guest house.On the 1st floor there is:swimming poolshock bath-bathroomshower roomlaundry room2nd floor:-Entrance hallliving room-kitchen-bathroomopen balcony3rd floor:-5 bedrooms, 2 of which have their own private bathroomsand 1 shared bathroomIt has a beautiful green yard. There are auxiliary buildings in the yard:conference hall for about 60 peoplesummer kitchenWineryoutdoor pavilionclosed pavilionThe tonhouse is partially sheltered.A video surveillance system is installed.There is a garage.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18313998
House,Stone,120 sq.m.,2,3,1,,,Partial Renovation,1400 sq.m.,Kotayk › Aghveran,"16,000,000 ֏",AMD,"Garage, bergamot garden, electricity, drinking water.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18320952
House,Monolith,675 sq.m.,1,4,2,,2 spots,Major Renovation,475 sq.m.,"3-րդ փողոց 4, Գետարգել","$185,000",USD,"IN SMOYA beautiful private house is for sale, built according to European standards, monolith, the roof is monolithic, newly built (only 5 years old) The walls and the roof are built with a thermal insulation system. The roof is mansard, H = 4 m, has windows on 3 sides, which allows to increase the number of bedrooms with a building permit. It has 1 living room, 3 bedrooms, 2 bathrooms, individual heating system, 3 air conditioners.The house has 2 fire extinguishers, a closet. The house has a separate gas and sewer.The whole house is fenced. The gate is a blacksmith, through which the entrance to the parking lot is opened. It also has a forged front door. The front of the land is 20 m.There are newly planted fruit trees, ornamental trees and flowers in the garden.IN CASE OF REAL PURCHASE THE PRICE IS NEGOTIABLECode 24471Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/16687103
House,Stone,670 sq.m.,2,4,1,Not available,1 spot,Cosmetic Renovation,500 sq.m.,"12-րդ փողոցի 3-րդ փակուղի 12, Ջրվեժ","$120,000",USD,"The living area of a two-story house is 170 sq. M. Garage 13 sq / m. And the land is 500 sq. M. Constant hot-cold water, electricity, gas, individual heating system. For more information, call or write negotiable. Exchange with an apartment in Jrvezh for a surcharge.The house is not for rentTranslated from Armenian",Nov-24-2022_23-10,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/15901952
House,Stone,450 sq.m.,3,8+,3+,,,Euro Renovation,1400 sq.m.,"Abovyan Highway, Yerevan","$370,000",USD,"Own house for sale, renovated in Euro. 8 bedrooms. 3 bathrooms. Conditioners. Bucks and others.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18059523
Country House,Stone,1000 sq.m.,3,7,1,,,Old Renovation,,Kotayk › Ptghni,"$50,000",USD,"Имеется вода и питьевая, роскошный сад, много комнат, участок может сдан в аренду как зона отдыха, много плодовитых деревьев",Nov-24-2022_23-10,,,,https://list.am/en/item/18065579
House,Stone,210 sq.m.,1,8+,1,,,Partial Renovation,800 sq.m.,Kotayk › Nor Geghi,"$150,000",USD,"Дом построен с нуля, участок ограждён,есть постоянная горячая и холодная вода, газовое отопление ""Baxi"",высота потолков 3,10 м.По подробным вопросам звонитьԲնակարանը կառուցվել է զրոյից հողատարացքը պարսպապատված է ունի մշպական տաք և սառը ջուր գազ ջեռուցումը բաքսի արաստաղի բարցրությունը 3.10 մ մանրամասն հարցերի համա զանգահարել",Nov-24-2022_23-10,,,,https://list.am/en/item/17636801
House,Stone,1500 sq.m.,1,3,1,Available,1 spot,Partial Renovation,,Kotayk › Garni,"$180,000",USD,"The house is located in Garni, just above the Symphony of Stones, at the mouth of the gorge, it has a very beautiful place of interest, you can build a hotel, a summer house, a place of rest in the area and many other beautiful things because of its place of interest. Drinking water, drinking water, gas, electricity, call for details. Price is not final Negotiable.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/16966140
House,Stone,270 sq.m.,3,5,3+,,,Major Renovation,700 sq.m.,Kotayk › Zovuni,"$320,000",USD,"A 3-story stone house is for sale in Zovuni, Kotayk Marz.The total land area is 700 square meters, and the residential area is 270 square meters.The house is fully renovated.On the 1st floor is located:1 dining room1 kitchen1 bathroom1 living roomOn the 2nd floor:1 bedroom1 dining room1 bathroom1 kitchenEntrance hallOn the 3rd floor:3 bedrooms1 bathroomEntrance hall1 open balcony* There is also a storage room of 50 square meters and a basement of 1.20*4.* Closed garage for 2-3 cars.* There is a chat room, barbecue, fruit trees in the yard.* The house is secured by a security system.* Sold together with kitchen furniture.Selling price: 320,000 USDCode: AH-T10Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17563709
Country House,Stone,320 sq.m.,3,5,1,Available,2 spots,Old Renovation,530 sq.m.,Kotayk › Dzoraghbyur,"$40,000",USD,#BITCOINA 3-storey stone house in Dzoraghbyur is for sale very urgently.*Immediately under the house there is a spacious stone garage with the possibility of parking 2 + more cars.*The area of the plot is 530 square meters. M.:*The yard of the mansion is paved.*Total number of rooms is 5 + basement.*Call for other information.Code G090Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/17985219
Country House,Stone,1600 sq.m.,2,6,1,Available,2 spots,Partial Renovation,,Kotayk › Hankavan,"$55,000",USD,"Total area - 1200m2The area of the house is 210 m2, 2 floors.Has a garageThe ground floor can serve as a workshop or storageThe grounds include a stable, orchard, fertile landLand, Land, Khankavan, House, mansion, Dacha, Khankavan, village, Village, plot of landTranslated from Armenian",Nov-24-2022_23-10,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/12752217
House,Stone,300 sq.m.,3,7,2,,,Major Renovation,600 sq.m.,"Jrvezh 13-th street, Jrvej","$235,000",USD,"A beautiful 3-storey private house is for sale in Jrvezh.• The house was built in 2018, consists of 3 floors:On the ground floor there is a garage for 2 cars.2nd floor: Hall, 3 bedrooms, bathroom and storage room.On the 3rd floor, a spacious kitchen, an open balcony with a wonderful view of Ararat, a large living room and 2 bedrooms.• The house is fully renovated, equipped with furniture and appliances, European windows are installed, wooden interior doors.• The floors are covered with German tiles and laminate.• Heating is carried out by gas boiler.• The house has a beautiful green yard with trees, flowers, summer kitchen with barbecue.• School, kindergarten, bus stop, necessary shops are nearby.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code SKP175Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17727098
House,Monolith,190 sq.m.,2,4,3+,,,No Renovation,300 sq.m.,Kotayk › Kasagh,"$210,000",USD,"A 3-storey luxurious private house is for sale in Kasakh village, near Yerevan.• European windows are installed, interior walls are plastered, floors are leveled.• Electrical installation, installation of water, heating and sewer pipes.• All communications are available: Gas, water, electricity.• The private house consists of 2 floors and a spacious basement floor, according to the floors the height of the ceilings is equal: 3 meters, 3.5 meters, 3 meters.• The house is lined and fenced.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code MC051Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17824424
House,Stone,160 sq.m.,2,4,2,,,Partial Renovation,345 sq.m.,"Garegin Nzhdeh Street, Kasakh","$150,000",USD,"A 2-storey stone house is for sale in Kasakh village, near Yerevan.• Euro windows are installed.• Electrical installation, installation of water, heating and sewage pipes has been done.• All communications are available: Gas, water, electricity.• The house consists of 2 floors.On the first floor there is a living room, a kitchen, a bathroom.On the 2nd floor: Open balcony, 3 bedrooms, bathroom.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the sale price.Code MC050Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17824186
House,Stone,150 sq.m.,1,4,1,,,No Renovation,,Kotayk › Jrvezh,"$110,000",USD,"One-story stone house in Jrvezh, 150 square meters. Exchange for an apartment in the centerTranslated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17823250
Townhouse,Monolith,149 sq.m.,2,4,3+,Not available,Not available,No Renovation,210 sq.m.,"Hatis street 1, Abovyan","38,000,000 ֏",AMD,Hatis 1/104/9 120 square meters residentialTranslated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/16240136
House,Stone,104 sq.m.,2,3,1,Not available,3 or more spots,No Renovation,1400 sq.m.,Kotayk › Jrvezh,"$170,000",USD,"Unrenovated two-story private house for sale in Jrvezh. The total area of the two-story house is 208 square meters, the land area of the residential building is 500 square meters, and the land area of 900 square meters is designated as a village.The house has not been renovated, it has constant water and electricity, inside the house is plastered, plastered, the entrances and exits of the water pipes are left, the windows are of European manufacture. The mansion has 5 separate bedrooms, two separate bathrooms. The roof is ideally equipped!There are 60 productive trees in the plot, in the form of a storage building.Agency conditions:Agency commission 2.0%Working hours: 10:00-20:00, Monday-Sunday.Call for other questions.Code A04178Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17323174
House,Stone,340 sq.m.,3,5,3+,,,Major Renovation,780 sq.m.,Kotayk › Dzoraghbyur,"$369,000",USD,-----The house is fully renovated-----Has a swimming pool and a summer lounge-----Code A079Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/18345125
House,Stone,270 sq.m.,2,6,3+,,,Major Renovation,650 sq.m.,"Zovuni 6 street, Zovuni","$300,000",USD,"3 հարկանի շքեղ առանձնատուն, Զովունիում՝ Դավթաշենից 5 րոպե հեռավորության վրա։ Հողի ընդհանուր մակերեսը կազմում է 650ք. Մ. , բնակելին՝ 260 ք. Մ.: Առանձնատունը կապիտալ վերանորոգված է, տեղադրված են եվրո դռներ և պատուհաններ: Ունի 6 սենյակ, 2 խոհանոց և 3 սանհանգույց: Սանհանգույցները, միջանցքները և խոհանոցները սալիկապատ են: Հատակը ծածկված է դուռն մանրահատակով: ՈՒնի բաց պատշգամբ, խորդանոց, մշտական ջուր, նկուղ՝ 50քմ: Առանձնատան դիմաց կա գեղեցիկ այգի, պտղատու ծառեր: Տեղադրված է անհատական ջեռուցման համակարգ: Առանձնատան ամբողջ տարածքը պարսպապատ է, հսկվում է տեսախցիկներով: Բակում կա կայանատեղի, ոռոգման ջուր: Առանձնատունը վաճառվում է խոհանոցի կահույքով: ՈՒնի ավտոտնակ՝ հեռակառավարման դարպասովԿոդ 7215",Nov-24-2022_23-10,,,,https://list.am/en/item/14557970
Country House,Stone,148 sq.m.,2,4,1,,,Old Renovation,500 sq.m.,Kotayk › Bjni,"$20,000",USD,The summer house is located in Arzakan administrative district. It has a constant light. The region has gas and water.Call for details.Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/16490480
House,Stone,144 sq.m.,2,4,2,,,No Renovation,300 sq.m.,Kotayk › Kasagh,"$70,000",USD,"A two-story private house for sale in Kasakh, in the central part, the living area of the house is 144 m2, there is a plot of land of 300 m2, an iron door is installed, it is sold with installed windows, the walls are plastered, it is sold urgently.Code E-2015Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/18309197
House,Stone,220 sq.m.,2,5,2,Not available,2 spots,Cosmetic Renovation,500 sq.m.,"Arinj 15-th street, Առինջ գյուղ","$145,000",USD,"Newly built private house for saleSolid structureGas, water, electricity, sewageAnother similar house next doorGaragefenceWater, electricity, gas, sewageWe can also finish the work and sell it at your requestIt has an attic of 70 m/sq.For the rest, call VIBERI mobile number... (phone number)Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17044984
House,Stone,280 sq.m.,2,5,2,Not available,2 spots,Partial Renovation,500 sq.m.,"Arinj 15-th street, Առինջ գյուղ","$145,000",USD,New buildingGarden yardNear Avan ArinjNewly built districtWater supply to the sewerLet's warm upEuro windowsGarageSecurity system (cameras)Attic 80 m / sVery quiet districtCall for the restViber…Whats APP…Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/17040969
House,Stone,147 sq.m.,1,4,1,By agreement,1 spot,Euro Renovation,238 sq.m.,"Geghard Highway 13, Garni","$66,000",USD,Nork Marash Solid stone structure Nork Marash 7 streetHalf bedroom + residential floor + atticHeating systemGarageIt has an attic that has not been repairedBackyard gardenTranslated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/10523573
House,Stone,256 sq.m.,3,4,2,Not available,1 spot,Cosmetic Renovation,800 sq.m.,Kotayk › Ptghni,"$70,000",USD,"The house is in normal condition, with fruit trees, permanent water, electricity gas, possibility, irrigation water, details by callTranslated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17619839
Country House,Stone,510 sq.m.,3,5,1,,,Partial Renovation,360 sq.m.,"Ձորաղբյուր 32-րդ փողոց 21, Ձորաղբյուր","16,000,000 ֏",AMD,"Three-storey stone summer house, has an orchard, electricity, irrigation water, sewerage, gas չկա no drinking water, two balconies, partially renovated, furnished, tiled.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17521673
Country House,Stone,180 sq.m.,3,3,2,Not available,3 or more spots,No Renovation,600 sq.m.,"Ամառանոցային փողոց 34, Ձորաղբյուր","$48,000",USD,"URGENT - for sale, ownership documents available.Semi-detached… as you can see in the pictures. There is electricity and gas near the gate.See the location in pictures from Lea Market.Call to see.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17476146
House,Stone,480 sq.m.,2,4,3+,,,No Renovation,1200 sq.m.,"4-րդ փողոց 1, Մայակովսկի","$300,000",USD,ID12807:2-storey private house with 480 square meters area is for sale in Kotayk region. The house has a swimming pool. The total land area is 1200 square meters.Translated from Armenian,Nov-24-2022_23-10,,,,https://list.am/en/item/17277224
House,Stone,158 sq.m.,2,4,2,,,Euro Renovation,350 sq.m.,Kotayk › Kasagh,"$150,000",USD,"Two-storey, 2_bathrooms, gas, water, light, euro doors, balconies, euro-renovated house, 158 sq. M. Մ. , asphalt street. The land is 350 square meters. Մ.Translated from Armenian",Nov-24-2022_23-10,,,,https://list.am/en/item/17620882
