Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
House,Stone,150 sq.m.,2,3,1,,,Major Renovation,500 sq.m.,,,,,,"13-րդ փողոց 18, Հաղարծին","20,000 ֏ daily",AMD,"Apartment for daily rent in Dilijan. It has three bedrooms, living room, kitchen, bathroom, it is in a completely renovated condition, it is on the way to Dilijan Haghartsin church, the price is negotiable. House for rent. Apartment in Dilijan in Dilijan. House with an apartment for rent in Dilijan. House for rent in Dilijan.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17880487
House,Stone,150 sq.m.,2,3,1,,,Euro Renovation,,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"House for long-term or daily rent, with all amenitiesTranslated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17814189
House,Wooden,115 sq.m.,2,3,1,Available,Not available,Designer Renovation,1000 sq.m.,6,Yes,No,Not included,2 weeks,Tavush › Dilijan,260 ֏ monthly,AMD,"House, cottage, rest house long-term and short-term.It is located next to the hotel of the Central Bank of Dilijan, near the forest.Equipped with all amenities.Two-storey house in Dilizane, 115 sq. M. М. , repair in designer style:Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17484155
House,Stone,100 sq.m.,2,3,1,,,Designer Renovation,5000 sq.m.,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"House for daily rent, guest house in Dilijan with all communal facilities. Designed for up to 7 people. There is a pavilion for up to 20 people in the yard. Summer kitchen, A stream + pavilion flows through the garden on the river bank. Kitchen and bath accessories, parking, wf, smart TV, barbecue bottles are provided. It is heated by bax system, heated floor.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16323185
House,Stone,110 sq.m.,1,5,1,,,Euro Renovation,350 sq.m.,1,Yes,Yes,Not included,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"A private house for daily rent (also long-term) in the Haghartsin community of Dilijan with all utilities. It is intended for a maximum of 10 people. There are 2 bedrooms, 1 living room, 1 kitchen, 1 bathroom. There is a spacious pavilion in the yard. Is also an internet system. It is located near the main highway.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18023577
House,Monolith,500 sq.m.,2,8+,2,,,Old Renovation,500 sq.m.,,,,,,Tavush › Ijevan,"$1,000 monthly",USD,A private house for the IT sector of the hostel is available on loanTranslated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18029760
House,Stone,250 sq.m.,2,4,2,Available,2 spots,Cosmetic Renovation,2300 sq.m.,8+,Yes,Yes,Included,By Agreement,"Kamo Street, Dilijan","60,000 ֏ daily",AMD,"Առանձնատունը գտնվում է հսկայական 2300 մ2 տարածքում՝ Դիլիջանի մաքուր օդի և բնության գրկում: Առանձնատունը ունի 4 ննջասենյակ, երկու ընդարձակ հյուրասենյակ, երեք պատշգամբ, սանհանգույց ամեն հարկում, խոհանոց, բուխարի: Տարածքում առկա են խորովածանոց/զրուցարան, անվճար WiFi և ավտոկայանատեղի: Առանձնատունը հյուրընկալում է մինչև 11 հոգի (9 + 2) :Վարձակալությունը արժե 60,000 դրամ/օր։Երկարաժամկետ վարձակալության արժեքը պայմանագրային է։Дом расположен на огромной территории 2300 м2, в окружении свежего воздуха и природы Дилижана. В доме 4 спальни, две просторные гостиные, три балкона, санузел на каждом этаже, кухня, камин. Барбекю/беседка на территории, бесплатный Wi-Fi и парковка. В доме могут разместиться до 11 человек (9 + 2)Аренда стоит 60,000 драмов/день.Стоимость долгосрочной аренды по договоренности.The house is located on a huge 2300 m2 area, surrounded by the fresh air and nature of Dilijan. The house has 4 bedrooms, two spacious living rooms, three balconies, bathroom on each floor, kitchen, fireplace. On-site BBQ/gazebo, free WiFi and parking. The house hosts up to 11 people (9 + 2)The rental costs AMD 60,000/day.The long term rent cost is by negotiation.",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18270250
House,Stone,81 sq.m.,2,6,1,Available,Not available,Cosmetic Renovation,100 sq.m.,6,Yes,No,Included,By Agreement,Tavush › Dilijan,"5,000 ֏ daily",AMD,"A two-story private house is for rent. The second floor of a private house is for rent.The house is located in the lap of nature. It has 2 bedrooms, a large hall, a kitchen, a bathroom, it is equipped with communal facilities.The mansion is located on the road leading to the Haghartsin monastery complex, next to the ""Dili Jazz"" restaurant complex.The guest house is designed for 5-7 people. 5000 per person. 25,000 per day for up to 4 persons.Discounts applyWe are waiting for you with love#guest_house #guest house #Dilijan #the house#To the victimEntry at 14:00Departure at 12.00Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/15782624
Townhouse,Bricks,15 sq.m.,1,2,1,,,Cosmetic Renovation,80 sq.m.,,,,,,Tavush › Dilijan,"15,000 ֏ daily",AMD,"A small summer house with all living amenities is for rent, has one bedroom with a double bed + a living room with an armchair and a sofa, a beautiful yard, a pavilion + a barbecue, a children's playground, a parking lot which is monitored by cameras. Up to 4 people can stay overnight, the price varies according to the number of days.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17041550
House,Stone,1000 sq.m.,3,5,3+,,,Major Renovation,800 sq.m.,,,,,,"Kalinini street, Dilijan station","8,000 ֏ daily",AMD,"Guesthouse in DilijanRelax in one of the comfortable guest houses of Dilijan, the guest house has 5 bedrooms, 3 kitchens, 4 bathrooms, 2 living rooms, a spacious yard and a bakery.1st floor: 1 bedroom 3 places, kitchen, bathroom, TV, Wi-Fi, Price: 24000 AMD.2nd floor: 3 bedrooms 6 places, kitchen, 2 bathrooms, living room, Smart TV, Wi-FiThe price is 48,000 drams.3rd floor: 1 bedroom 4 places, bathroom, living room, balcony, Smart TV, Wi-FiThe price is 32,000 drams.There is a summer-winter bakery in the yard with all its amenities, it is very suitable for banquet days, why not for small wedding parties and other ceremonies.The price of a common house for up to 15 people is 120,000 AMD.5-10% discount for more than 2 daysPlaces are limitedThere are discounts for celebrating birthdays.Cleanliness, safety and most importantly լավ good rest is guaranteed.For details, call the mentioned phone numbers...Welcome...We look forward to...Dilijan / house for daily rent /Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/11034706
Country House,Stone,150 sq.m.,2,4,2,,,Partial Renovation,1500 sq.m.,7,Yes,No,Not included,2 months,Tavush › Dilijan,"300,000 ֏ monthly",AMD,"For rentNormal clean houseInternet, gas, waterTranslated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18359589
Country House,Panels,500 sq.m.,2,4,2,Available,3 or more spots,Major Renovation,1500 sq.m.,8+,Yes,Yes,Not included,By Agreement,Tavush › Dilijan,"550,000 ֏ monthly",AMD,"The house has 4 bedrooms, hall, living room, kitchen, 2 bathrooms. There is a heating system and fast internet.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18359458
Country House,Stone,100 sq.m.,1,4,2,Available,Not available,Euro Renovation,450 sq.m.,8+,Yes,Yes,Included,By Agreement,"Andranik Street, Dilijan station","60,000 ֏ daily",AMD,Spend your vacationComfortable private house in DilijanTo enjoy your complete rest.The house can accommodate 6-8 people* 3-bedroom* 2 - bathroom* 1 - Living room* Summer kitchen with all its amenities* WI-FI-internetGreat for spending fun with family or friends.The daily fee varies depending on the number of daysCall the viber numberTranslated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16734531
House,Stone,150 sq.m.,2,3,1,Available,2 spots,Designer Renovation,600 sq.m.,7,Yes,Negotiable,By Agreement,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"""Tati Tun"" private house with all utilities is for daily rent. Located in the fir tree district. The guest house has two bedrooms, a living room, a kitchen with a bar, a bathroom and an open balcony.Stereo speakers are installed in the living room. The house has a parking area with closed gates. There is a chat room outside.We are waiting with love.Translated from Armenian",Nov-24-2022_23-01,"TElevision, internet, barbecue oven, gazebo","FRidge, coffee maker, washing machine, iron, hair dryer",,,,,,https://list.am/en/item/16502662
House,Stone,90 sq.m.,1,3,1,Available,2 spots,Euro Renovation,1000 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"We offer you a beautifully renovated, fully furnished vacation home. The house has a spacious parking lot, a green pavilion. Our ""Hospitable Hearth"" is waiting for you with love.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18050411
Country House,Stone,80 sq.m.,1,3,1,Available,3 or more spots,Euro Renovation,1533 sq.m.,6,Yes,No,Included,By Agreement,Tavush › Hovk,"45,000 ֏ daily",AMD,"(Friday, Saturday, Sunday) - days 50,000It is planned for up to 6 people in a family.The summer house is located in Dilijan community - c. Hovkum, a miracle of natureIn a hug.Next to the highway.The cottage has everything you needThe accessories.Nearby-Stone Lake 3 minutes,(Altar, Gosh) - 15 minutesTranslated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16254259
House,Stone,45 sq.m.,1,2,1,,,Major Renovation,600 sq.m.,5,Yes,No,Included,By Agreement,"Shamakhyan Street, Dilijan station","20,000 ֏ daily",AMD,"Private house for rent / daily rent in Dilijan.Spend your summer / winter vacation in fairytale Dilijan.The house is provided with all the communal amenities. It has 1 room, a living room, a kitchen, a bathroom, a balcony (with a beautiful view of nature), a large private yard, free WI-FI. In winter, the house is heated by an electric heater. To reserve and call for questions.ONLY THOSE WHO WANT REAL.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16329353
House,Stone,110 sq.m.,2,3,1,,,Major Renovation,1000 sq.m.,,,,,,"13-րդ փողոց 18, Հաղարծին","30,000 ֏ daily",AMD,"Own house for rent in Haghartsin village, the house is completely renovated, the house is equipped with cold hot water and gas.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18110039
Country House,Stone,200 sq.m.,2,4,2,Available,Not available,Major Renovation,700 sq.m.,8+,Yes,Yes,Included,1 month,Tavush › Dilijan,"25,000 ֏ daily",AMD,"A private house is for daily rent in Dilijan. The private house is provided with all the amenities, it is a newly built capital building.Living Room֊ 2:Kitchen֊ 1:Bedroom֊ 4:Bathroom ֊ 2:PavilionBarbecueBarbecue bottles, woodTablewareBed:The private house is located in Haghartsin monastic complex and near Parz lake.We can accept 15 people at the same time.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16197520
House,Stone,400 sq.m.,1,4,1,,Not available,Cosmetic Renovation,700 sq.m.,8+,Yes,Yes,By Agreement,Without prepayment,Tavush › Ijevan,"15,000 ֏ daily",AMD,Сдаётся дом посуточно. Долгосрочная аренда 80000 в месяц. Տրվում է օրավարձով տուն: 6 անձից ավելի դեպքում գինը փոփոխվոմ է։,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18095303
Country House,Wooden,100 sq.m.,1,3,1,,,Designer Renovation,1000 sq.m.,,,,,,Tavush › Dilijan,"20,000 ֏ daily",AMD,"House, cottage, rest house long-term and short-term.It is located next to the hotel of the Central Bank of Dilijan, near the forest.Equipped with all amenities.Two-storey house in Dilizane, 115 sq. M. М. , repair in designer style:Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17936550
House,Stone,416 sq.m.,3,5,3+,Available,3 or more spots,Euro Renovation,"36,500 sq.m.",8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"80,000 ֏ daily",AMD,"The daily rent of the mansion is 80,000 AMD from Monday to Thursday, and 100,000 AMD from Friday to Sunday.Enjoy an unforgettable vacation for 20 peopleIt is given only to families.The price includes:5 BEDROOMSGREAT HALLFireplaceChildren's playroomTable tennisSwimming poolSauna4 living rooms (smart TV in living rooms)4 BATHROOMS4 REVENGESwingCampfire cornerChildren's playgroundWiFi:Towel, bathrobe, disposable itemsFree parkingARE ALSO AT YOUR DISPOSALOutdoor pavilion (gazebo) for 16 peopleMangalDishKitchenAll this is only at your disposal.The cottage is located 25 km from Dilijan.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17863978
House,Stone,240 sq.m.,2,4,2,Available,3 or more spots,Cosmetic Renovation,800 sq.m.,8+,Yes,Yes,By Agreement,Without prepayment,Tavush › Dilijan,"15,000 ֏ daily",AMD,"Call for details. We also have another house for rent, and we are also booking for New Year's on a monthly basis!Translated from Armenian",Nov-24-2022_23-01,"TElevision, internet, barbecue oven","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/17712632
House,Stone,40 sq.m.,2,2,2,,,Cosmetic Renovation,600 sq.m.,2,Yes,Yes,Included,By Agreement,"Kamo Street 137, Dilijan","4,000 ֏ daily",AMD,2-room private house is for rent in Dilijan. It is located on the way to a mountain resort in mountainous Armenia. It is very convenient for spending the rest. Has a garage yard. There is Wifi in the house. It is also possible in the long run. Suitable for a small family.Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/14127192
Country House,Stone,1000 sq.m.,3,8+,1,Available,3 or more spots,Designer Renovation,320 sq.m.,8+,Yes,Yes,Included,Without prepayment,"2-й тупик улицы Зоравара Андраника 15, Дилижан","10,000 ֏ daily",AMD,"Rooms furnished with laconic luxury, large balcony, large yard, WiFi permanent hot / cold water, cot, dishes, linen, towels, other hygienic utensils, kitchen, breakfast if desired, lunch.The guest house also offers: Welcoming guests, departure from the airport, excursions to the mountains of Dilijan.The guest house is suitable for groups of 12 people. Those who want to book, call:Watsapp:Viber:Telegram:Translated from Armenian",Nov-24-2022_23-01,"TElevision, internet, swimming pool, barbecue oven","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/17679135
House,Stone,3000 sq.m.,2,6,3+,,3 or more spots,Major Renovation,,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD053Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/14507939
House,Stone,1000 sq.m.,2,5,3+,Available,2 spots,Major Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"65,000 ֏ daily",AMD,The house is equipped with all utilities and household facilities.Code LD067Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18098141
House,Stone,500 sq.m.,3,8+,3+,Available,2 spots,Major Renovation,,8+,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"110,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD033Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/14378836
House,Stone,350 sq.m.,2,7,3+,,,Major Renovation,1050 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"65,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD046Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17707768
House,Stone,150 sq.m.,1,2,1,,,Euro Renovation,90 sq.m.,,,,,,"Erevanyan street, Ijevan","15,000 ֏ daily",AMD,"Euro-renovated 2 rooms. There is a parking space in the yard. The floor is laminate, the bathroom is tiled. There is property and equipment in the house.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17628748
Country House,Monolith,300 sq.m.,2,6,3+,,,Designer Renovation,1500 sq.m.,,,,,,"Հակոբջանյան փողոց 32, Դիլիջան","80,000 ֏ daily",AMD,"A luxurious villa, a private house in the center of Dilijan is for daily rent.Attention! The house is rented only to families.* 6 bedrooms* 3 bathrooms (on the 1st floor, on the 2nd floor and outside)* 2 fireplaces on the 1st and 2nd floors* Mangal (barbecue bottle)* Booth (for up to 30 people),* dishes, bedding* internet wi-fiCheck in (entrance) – 14:00Check out - 12:00The house can accommodate up to 15 people with overnight accommodation, up to 30 without overnight accommodation.Call in advance to reserve.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18309758
Country House,Stone,90 sq.m.,2,3,1,,,Cosmetic Renovation,,,,,,,"Kalinini street 41, Dilijan station","15,000 ֏ daily",AMD,"A private house is for daily rent in the center of Dilijan. The house has 2 bedrooms, constant hot and cold water, gas, refrigerator, all the necessary accessories. House one day price 15,000 AMD. Designed for 5-6 people. With its own yard and garden...Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17424646
Country House,Stone,90 sq.m.,2,3,1,,,Cosmetic Renovation,30 sq.m.,,,,,,"Kalinini street, Dilijan station","15,000 ֏ daily",AMD,"A private house is for daily rent in the center of Dilijan. The house has 2 bedrooms, constant hot and cold water, gas, refrigerator, all the necessary accessories. The price of one day house is 15,000 AMD. Designed for 5-6 people. With its own yard and garden...Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16992510
House,Stone,100 sq.m.,1,2,1,Not available,Not available,Euro Renovation,70 sq.m.,5,Yes,No,Included,3 months,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Շինության տիպըՔարեՀարկերի քանակ1Սենյակների քանակ1Սանհանգույցների քանակ2Ընդհանուր մակերեսը60 ք. Մ.Հողատարածքի մակերեսը100 ք. Մ.ՎերանորոգումԿապիտալ վերանորոգվածՏների վարձակալություն, 2 սենյակ, 1 սանհանգույց, հեռուստացույց, սառնարան և բազմոց։՝ wi-fi,smart tv,կամեն,մշտական տաք և սառը ջուր,կենտրոնացված ջեռուցում,սպասք,անկողնային պարագաներ։Տունը վարձակալելու դեպքում գիշերակացով կարող է տեղավորել մինչև 5 անձ 1 օրը 30000դրամԱնկացրեք ձեր հանգիստը գեղատեսիլ Դիլիջանում։Տունը մոտ է քաղաքային զբոսայգուն, սննդի օբյեկտներին՝ Քարահունջ, Կճուչ, Պապանինո-հաուզ, Դոլմամա․Ամրագրելու համար զանգահարել նախապես:Այստեղ անցկացրած հաճելի ժամանակը ու ստացած դրական լիցքերը դեռ երկար կմնան ձեր հիշողություններում։+ Մուտքը 14:00 Ելքը 12:00+ Մինչև երեկո մնալու դեպքում գանձվում է ևս 1 օրվա գին+ Տունը ամրագրելու համար ԿԱՆԽԱՎՃԱՐԸ ՊԱՐՏԱԴԻՐ Է:+ Ամրագրումը Ձերկողմից չեղարկելու դեպքում կանխավճարը ենթակա ՉԷ հետ վերադարձի: Հարգելի հաճախորդ այլ պայմաներին ծանոթանալու համար զանգահարեք նշված հեռախոսահամարներով։",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18206507
House,Stone,300 sq.m.,2,6,2,Available,1 spot,Major Renovation,1000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"85,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD043Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17267174
House,Stone,300 sq.m.,2,4,1,Available,3 or more spots,Major Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD014Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/14183229
House,Stone,500 sq.m.,2,5,2,Available,2 spots,Major Renovation,1000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,The house is equipped with all utilities and household facilities.Code LD007Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18050293
House,Stone,50 sq.m.,1,1,1,Available,1 spot,Euro Renovation,100 sq.m.,4,Yes,Yes,Not included,By Agreement,Tavush › Dilijan,"250,000 ֏ monthly",AMD,The house is provided with all the communal and household amenities.Code LD052Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17770303
House,Stone,80 sq.m.,2,3,1,,,Cosmetic Renovation,1000 sq.m.,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,Own house for daily rent. Call for detailsTranslated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18357027
House,Bricks,27 sq.m.,1,2,1,Not available,Not available,Old Renovation,27 sq.m.,8+,Yes,Yes,By Agreement,Without prepayment,"Gyulikekhvyan street, Yerevan","470,000 ֏ daily",AMD,"House for sale, the walls are very thick from the outside, not rotten, 9 meters long, 3 meters wide, 2 rooms inside, the details are written: Possible exchangeTranslated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17723358
House,Stone,100 sq.m.,2,3,1,,3 or more spots,Designer Renovation,5000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"25,000 ֏ daily",AMD,"Daily rent house, guest house in Dilijan with all utilities. The guest house is intended for 7 + 2 persons. Two people in a wooden cabin. There is a pavilion for 20 people in the yard. Summer kitchen, kitchen and bathroom utensils provided, barbecue bottles, wf. Smart TV, parking. A stream flows through the garden of the guest house + a pavilion on the river bank. It is heated with a baksi system, heated floor.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16323148
House,Stone,410 sq.m.,2,4,1,,,Major Renovation,1200 sq.m.,,,,,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"The house is capitally renovated. It has all the rooms: WiFi, dishes, bedding, constant hot and cold water, large pavilion with all amenities, parking. For more information callTranslated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16607712
House,Stone,68 sq.m.,1,3,1,,,Designer Renovation,200 sq.m.,,,,,,"Շահումյան փողոց 2, Դիլիջան","45,000 ֏ daily",AMD,1-8 PeopleNewly renovated house for daily rent. WI-FI Super fast բոլոր utility is available. It is equipped with new household appliances. Come to us and spend your safe rest. We look forward to it.Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16525540
Townhouse,Monolith,180 sq.m.,3,5,3+,,,Major Renovation,220 sq.m.,,,,,,Tavush › Dilijan,"$1,900 monthly",USD,"Полностью оснащенный трехэтажный дом с террасой со всеми удобствами. Закрытый охраняемый участок в 2 гектара (городок)Есть бассейн, тенисный корт, сад.Сдается в долгосрочную аренду.Для более детальной информации звонить по указанному номеру.",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18123146
House,Stone,1500 sq.m.,1,6,2,Available,3 or more spots,Major Renovation,,8+,Yes,Yes,Not included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,Swimming pool4 bedrooms2 living rooms2 bathrooms and bathBarbecueBottles:The house can accommodate up to 20 people with an overnight stay.Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/14100084
House,Wooden,55 sq.m.,2,1,1,,,Major Renovation,450 sq.m.,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,A wooden house for 2-3 people is for daily rent. The cottage is located in the center of Dilijan. All the amenities are available.Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17492663
House,Stone,100 sq.m.,3,2,3+,,,Cosmetic Renovation,,6,Yes,No,Included,By Agreement,"Kamo Street 137, Dilijan","3,000 ֏ daily",AMD,"Տրվում է վարձակալությմբ սեփական երկհարկանի քարե առանձնատուն դիլիջան քաղաքի սկզբնամասում: Տունն ունի 2 լուսավոր ննջասենյակ, նախասրահ, պատշգամբ, ընդարձակ բակ եվ ավտոկայանատեղի: Տունը գտնվում է անտառին մոտ՝ բնության գրկում: Կահավորված է անրաժեշտ կահույքով. Տունը 5օրից պակաս չի տրամադրվում",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/11637743
House,Stone,78 sq.m.,2,4,2,,,Major Renovation,120 sq.m.,,,,,,"Moldovakan street 1, Dilijan station","50,000 ֏ daily",AMD,Enjoy the fresh air and nature of Dilijan.Translated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/18248596
House,Stone,120 sq.m.,2,7,1,,,Major Renovation,700 sq.m.,,,,,,"Sayat-Nova Street, Dilijan station","25,000 ֏ daily",AMD,The house has all the amenities to enjoy a pleasant stayTranslated from Armenian,Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17959281
House,Stone,150 sq.m.,2,5,3+,Available,2 spots,Major Renovation,400 sq.m.,8+,Yes,No,Not included,2 weeks,"Kalinini street, Dilijan station","60,000 ֏ daily",AMD,"Newly built two-story private house in Dilijan, with all utilities. 2 bedrooms on the first floor, 3 bedrooms on the second floor. Kitchen, bathroom, bathroom next to the living room on each floor. Hot and cold water, gas, bedding, dishes, internet. Fireplace, garden.25,000 per day, one tax is provided. AMD 60,000, both floors are provided in full. Intended for 2-6 and 6-10 people. One child up to 5 years old free of charge. Long-term is also provided.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/14413130
House,Stone,150 sq.m.,2,5,3+,Available,2 spots,Major Renovation,350 sq.m.,8+,Yes,No,By Agreement,1 month,"Kalinini street, Dilijan station","60,000 ֏ daily",AMD,"Сдаётся новостройка, двухэтажный дом в Дилижане рядом с городским парком. На каждом этаже все удобства: Гостиная, кухня, спальни (на 1 этаже -2,на 2 этаже-3 спальни), санузел. Есть балкон с прекрасным видом. Веранда, камин, сад. Дом с евроремонтом со всеми коммуникациями: Отопление, WF интернет. Возможно как посуточное так и на длительный срок. В случае возникновения вопросов звоните или пишите.Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/16798227
House,Stone,200 sq.m.,3,5,2,Available,3 or more spots,Euro Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,"Parz Lich street, Dilijan station","50,000 ֏ daily",AMD,"The guest house is provided with all utilities. Constant hot and cold water. The guest house has a comfortable yard, parking, pavilion, barbecue, swimming pool, there is also a playground. The guest house is capitally renovated. It is heated by BAXI system. Spend the holiday week in Dilijan, a capitally renovated private house…The house has 5 bedrooms, 1 living room, an open pavilion. (10 to 20 people) For rent:Tableware, bedding, heating, hot and cold water, utility bills, internet…Code HyuratunTranslated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/15459516
House,Stone,160 sq.m.,3,4,1,Available,3 or more spots,Designer Renovation,1200 sq.m.,8+,Negotiable,No,Included,By Agreement,"Parz Lich street, Dilijan station","50,000 ֏ daily",AMD,"Հյուրատունը ապահոված է կոմունալ բոլոր հարմարություններով: Մշտական տաք և սառը ջուր։Հյուրատունը ունի հարմարավետ բակ, ավտոկայանատեղի, տաղավար, մանղալ, առկա է նաև խաղահրապարակ: Հյուրատունը կապիտալ վերանորոգված է։ Տոնական շաբաթը անցկացրեք Դիլիջանում ՝ կապիտալ վերանորոգված առանձնատանը։Տրվում էՍպասք, անկողին, ջեռուցում, տաք և սառը ջուր, կոմունալ վճարումներ, ինտերնետ./Ընդունում ենք մինչև 18 հոգի/7 և ավելիի դեպքում գինը փոփոխական է։Կոդ Kod 223",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/15530733
Country House,Stone,96 sq.m.,1,4,2,Available,3 or more spots,Major Renovation,650 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,"The house is given in full. Includes,• Internet (Wi-Fi), TV • Sound system, lighting system for one-off events• Bed linen and towels• Kitchen, kitchen appliances, kitchen utensils• heating• Parking: Securitysystem:• Well-maintained green yard• Barbecue, necessary accessories• Pavilion• WaterfallsArrival from 14.00, departure until 11.00. In a modern stylerest house. 1st bedroom - 1 largesize double bed, bathtub, 2ndbedroom: 1 large double bed,-living room, 1 large openingsofa bed, living room 2-1sofa bed.The total cost of the house is:60,000 drams#dilijan #hangstyantun:Translated from Armenian",Nov-24-2022_23-01,,,,,,,,https://list.am/en/item/17778114
