Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links
House,Stone,68 sq.m.,2,3,1,Designer Renovation,100 sq.m.,Kotayk › Kasagh,"230,000 ֏ monthly",AMD,"Fully renovated 3-room private house for rent. All utilities, hot and cold water, necessary property are available.The house is newly renovated and still uninhabited. It has an open balcony with a beautiful view.The rent is with a deposit.Construction works are nearing completion, it will be ready20. 08 2022It is 3 km away from Yerevan...Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/18172166
Country House,Monolith,120 sq.m.,2,6,2,Euro Renovation,600 sq.m.,"Պահլավունյաց փողոց 11, Ծաղկաձոր","100,000 ֏ daily",AMD,"Location: Tsaghkadzor near COSMOS CASINO1-floorTwo-story country house in Tsaghkadzor,2-bedroom, 1-living room (with double sofa), kitchen, bathroom,Maximum number of guests is 6 people.On the 2nd floor2-bedroom, 1-living room, kitchen, bathroom,Maximum number of guests is 5 peopleStarting with 3-day rental, a discount will applyCheck-in 13:00Check-out 12:00Caxkadzor Tsaghkadzor Dacha Amaranoc CaghkadzorTranslated from Armenian",Nov-24-2022_22-39,,,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17196893
House,Stone,1000 sq.m.,3,7,2,Euro Renovation,,Kotayk › Yeghvard,"60,000 ֏ daily",AMD,"A three-storey private house is for rent in Yeghvard, far from the noise of the city, with a wonderful view, 18 km away from Yerevan.Designed for family հանգիստ collective և: Parties. The house is provided with constant hot and cold water and heating.The private house can accommodate 15 people, the number of children is not included in the mentioned number. (Extra beds can be added)On the 1st floor there is a living room with a fireplace / fireplace /, a bathroom, a kitchen with all its amenities, including a dishwasher and a washing machine,Sauna with its own rest room and a separate bathroom.On the second floor there are 4 bedrooms, an entrance hall, a bathroom, a bathtub, an open balcony.On the third floor there are 3 bedrooms, a bathroom, 2 open balconies.A beautiful summer kitchen and a barbeque with all its accessories are built next to the private house, an air conditioner is installed. There are seats for 30 people, kitchen utensils, bathroom.There is a swimming pool with a biofiltration system and a waterfall with its beautiful lighting solutions.The house has a beautiful game hall, where there is a billiards, tennis table, a specialized poker table with all its accessories, backgammon - chess, there is also - game accessories for children's entertainment - children's cars.High quality audio system, permanent internet and WiFi are installed.There is a parking lot for 4 cars in the yard, a swimming pool with a biofiltration system.In case of rent for more than 2 days, the price is negotiable.With us you can taste very tasty homemade khash for 3 AMD per person.If desired, we also provide a 7-seater car to transport guests.Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/13752997
House,Stone,500 sq.m.,2,5,3+,Major Renovation,1000 sq.m.,Kotayk › Tsakhkadzor,"85,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LC010Translated from Armenian,Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/17242863
House,Stone,500 sq.m.,3,5,3+,Major Renovation,1500 sq.m.,Kotayk › Tsakhkadzor,"75,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LC003Translated from Armenian,Nov-24-2022_22-39,,2 spots,,,8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/17267179
Country House,Stone,220 sq.m.,3,3,3+,Designer Renovation,,Kotayk › Byureghavan,"80,000 ֏ daily",AMD,"Private house with a swimming pool for daily rent, with all its amenities.The best place for family and corporate eventsThere is a filtered swimming pool, refrigerator, gas, constant hot and cold water, Wi Fi, player.Summer pavilion for 25-30 peopleThe best place to hold a family and corporate event in the lap of nature. Beautiful and unique view.Saturday-Sunday 90,000ATTENTION!The house is not provided with accommodation.Check-in: (entrance) 09.00Check-out 10:30:Translated from Armenian",Nov-24-2022_22-39,,1 spot,,,8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/17879431
Country House,Monolith,500 sq.m.,1,1,1,Designer Renovation,2000 sq.m.,Kotayk › Mayakovski,"100,000 ֏ daily",AMD,"Luxury mansion with pool for daily rent in MayakovskyFairytale gardenpavilion for up to 25 people (chair, table)Barbecue (barbecue accessories)Filtered poolkitchen with all amenities, dishes for 25 peoplebathroom՝ Internet: Wi-fiATTENTION!The house is not provided with accommodation.Check-in: (entrance) 11:00Check-out 10:30:Translated from Armenian",Nov-24-2022_22-39,,1 spot,,,8+,Yes,No,Not included,By Agreement,https://list.am/en/item/17770135
Country House,Monolith,1000 sq.m.,2,4,2,Euro Renovation,,Kotayk › Dzoraghbyur,"110,000 ֏ daily",AMD,"Dzoraghbyur summer house is for daily rent, with a beautiful, comfortable and most importantly clean summer house with a swimming pool, where you can spend your vacation. Large and very comfortable pavilion, wfi, speakers (JBL), summer kitchen with all its amenities (gas stove, refrigerator, water as well as skewers and minimal utensils) Filtered and clean swimming pool, bathroom, rest room and of course a spacious and very beautiful yard.The house is not provided with overnight accommodation.Translated from Armenian",Nov-24-2022_22-39,,1 spot,,,8+,Yes,No,Not included,By Agreement,https://list.am/en/item/17968542
Country House,Stone,120 sq.m.,3,3,2,Cosmetic Renovation,550 sq.m.,"Bagrevand 20 street, Yerevan","30,000 ֏ daily",AMD,"Օրավարցով ամառանոց լօղավազան, մեց-բիսետկա, խորովացանոց, ճոճանակ, գամակ, հարմարավետTranslated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/16451598
Country House,Stone,200 sq.m.,2,4,2,Euro Renovation,,Kotayk › Tsakhkadzor,"45,000 ֏ daily",AMD,"Քաղաք Ծաղկաձորում օրավարձով է տրվում շատ գեղեցիկ առանձնատուն. ՈՒնի բոլոր կոմունալ հարմարությունները. Գտնվում է հրապարակի հարևանությամբ. 1 օրվա արժեքն է 45.000 դր. , 4 և ավելի օրվա դեպքում գինը սակարկելի. Մանրամասների համար զանգահարելFor rentВ арендуդեկտեմբերի 31-ից օրը 100.000 դրամ է։3 ննջարան,Հյուրասենյակ,2 սանհանգույց,Բաց պատշգամբ,Սպասք անկողնային պարագաներ,Ucom TV WiFi,Գեղեցիկ բակ,Տաղավար,Մամղալ + խորովածի պարագաներ,Կայանատեղի:Տանը գիշերելով կարող է մնալ 8 անձ։Գինը պայմանագրային կախված օրերի և անձերի քանակից։",Nov-24-2022_22-39,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/12451753
Country House,Stone,100 sq.m.,1,3,1,Euro Renovation,1400 sq.m.,Kotayk › Karashamb,"25,000 ֏ daily",AMD,"A private house is for daily or monthly rent. All the communal facilities are available.Provided with homeDishes of all kindsWood:Barbecue skewersRecorder (магнитофон)The house is fully furnished (refrigerator, washing machine, TV)There is a comfort of sitting and inside the house and outside.The house is located in Karashamb village near Aghveran.Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/17975140
House,Stone,130 sq.m.,2,3,1,Euro Renovation,900 sq.m.,Kotayk › Balahovit,"200,000 ֏ monthly",AMD,"It is located next to Ojakh restaurant, euro windows, doors, euro furniture, the first floor of a two-story house is for rent.Translated from Armenian",Nov-24-2022_22-39,,,,,3,Yes,No,Not included,2 months,https://list.am/en/item/18167380
Country House,Stone,1500 sq.m.,3,8+,3+,Designer Renovation,1000 sq.m.,Kotayk › Dzoraghbyur,"70,000 ֏ daily",AMD,"The summer house is located in Dzoraghbyur. The cottage is equipped with a swimming pool, comfortable outdoor pavilions, comfortable rooms and bathrooms. It is pleasantly cool in the summer house. It is suitable for enjoying weekends and spending occasions, for cooling off with family and friends on hot summer days.Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/18103914
Country House,Stone,300 sq.m.,3,4,3+,Euro Renovation,2000 sq.m.,Kotayk › Bjni,"100,000 ֏ daily",AMD,A private house is for daily rent in BjniWith all utilities.FurnishedThere are necessary dishes and linen.8 people are staying overnight.Open balcony.3 bedrooms.1 living room.3 slides.Cellar.Summer pavilion.Mangal.Beautiful yard.Swimming pool.It is given for a minimum of 3 daysTranslated from Armenian,Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/17650937
Country House,Stone,250 sq.m.,3,4,3+,Euro Renovation,500 sq.m.,Kotayk › Bjni,"70,000 ֏ daily",AMD,"Օրավարձով տրվում է ամառանոց Բջնիում:Կարող է նաեւ տրվել երկարաժամկետ՝ գինը պայմանագրային։Տունը և լողավազանը վերանորոգվել և կառուվել են 2022 թվականին:Լողավազանը աշխատում է ֆիլտրացիոն համակարգով: Ամառանոցը վարձակալության է տրվում գործող լողավազանով և ժամանցի անցկացման տաղավարով: Ժամանցի անցկացման տաղավարում կարող են տեղավորվել 20 հոգի:Տունը նաև կարող է տրվել գիշերակացով և ավելի երկար ժամկետով: Տանը կա 3 ննջասենյակ (6) անձի համար և մեծ հյուրասենյակ (բազմոցները բացվում են 4 անձի համար) : Առկա է նաև 3 սանհանգույց, 2ը գտվում են 1-ին հարկում, 3ը` 3-րդ հարկում ննջասենյակների հարևանությամբ: Տանը առկա է տաք ջուր:Մանրամասների համար զանգահարել:WIFI ցանցն աշխատում է շուրջօրյա:Летний дом посуточно в Бжни.Так же можно сдать на длительный срок, цена договорная.Дом и бассейн были отремонтированы и построены в 2022 году.Бассейн работает с системой фильтрации. Сдается коттедж с действующим бассейном и павильоном для развлечений. Развлекательный павильон рассчитан на 20 человек.Дом также можно арендовать на ночь и на более длительный срок. В доме 3 спальни (6 спальных мест) и большая гостиная (4 раскладывающихся дивана) Также есть 3 ванные комнаты, 2 на 1 этаже, 3 на 3 этаже рядом со спальнями. В доме есть горячая вода.Для получения дополнительной информации звоните:Сеть WIFI работает круглосуточно.Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/17910925
House,Stone,450 sq.m.,3,5,2,Cosmetic Renovation,2500 sq.m.,"2-րդ փակուղի 1, Քաղսի","300,000 ֏ monthly",AMD,For rentFor more information callTranslated from Armenian,Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/18145774
House,Stone,100 sq.m.,2,4,2,Designer Renovation,300 sq.m.,Kotayk › Tsakhkadzor,"18,000 ֏ daily",AMD,"ATTENTION: THE APARTMENT WILL BE VACATED ON NOVEMBER 12-room apartment for rent in Tsaghkadzor. The building has 2 floors, one 2-room apartment on each floor, 50 square meters with separate entrances, a total of 4 rooms, each of which can accommodate m. Accommodates up to 5 people. You can rent each apartment separately or together, as you wish. There are all utilities, kitchen and bathroom essentials, 2 separate bathrooms, towels, TV // WiFi, parking, barbecue, chat room (беседка), sunny on 4 sides. A long-term option is possible, in which case additional discounts will apply. If necessary, we can meet and drive to the airport.1 month ~ 260,000 drams1 day - AMD 18,000 per floor (minimum 2 days)Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,https://list.am/en/item/17209817
Country House,Stone,168 sq.m.,1,5,3+,Designer Renovation,1000 sq.m.,"Ալեքսանդր Բել փողոց 25, Քանաքեռավան","100,000 ֏ daily",AMD,"A luxurious private house is for daily rent, 5 km from Davtashen. It is newly built and furnished in a modern style. Here you can celebrate a birthday or similar events and just enjoy a family vacation. The outdoor part of the mansion is designed for up to 40 guests, and the indoor hall for up to 40 guests (the price is written for up to 20 people)At your disposal will be:* Beautiful and well-kept garden* Unique recreation pavilions*The swimming pool* Grilling*Restaurant tableware*Identical tables and chairs.* Parking for 6 carsFor more information, you can call or simply find us on social networksTranslated from Armenian",Dec-15-2022_21-33,Available,Not available,"Television, internet, air conditioner, swimming pool, barbecue oven, gazebo","Fridge, stove, microwave, coffee maker, washing machine, water Heater, hair dryer",8+,Yes,No,Included,By Agreement,https://list.am/en/item/18614492
Country House,Stone,80 sq.m.,1,2,2,Euro Renovation,750 sq.m.,"Վազգեն Ա Վեհափառի փողոց 14, Բյուրեղավան",500 ֏ monthly,AMD,"Օրավարձով և երկարաժամկետ վարձակալության է տրվում սեփական տուն`Վերանորոգումը կատարվել է 2022թ-ին կոմունալ բոլոր հարմարություններովԳույքովՏեխնիկայովՍանհանգույցը սալիկապատՋեռուցման համակարգովՀարցերի դեպքում զանգահարել ներքևում նշված հեռախոսահամարովСобственный дом в посуточную и долгосрочную аренду. Ремонт сделан в 2022 году. Со всеми коммуникациями, с мебелью, с электронной техникой. Ванная комната облицована. Дом обогревается, холодная и горячая вода есть. Расстояние от центра города Еревана 20 км. Если у вас есть вопросы, звоните ниже на указанный номер мобильного телефона.Translated from Armenian",Dec-15-2022_21-33,Available,3 or more spots,,,8+,Yes,No,Not included,Without prepayment,https://list.am/en/item/18387232
House,Monolith,200 sq.m.,2,4,3+,Designer Renovation,600 sq.m.,"Պահլավունյաց փողոց, Ծաղկաձոր","100,000 ֏ daily",AMD,"A newly built designer-style private house is for daily rent. In Tsaghkadzor, on Pahlavunyats StreetTsaghkadzorAvailable to families onlyCheck in at 14:00Departure 12:00# 4 bedrooms# 5 bathroom# 10 people# large living room# kitchen equipped with everything# fireplace# winter and summer pavilion# grill# spacious yard# parking lot# Wi-Fi:The price is different on New Year's DayTranslated from Armenian",Dec-15-2022_21-33,Available,3 or more spots,"Television, internet, fireplace, barbecue oven, gazebo, alarm system","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",8+,Yes,No,Included,By Agreement,https://list.am/en/item/18630170
House,Stone,80 sq.m.,1,2,1,Major Renovation,1500 sq.m.,"Zovuni 39 street, Zovuni","180,000 ֏ daily",AMD,"A comfortable, beautiful and stylish private house is available for daily rent in Zovuni (6 km from the center of Yerevan) The mansion is perfect for holding any type of events: Corporate gatherings, birthday parties, engagements, family gatherings, etc. (up to 30 people)The mansion has a spacious event room, swimming pool, bathroom, beautiful and well-kept garden, parking space for up to 5 cars, outdoor stage, fountains, pavilion. The house is rented with furniture and appliances.The daily rent on working days is AMD 150,000.Code 12-0055Translated from Armenian",Dec-15-2022_21-33,Available,3 or more spots,"Television, internet, air conditioner, swimming pool, fireplace, barbecue oven, gazebo, alarm system","Fridge, stove, coffee maker, dishwasher, water Heater",8+,Yes,Negotiable,Included,By Agreement,https://list.am/en/item/17917908
Townhouse,Monolith,235 sq.m.,2,3,2,Designer Renovation,590 sq.m.,Kotayk › Dzoraghbyur,"120,000 ֏ daily",AMD,"Luxuriously built country house with heated indoor swimming pool. The pool is equipped with a modern automated filtration system, the pool area is equipped with an air flow control system, heated floor.On the first floor there is a swimming pool, a sauna, a recreation area, a changing room, a bathroom, a toilet. On the 2nd floor, a large living room, 2 bedrooms, kitchen, bathroom, open balcony. Green, well-kept, garden, productive trees, pavilion, barbecue, summer kitchen, parking space for 6 cars, tiled toilet in the yard. Remote control gate.Translated from Armenian",Dec-15-2022_21-33,Available,3 or more spots,"Television, internet, air conditioner, swimming pool, sauna, barbecue oven, gazebo, alarm system","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, iron, hair dryer",8+,Yes,No,Included,By Agreement,https://list.am/en/item/18683850
House,Stone,54 sq.m.,1,2,1,Major Renovation,,"Улица Уренинер 6, Касах","150,000 ֏ monthly",AMD,"A private house for rent in Ureniner street, near Vahagn district, with all amenities.Translated from Armenian",Dec-15-2022_21-33,Available,Not available,,,4,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18581174
House,Stone,140 sq.m.,1,4,2,Euro Renovation,1700 sq.m.,Kotayk › Balahovit,"$1,500 monthly",USD,"Сдается а аренду частный дом в Балаовите, 3 спальни, все удобства, мебель техника, свежий ремонт, камин, тонир, сад.",Dec-15-2022_21-33,,,,,6,Yes,No,Not included,1 month,https://list.am/en/item/18399608
House,Monolith,50 sq.m.,1,2,1,Euro Renovation,50 sq.m.,Kotayk › Zovuni,"200,000 ֏ monthly",AMD,"Newly renovated, call for detailsTranslated from Armenian",Dec-15-2022_21-33,Not available,Not available,,,8+,Yes,Negotiable,Not included,By Agreement,https://list.am/en/item/18727377
Country House,Monolith,1000 sq.m.,2,5,2,Major Renovation,1000 sq.m.,"Դարանի փողոց 11, Նուռնուս","150,000 ֏ daily",AMD,"We provide a summer house (guest house) for a wonderful vacation in Nurnus, 20 km from the centerOn the 1st floor, living room and kitchen with all dishes.Booth for 22 people with dishesPlayer (PartyBox)Necessary accessories for barbecuePossibility to drink cold beer in LtsnovTable tennisFiltered swimming pool (5.0 m-10.0 m-1.5 m)Shock bath-SaunaBeautifully landscaped yardTranslated from Armenian",Dec-15-2022_21-33,Available,1 spot,,"Fridge, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/17601992
Country House,Monolith,1000 sq.m.,2,5,2,Major Renovation,600 sq.m.,"Դարանի փողոց 19, Նուռնուս","450,000 ֏ monthly",AMD,"Summer house (guest house) in Nurnus, 20 km from the center, completely renovated.Living room and kitchen on the 1st floor, 4 bedrooms on the 2nd floor, with all utilities, Swimming pool filtered (5.0m-10.0m-1.5m), Hot tub-SaunaAutomatic irrigation systemCamerasSecurity systemGas, Light, Water, HeatingBeautifully designed yard.Translated from Armenian",Dec-15-2022_21-33,Available,Not available,"Television, internet, swimming pool, sauna, barbecue oven, gazebo, alarm system","Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",8+,Yes,Yes,Not included,1 month,https://list.am/en/item/18345609
House,Stone,180 sq.m.,1,4,3+,Major Renovation,3000 sq.m.,Kotayk › Alapars,"90,000 ֏ daily",AMD,"VERY comfortable one-story house (180 sq. M), newly built and not yet inhabited, has 3 bedrooms with bathrooms, a large living room and a kitchen (with all the necessary utensils) There is a barbecue and a toaster in the closed area, with seating (see pictures) And the most important thing: . There is a sauna where you can fully relax... ENJOY RELAXATION)))Translated from Armenian",Dec-15-2022_21-33,Available,3 or more spots,,"Fridge, stove, microwave, dishwasher, washing machine, water Heater, iron, hair dryer",8+,Yes,Negotiable,Included,By Agreement,https://list.am/en/item/18727085
House,Stone,100 sq.m.,1,4,1,Partial Renovation,400 sq.m.,Kotayk › Argel,"250,000 ֏ monthly",AMD,"Сдается собственником от Еревана 20км, собственный дом. До май месяца... Включая май месяц. Оплата за первый и последний месяц сразу.",Dec-15-2022_21-33,,,,,8+,Yes,Yes,Not included,2 months,https://list.am/en/item/18420598
House,Monolith,750 sq.m.,3,6,3+,Major Renovation,1200 sq.m.,"Առինջի 24-րդ փող. 1-ին փակ., Առինջ գյուղ","$5,500 monthly",USD,"ARK005:In one of the quietest parts of Arinji, a luxurious 3-story private house is for rent.~ On the first floor of the mansion there is a spacious living room with a fireplace, a kitchen, 1 bedroom, 1 bathroom.~ 2nd floor: 4 bedrooms, 4 bathrooms, 2 balconies.~ In the basement: Recreation room, exercise room, cinema room.~ The mansion is equipped with all kinds of facilities, which makes it possible to combine daily work and enjoy rest: Exercise, play, use the pool, etc.~ The construction was made exclusively with high-quality materials, it is completely renovated, it is equipped with expensive property and equipment.~ Heating is carried out through an individual system.~ The floors are covered with high-quality European-made tiles and laminate.~ The bathrooms are fully tiled, equipped with quality sanitary ware.~ The mansion has a beautiful courtyard with a barbecue and a chat room for 20 people.~ There is also a parking lot for parking 10 cars.To get detailed information, write or call the specified number.The home is shown with a real estate showing contract.The service commission is 50% of the monthly fee.Translated from Armenian",Dec-15-2022_21-33,Available,3 or more spots,,,8+,Yes,Yes,Not included,1 month,https://list.am/en/item/18553202
House,Stone,150 sq.m.,1,3,1,Major Renovation,800 sq.m.,Kotayk › Garni,"350,000 ֏ monthly",AMD,"It is for rent.Monthly long-term 350,000 dramsRenovated and equipped with everything necessary, refrigerator, washing machine, microwave oven, TV, individual heating system. Closed and open garage.Large balcony with 60 sq. M. Roof, breezy and beautiful view, separated by a fence. 2 large spruce, one silvery.Swimming pool, swing, hammock, barbecue, internet wifi, channels.Translated from Armenian",Dec-15-2022_21-33,Available,1 spot,,,6,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18544600
House,Stone,65 sq.m.,2,3,1,Euro Renovation,,"Օրբելի եղբայրների փողոց 13, Ծաղկաձոր","20,000 ֏ daily",AMD,"In Tsaghkadzor, in the backyard of the Yasaman restaurant, a house is for rent on a daily basis. It is designed for 5 people, all facilities are available. Celebrate New Year and Christmas with us, the daily rent is AMD 55,000.Translated from Armenian",Dec-15-2022_21-33,Available,Not available,"Television, barbecue oven","Fridge, stove, washing machine, water Heater, iron, hair dryer",5,Yes,No,Included,Without prepayment,https://list.am/en/item/18613341
House,Stone,300 sq.m.,2,4,2,Euro Renovation,1800 sq.m.,"3-րդ փողոց 11, Վերին Պտղնի","$2,500 monthly",USD,Сдаётся на долгосрочную аренду частный дом место тихая и спокойная клад дом полностью отремонтирована и обустроена отопление есть Три отдельных спальни одна гостевая,Dec-15-2022_21-33,,,,,6,Yes,Yes,Not included,2 months,https://list.am/en/item/18490400
House,Stone,20 sq.m.,1,1,1,Old Renovation,20 sq.m.,"1-я улица 17, Верин Птхни","35,000 ֏ monthly",AMD,"Сдается времянка до дворе частного дома. Есть электричествоТуалет, вода на улице. Без ванной комнаты.Местонахождение - верин птгни, вблизи города Ереван (4 километра)",Dec-15-2022_21-33,Available,1 spot,,,2,Yes,Yes,Not included,1 month,https://list.am/en/item/18577940
House,Stone,120 sq.m.,1,4,1,Major Renovation,,Kotayk › Yeghvard,"250,000 ֏ monthly",AMD,"One-story detached house for rent in Yeghvard city, fully renovated with all amenities, gas, electricity, water, call for detailsTranslated from Armenian",Dec-15-2022_21-33,Available,1 spot,,,8+,Yes,Yes,Not included,1 month,https://list.am/en/item/18726708
House,Stone,180 sq.m.,2,6,2,Major Renovation,600 sq.m.,"1-ին փողոց, Գետամեջ համայնք","$1,700 monthly",USD,"For rent is a beautiful comfortable private house floor200 sq. M. Residential/1000 sq. M.Has a living room, 5 bedrooms, 2 bathroomsthere is a heating system, air conditioner2 open balconiesCode 21512Translated from Armenian",Dec-15-2022_21-33,Available,1 spot,"Television, internet, air conditioner, barbecue oven, gazebo","Fridge, stove, microwave, washing machine, water Heater",8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/9882481
House,Stone,230 sq.m.,2,8+,2,Major Renovation,600 sq.m.,Kotayk › Arzni,"1,000,000 ֏ monthly",AMD,"M-23257Վարձով է տրվում 2 հարկանի 8 սենյականոց առանձնատուն Արզնիում։ Առանձնատունը կապիտալ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, հատակը՝ մանարահատակ, սալիկ, պատուհանները՝ եվրո։ Սանհանգույցը (2) ` Համակցված, սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի բաց լոջա, ջեռուցման համակարգ, ջակուզի, այգի, պտղատու ծառեր, ամառային խոհանոց, բուխարի, ավտոկայանատեղի, մշտական ջուր և գազ։ Վարձով է տրվում կահույքի և տեխնիկայի հետ միասին։Գործակալության միջնորդավճարը կազմում է 50 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for rent in Arzni. The house is newly renovated. The entrance door is iron-made, the windows are euro-based, the floor is covered by parquet and is tiled. The bathrooms (2) are combined and tiled, the electric wires and pipes are newly changed. I has a balcony, jacuzzi, heating system, garden, fruitful trees, summer kitchen, fireplace, parking and is supplied with constant water and gas. The house is being rented with furniture and electric devices.The commission of the Real Estate Agency is 50%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-15-2022_21-33,By agreement,1 spot,,,7,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18465842
House,Stone,220 sq.m.,1,1,1,Designer Renovation,840 sq.m.,"Սարալանջի 1-ին փողոց 25, Ծաղկաձոր","120,000 ֏ daily",AMD,"A beautiful private house in Tsaghkadzor is available for daily rent, which has comfortable and beautifully designed furnished rooms, living room, kitchen, bathroom. For details, call with the code.Translated from Armenian",Dec-15-2022_21-33,Available,Not available,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17899851
House,Stone,360 sq.m.,3,4,1,Cosmetic Renovation,800 sq.m.,Kotayk › Zovk,"300,000 ֏ monthly",AMD,"CODE 9880Three-story private house for rent c. In the army. The total land area is 800 sq/m, the building area is 360 sq/m. The house is in good condition. Necessary furniture and appliances are available.Translated from Armenian",Dec-15-2022_21-33,Available,1 spot,,,7,Yes,Yes,Not included,2 months,https://list.am/en/item/18528406
Country House,Stone,60 sq.m.,1,2,2,Euro Renovation,,"Charents street 51, Ծաղկաձոր","60,000 ֏ daily",AMD,"On the ground floor of a two-storey house in the center of Tsakhkadzor, which has 2 furnished bedrooms with their own bathrooms. In 2 bedrooms there is a TV with WiFi, in one bedroom there is a kitchen with its dishes. There is upholstered furniture in the bedroom that opens.Translated from Armenian",Dec-15-2022_21-33,Available,Not available,,,5,Yes,No,Included,By Agreement,https://list.am/en/item/17501413
House,Stone,130 sq.m.,3,3,2,Cosmetic Renovation,130 sq.m.,"Խաչատուր Կեչառեցու փողոց, Ծաղկաձոր","35,000 ֏ monthly",AMD,"Օրավարձով վարձակալության է տրվում բնակելի տուն մինչև 9 անձի համար Ծաղկաձորում։* Տունը վերանորոգված է (Տես նկարները) ։* Ապահովված է կարճաժամկետ և երկարաժամկետ բնակության համար անհրաժեշտ բոլոր հարմարություններով:* Մշտական տաք և սառը ջուր, ջեռուցումը՝գազի վառարանով և էլեկտրական ջեռուցիչներով տեղադրված բոլոր ննջասենյակներում։* Տանը առկա է բուխարի։* Արժեքները փոփոխականեն՝ կախված վարձակալությունը երկարաժամկետ է թե կարճաժամկետ, ինչպես նաև մարդկանց և օրերի քանակից։Տունը գտնվում է Ծազկաձորի կենտրոնում, Կեչառիս հյուրանոցի հարեվանությամբ։ՈՒՇԱԴՐՈՒՅՈՒՆ ։ Նշված օրավարձի գինը չի գործում Նոր Տարվա տոնական օրերին։Նոր տարվա օրերն են 31.12.2022 - 05.01.2023։Сдается жилой дом до 9 человек в Цахкадзоре посуточно.* Дом отремонтирован (см. Фото)* Обеспечены всеми необходимыми удобствами для краткосрочного и долгосрочного проживания.* Постоянная горячая и холодная вода, отопление газовой плитой и электрическими обогревателями во всех спальнях.* В доме есть камин.* Цены варьируются в зависимости от того, является ли аренда долгосрочной или краткосрочной, а также от количества человек и дней.A residential house for up to 9 people in Tsaghkadzor is for daily rent.* The house is renovated (see pictures)* Provided with all necessary facilities for short term and long term stay.* Constant hot and cold water, heating with gas stove and electric heaters in all bedrooms.* There is a fireplace in the house.* Prices vary depending on whether the rental is long-term or short-term, as well as the number of people and days.The house is located in the center of Tsazkadzor, next to Kecharis Hotel.Дом расположен в центре Цазкадзора, рядом с отелем Кечарис.Translated from Armenian",Dec-15-2022_21-33,Available,Not available,"Television, fireplace, barbecue oven","Fridge, stove, coffee maker, water Heater, iron, hair dryer",8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18488386
House,Stone,90 sq.m.,2,3,1,Designer Renovation,500 sq.m.,Kotayk › Nurnus,"250,000 ֏ monthly",AMD,"Տրվում է վարձով առանձնատուն բոլոր հարմարություններով, գտնվում է Երևանից 20կմ հեռավորության վրա։Շատ հանգիստ տեղ այգիով և ամառային խոհանոցով։Բոլոր հարմարություներով։Գործակալություն Չի։Сдается частный дом со всеми удобствами, расположенный в 20 км от Еревана.Очень тихое место с садом и летней кухней. Все удобства. Никакого агентства.",Dec-15-2022_21-33,Available,1 spot,,,5,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18491549
