,Construction Type,New Construction,Elevator,Floor,Number of Rooms,Number of Bathrooms,Floor Area,Ceiling Height,Balcony,Renovation,Address,Price,Currency,Description
538,Stone,No,Not available,4 / 4,4,2,105 sq.m.,from 3 m,Not available,Cosmetic Renovation,"Grigor Lusavorich street, Yerevan","$170,000",USD,"The apartment is located on Grigor Lusavorich Street, next to Mashtots Avenue4/4 floorThe total area is 105 square meters2 side positionshas one bathroomRenovated yardIt has the same area on the roofThe apartment is in a generally clean conditionHeating SystemThe windows have changed7star:Translated from Armenian"
539,Stone,No,Available,4 / 7,3,1,115 sq.m.,from 2.75 m,Multiple balconies,Old Renovation,"Mkhitar Heratsi Street, Yerevan","$135,000",USD,"3-room apartment is for sale on Heratsi street, 115 sq. M. Մ. Located on the 4th floor of a 7-storey special project stone building. The apartment is old renovated. Iron door, partial euro windows are installed, the floor is covered with parquet. It is provided with constant water and gas supply. The bathroom is tiled, equipped with sanitary ware. There are open and closed balconies.Translated from Armenian"
540,Panels,No,Available,2 / 16,3,1,72 sq.m.,from 2.75 m,Not available,Old Renovation,"Saryan Street, Yerevan","$120,000",USD,"Code 12904 3-room apartment is for sale in Kentron community, on Saryan street. The apartment is located on the 2nd floor of an 11-storey panel building, the total area of which is 72 square meters.Translated from Armenian"
541,Stone,No,Not available,5 / 5,3,1,81 sq.m.,from 2.75 m,Open balcony,Major Renovation,Yerevan › Arabkir,"$110,000",USD,Վաճառվում է 3 սենյականոց բնակարան Արաբկիրում։ Վերանորոգված է։ Առկա է բաց պատշգամբ։
542,Monolith,Yes,Available,8 / 14,3,1,122 sq.m.,from 3 m,Open balcony,Major Renovation,"Paronyan street, Yerevan","$225,000",USD,"A spacious 3-room apartment is for sale on Paronyan street, near the Dvin Hotel, on the 8th floor of a 14 storey new building. The total area is 121.7 square meters. Մ.The building is monolithic, seismically resistant, insulated with the latest technologies and standards.The apartment has double-glazed windows, one side looks at the city, the other side overlooks the Hrazdan River and St. Hovhannes Church.Adjacent to the building is the former Dvin, now the David Beck high-class hotel and St. John's Church.The window on the living room wall to the Hrazdan River and overlooking the church is stained glass (floor-to-ceiling), stained-glass windows are the windows of the bedrooms, which open to the open balcony.Translated from Armenian"
543,Monolith,Yes,Available,2 / 10,3,1,92 sq.m.,from 3 m,Open balcony,Major Renovation,Yerevan › Arabkir,"$150,000",USD,"The apartment is renovated. The windows have been changed. It is gasified, has round-the-clock water supply. BAXI heating system is installed. The bathroom is tiled.Translated from Armenian"
544,Monolith,Yes,Not available,4 / 4,1,1,40 sq.m.,from 3 m,Open balcony,Euro Renovation,"Hrachya Kochar Street, Yerevan","$69,000",USD,Վրացական Քոչար խաչմերուկ նորակառույց: Վերանորոգվաց բնակարան: Ունի ջեռուցման համակարգ: Շատ լուսավոր բնակարան: Բնակարանից բացվումա հիանալի տեսարան: Վաճառքը գույքով և տեխնիկայովВрацакан Кочар перекресток новостройка Отремонтированная квартира. Есть централизованное отопление. Очень светлая квартирa С квартиры открывается великолепный вид Продажа с мебелью и техникойVracakan Kochar crossroad new building Renovated apartment. There is central heating. Very bright apartment. The apartment offers a magnificent view. Sale with furniture and equipment
545,Stone,No,Available,2 / 5,3,1,80 sq.m.,from 2.8 m,Closed balcony,Cosmetic Renovation,"David Anhaght street, Yerevan",,unknown,"Code 5 + 300587:3-room apartment for sale in Zeytun, D ․ On the Invincible Street. The apartment is cosmetically renovated. Iron entrance door, European windows, parquet floor, kitchen and bathroom are tiled with Spanish tiles. The apartment has an individual heating system. For sale together with kitchen furniture.Translated from Armenian"
546,Stone,No,Not available,2 / 4,5,1,156 sq.m.,from 3 m,Multiple balconies,Partial Renovation,"Tumanyan street, Yerevan","$350,000",USD,"5-room apartment on Tumanyan street for sale, stone building, Stalin project, 155.7 square meters.The apartment is partially renovated, gasified, the floor is wooden parquet, the kitchen window is euro, the bathroom is formerly tiled.It has 2 open balconies...Special note! Only buyers who want to buy an apartment through the agency will call…The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceTranslated from Armenian"
547,Panels,No,Available,11 / 12,1,1,40 sq.m.,from 2.8 m,Closed balcony,Partial Renovation,"Արշակունյաց պողոտա, Yerevan","$55,000",USD,In the presence of a happy addict.Very urgently.Translated from Armenian
548,Stone,Yes,Not available,1 / 3,4,2,117 sq.m.,from 3 m,Multiple balconies,Major Renovation,Yerevan › Erebuni,"$146,000",USD,"4-room apartment is for SALE on Davit Bek street.The apartment is capitally renovated, has an iron entrance door, euro windows, laminate flooring, 2 bathrooms, a few balconies with a beautiful view. The apartment has permanent hot-cold water, gas անհատ individual heating system.You can call the mentioned phone numbers for details.Translated from Armenian"
549,Panels,No,Available,1 / 14,3,1,76 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Zoravar Andranik street, Yerevan","$73,500",USD,"The apartment is fully renovated, the windows are of European production, the bathroom is tiled, there is an individual heating system, the entrance door is iron...Translated from Armenian"
550,Panels,No,Available,9 / 11,1,1,40 sq.m.,from 2.75 m,Not available,Euro Renovation,"Saryan Street, Yerevan","$92,000",USD,"1 room converted into 2, renovated, heating, air conditioner, furniture, appliancesTranslated from Armenian"
551,Panels,No,Available,5 / 9,3,1,90 sq.m.,from 2.75 m,Closed balcony,Old Renovation,"Gusan Sheram Street, Yerevan","$68,000",USD,"3-room apartment on Sheram street for sale,The apartment is in a clean residential condition,Individual heating systemWooden parquet,The front door is iron,Closed balconyTranslated from Armenian"
552,Stone,No,Not available,2 / 5,4,1,141 sq.m.,from 3 m,Closed balcony,Old Renovation,"Tumanyan street, Yerevan","$380,000",USD,"Բնակարանը գտվում է նորմալ վիճակում։ Հին վերանորոգում, հ-3.40մ, առաստաղը և հատակը փայտե ծածկ, մասնակի բետոն, բաց պատշգամբ/լոջիա/, կաղնե մանրահատակ, ջեռուցման համակարգ, երկաթե դուռ"
553,Stone,No,Not available,1 / 4,3,1,72 sq.m.,from 2.6 m,Closed balcony,Old Renovation,"Margarian street, Yerevan","$56,000",USD,"3-room apartment for sale on Margaryan street, on the 1st floor of 4-story stone building, Iron entrance door, Wooden windows, The floor of the apartment is covered with Parquet, The bathroom is old tiled, Gas, Permanent hot and cold water, Water heater, Pal balcony The apartment also has a plot of land. The apartment is for sale together with the garage, near the bus stop.The commission fee of the agency is 2%, an exhibition contract is signed for the exhibition of the apartment. Please have your ID.Translated from Armenian"
554,Panels,No,Available,13 / 16,2,1,63 sq.m.,from 2.7 m,Closed balcony,No Renovation,"Norashen block, Yerevan","$46,000",USD,"2-room apartment for sale in Norashen district, on the 13th floor of 16-story panel building, the entrance door is metallic, the windows are wooden, the floor of the apartment is covered with parquet, the bathroom is old, permanent hot and cold water, water heater, near open balcony, parkingThe commission fee of the agency is 2%, an exhibition contract is signed for the exhibition of the apartment. Please have your ID.Translated from Armenian"
555,Panels,No,Available,7 / 12,2,1,77 sq.m.,from 2.7 m,Not available,Major Renovation,"Rubiniants street, Yerevan","$82,000",USD,"Code QZ2 / 84:2-room turned into 2-room apartment is for sale on Rubinyants street. It is located on the 7th floor of a 12-storey panel building. Occupies 77 square meters. The apartment is fully renovated, uninhabited. Euro windows are installed, heating system, the floor is covered with laminate, the bathroom is tiled. E-mail The wires have been changed.Translated from Armenian"
556,Monolith,Yes,Available,8 / 15,2,1,68 sq.m.,from 2.8 m,Open balcony,Major Renovation,Yerevan › Kentron,"$200,000",USD,"It is located on Pavstos Buzand street, in a newly built elite building.The apartment is fully renovated, it is spacious.Provided with all utilities:Natural gas,permanent waterelectricityHeating System.7STAR:Translated from Armenian"
557,Stone,No,Not available,1 / 5,4,1,126 sq.m.,from 3 m,Not available,No Renovation,"Իսահակյան փողոց 1, Երևան","$180,000",USD,"ID14659A 3-room apartment for sale in the center on Ishakyan street, 126 square meters, on the 5/1st floor.Translated from Armenian"
558,Panels,No,Available,6 / 9,3,1,92 sq.m.,from 2.75 m,Multiple balconies,Cosmetic Renovation,"Mesrop Mashtots Avenue, Yerevan","$200,000",USD,"Code 10 + 300186:3-room apartment is for sale on Mashtots avenue, near Malibu park. Iron entrance door, European windows, laminate flooring, individual heating system, air conditioner, tiled bathroom. The apartment has an open balcony with a beautiful view of Malibu Park.Translated from Armenian"
559,Panels,No,Available,10 / 10,2,2,75 sq.m.,from 2.8 m,Closed balcony,Old Renovation,"Sayat Nova avenue, Yerevan",,unknown,Apartment for sale in the center of Yerevan. The apartment has an iron door and euro windows. For sale together with kitchen furniture.Translated from Armenian
560,Panels,No,Available,2 / 9,2,1,42 sq.m.,from 2.8 m,Not available,Major Renovation,"Moskovyan street, Yerevan",,unknown,ID02017Վաճառվում է 2 սենյականոց բնակարան Կենտրոնում Մոսկովյան փողոցում 42քմ 9/2 բնակարանը վերանորոգված է
561,Stone,No,Not available,5 / 5,3,1,85 sq.m.,from 2.75 m,Multiple balconies,Designer Renovation,Yerevan › Arabkir,"$130,000",USD,"Վաճառվում է գերազանց վերանորոգված 3 սենյականոց բնակարան: Վերանորոգման ընթացքում օգտագործված են բարձրակարգ նյութեր: Վաճառվում է ամբողջ կահույքի և տեխնիկայի հետ միասին: Բնակարանը արևկողմ է, ունի գեղեցիկ տեսարան:"
562,Panels,No,Available,9 / 9,3,2,82 sq.m.,from 2.8 m,Open balcony,Partial Renovation,"Zoravar Andranik street, Yerevan","70,000 ֏",AMD,"The apartment sells some furniture inside. The apartment is in normal condition, the floor is made of oak wood with beautiful patterns, has a small balcony, the roof with a beautiful view is in very good condition and has a pavilion built on 3 of 3, very comfortable.Translated from Armenian"
563,Panels,No,Available,3 / 9,3,1,100 sq.m.,from 3 m,Closed balcony,Designer Renovation,"Mesrop Mashtots Avenue, Yerevan","$189,000",USD,"A three room is for sale near the Opera House, 100 sq. M. Apartment with total area. It is fully repaired, not yet inhabited. Iron door, euro windows are installed, the floor is covered with laminate. There is an individual heating system. The kitchen: The bathroom are tiled. It has a closed balcony and a closet. Shops and all the necessary entertainment places are nearby. For more information call or write a message we will be happy to answer. SiranushTranslated from Armenian"
564,Panels,No,Available,2 / 9,3,1,72 sq.m.,from 2.7 m,Not available,Euro Renovation,"Komitas Avenue, Yerevan","$95,000",USD,ID00564Վաճառվում է 3 սենյականոց բնակարան Արաբկիրում Կոմիտասի պողոտայում 72քմ 9/2-րդ հարկում բնակարանը վերանորոգված է
565,Monolith,Yes,Available,7 / 9,2,1,44 sq.m.,from 3 m,Open balcony,No Renovation,"Մոլդովական փողոց 12, Երևան","$33,000",USD,"The cost of one square meter is $750A 2-room apartment is for sale on the second floor in a building located at 12/2 Moldovakan Street, next to the Ministry of Defense, in front of the dormitories.The apartment is sold with a 60/40 option. You pay 60 percent of the total cost of the apartment and the remaining 40 percent you pay in installments over 2 to 3 years in monthly payments WITHOUT ANY INTERESTThe apartment will be commissioned in 2023. In JuneThe building has a two-story underground parking lot, commercial spaces, and a green gardenWe design the apartment according to your wishesWe implement effective sound and thermal insulation of the apartment. The bricks of the walls are made of high-quality foam perlite, and instead of plaster, plaster of gypsum perlite is used.We install euro windowsWe carry out electrical installation works, air duct, sewer and water pipe entry into the apartmentTranslated from Armenian"
566,Panels,No,Available,9 / 9,2,1,77 sq.m.,from 2.75 m,Closed balcony,Old Renovation,Yerevan › Arabkir,"$67,000",USD,"Կոդ՝ D-20435Բաղրամյան պողոտային կից, Օրբելի փողոցի սկզբնամասում վաճառվում է 2 սենյականոց բնակարան, 9/9 հարկում, 77քմ, նախկին վերանորոգում, գազ, մշտական տաք, սառը ջուր։ Մուտքի դուռը՝ երկաթյա։ Տանիքը վերանորոգված է։ Արևկող է և կանգառին մոտ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An apartment for sale in Orbeli Brothers Street. The rooms' quantity is 2 (a hall and a bedroom) The apartment is in the state condition and is located on the top floor of the 10-storey panel building, that is stationed on the 1st line. The entrance door is iron-made, the windows are wooden, the floor is covered by parquet and is tiled, the bathroom is separate, the electric wires and pipes are newly changed. The apartment has a balcony, built-in closets, kitchen furniture and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You."
567,Monolith,Yes,Available,8 / 14,2,1,56 sq.m.,from 3 m,Open balcony,Major Renovation,"Argishti street, Yerevan","$120,000",USD,"2-room apartment for sale in a new building in Glendale Hills. The apartment is fully renovated, the windows are euro, the bathroom is tiled with high quality tiles, the floor is laminate. The apartment does not have an open balcony.Translated from Armenian"
568,Stone,No,Not available,2 / 4,4,2,100 sq.m.,from 3 m,Not available,Major Renovation,"Hanrapetutyun street, Yerevan","$186,000",USD,"Apartment for saleCenter, Hanrapetutyan street• 4 rooms• 97 square meters (actually 100 square meters)• 4 / 2nd floor / stone /_•thoroughly reconstructed•Heating System• 2 bathrooms• Side:• Partial property / equipmentTranslated from Armenian"
569,Panels,No,Available,8 / 14,3,1,107 sq.m.,from 2.8 m,Open balcony,Old Renovation,Yerevan › Kentron,"$148,000",USD,"3-room apartment is for sale in the center. The apartment is in clean state. The entrance door is metallic, the floor is covered with parquet. The bathroom is tiled.Translated from Armenian"
570,Panels,No,Available,2 / 12,3,1,90 sq.m.,from 2.7 m,Not available,Euro Renovation,"Mesrop Mashtots Avenue, Yerevan","$180,000",USD,"3-room apartment is for sale near the Opera House, it has a half-built attic.Translated from Armenian"
571,Stone,No,Available,5 / 8,2,1,68 sq.m.,from 2.75 m,Not available,Major Renovation,"Saryan Street, Yerevan","$140,000",USD,"Fully renovated apartment with all its communal facilities, for sale with property and equipment, special project, high ceiling, projectile, bright, the elevator of the building is new, the garbage pipe has been removed from the buildingTranslated from Armenian"
572,Stone,No,Not available,3 / 5,2,1,55 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Bagratunyats Avenue, Yerevan","$70,000",USD,"Bagratunyats Avenue 2nd line,Fully renovated, closed balcony, metal door,Heating system, air conditioner, kitchen furniture,Constant water, gas, projectile.Translated from Armenian"
573,Panels,No,Available,10 / 10,2,2,72 sq.m.,from 2.8 m,Open balcony,Major Renovation,"Nar-Dos street, Yerevan","$95,000",USD,"2/3 turned into an apartment for sale, capitally renovated, furnished, open balcony, from the balcony there is a beautiful view of Mount Ararat, heating, the kitchens and the electric wires have been completely changed. For sale together with furniture and equipment.Translated from Armenian"
574,Monolith,Yes,Available,3 / 6,2,1,58 sq.m.,from 3 m,Not available,Designer Renovation,"Verin Antarayin street, Yerevan",,unknown,"2-room comfortable, beautifully designed apartment of 58 sq. M. Is for sale. Մ. Located on Verin Antarain street, on the 3-rd floor of a 6-storey new building. It is capitally renovated, uninhabited. Iron door, euro windows are installed, the floor is tiled. It is heated by a gas boiler. The bathroom is tiled, equipped with sanitary ware. The apartment is provided with furniture and appliances. There is cable TV and internet. There is also an underground parking space next to the apartment.*** Additional Information համար For similar offers you can contact the mentioned phone number (WHATSAPP, VIBER, TELEGRAM)The commission for the service is final for the sale2% of the cost. ***Translated from Armenian"
575,Panels,No,Available,7 / 11,3,1,87 sq.m.,from 3 m,Multiple balconies,Cosmetic Renovation,Yerevan › Kentron,"$125,000",USD,"3-room apartment for sale near Rossia Mall. Iron entrance door, European windows, parquet flooring, individual heating system, air conditioner, bathroom is tiled, there is a closed-open balcony, from which a beautiful view opens.Translated from Armenian"
576,Stone,No,Not available,1 / 5,3,1,50 sq.m.,from 2.7 m,Closed balcony,Major Renovation,Yerevan › Shengavit,"$85,000",USD,"Apartment for saleShengavit, Arshakunyats Ave.• 50 square meters• 3 rooms• 5 / 1st floor / stone•thoroughly reconstructed•Heating System• Property / equipment• Closed balcony• uninhabited• Side:Translated from Armenian"
577,Panels,No,Available,7 / 9,4,1,96 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Gusan Sheram Street, Yerevan","$85,000",USD,"Fully renovated, laminate flooring, bathroom, corridor and kitchen tiled, baxi individual heating system, m / d ironTranslated from Armenian"
578,Panels,No,Available,8 / 9,3,1,82 sq.m.,from 2.75 m,Multiple balconies,Major Renovation,Yerevan › Ajapnyak,"$79,000",USD,"Code 10 + 31640:3-room apartment is for sale in Ajapnyak. The apartment is fully renovated. Iron entrance door, laminate floor, euro windows.The bathroom is tiled.There is a heating system.It has a balcony.For sale together with the kitchen furniture.Translated from Armenian"
579,Panels,No,Available,11 / 12,4,1,89 sq.m.,from 2.8 m,Closed balcony,Euro Renovation,"Arshakunyats Ave, Yerevan","$115,000",USD,The apartment is fully renovated. Constant hot and cold water.The apartment is located next to Yerevan MallCall for questionsTranslated from Armenian
580,Monolith,Yes,Available,13 / 15,3,1,71 sq.m.,from 3 m,Open balcony,Major Renovation,"Davidashen 2-nd block 46/4, Yerevan","$160,000",USD,Gorcakalner chzangen for sale with property and equipmentTranslated from Armenian
581,Cassette,No,Not available,3 / 4,2,1,75 sq.m.,from 2.7 m,Multiple balconies,Major Renovation,"Eghishe Tadevosyan Street, Yerevan","$68,000",USD,"2-3 rooms for sale. Apt. Added, capitally renovated. /Translated from Armenian"
582,Stone,No,Not available,4 / 4,3,1,97 sq.m.,from 3 m,Not available,No Renovation,"Tumanyan street, Yerevan","$209,000",USD,"ID09049:3-room apartment is for sale in Center, on Tumanyan street, 97 sq. M., on the 4th / 4th floor. The apartment needs renovation.Translated from Armenian"
583,Panels,No,Not available,1 / 4,2,1,56 sq.m.,from 2.7 m,Closed balcony,Cosmetic Renovation,"Karapet Ulnetsi Street, Yerevan","58,000 ֏",AMD,"An apartment is for sale in Zeytun, two rooms, one big and one small basement under the house + near the stairs, all the doors։ of the apartment and the windows are changed, the electric wires are changed, there is a parking lot under the window. The price is $ 58,000. Do not call agents and intermediaries. Or Exchange with your own house.Translated from Armenian"
584,Panels,No,Available,3 / 9,4,1,90 sq.m.,from 2.8 m,Open balcony,Cosmetic Renovation,"Yervand Kochar street, Yerevan","$110,000",USD,"Clean condition, Moscow windows, parquet floor, old tiled bathroom, tiled, open balconyCode 3452:Translated from Armenian"
585,Monolith,Yes,Not available,4 / 4,3,1,88 sq.m.,from 3 m,Open balcony,Major Renovation,"Գևորգ Հովսեփյանի փողոց, Երևան","$115,000",USD,"Apartment for saleNork Marash, Gorg Hovsepyan street• 3 rooms• 88 square meters• 4 / 4th floor / new building /_•thoroughly reconstructed• Euro windows•Heating System• The bathroom is tiled• Open balcony• property, equipmentBasement 30 sq. M.•security systemTranslated from Armenian"
586,Stone,No,Not available,5 / 5,4,1,90 sq.m.,from 2.7 m,Open balcony,Old Renovation,"Artem Mikoyan street, Yerevan","$68,000",USD,"Nor-Nork 5th block, Czech stone project, The apartment is in good condition, has open and closed economic balconies, Chula, has a beautiful view, is located near the school and kindergartenTranslated from Armenian"
587,Stone,No,Not available,5 / 6,3,1,91 sq.m.,from 2.75 m,Multiple balconies,No Renovation,Yerevan › Kentron,"$155,000",USD,Code 2 + 34467:3-room apartment is for sale in Center. The apartment is under renovation. It has closed and open economic balconies. Euro windows are installed.Translated from Armenian
588,Stone,No,Not available,3 / 3,2,1,60 sq.m.,from 2.8 m,Not available,Major Renovation,"Luxemburg street, Yerevan","$55,000",USD,"3-room The apartment is capitally renovated, euro windows, pipes are changed, the roof is capitally renovated. For sale with property and equipmentTranslated from Armenian"
589,,,,,,,,,,,,,,
590,Stone,No,Not available,4 / 5,2,1,55 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Frunze street, Yerevan","$70,000",USD,"Fully renovated, closed balcony,Kitchen furniture, gas, projectile.Translated from Armenian"
591,Panels,No,Not available,8 / 9,2,1,68 sq.m.,from 3 m,Open balcony,Old Renovation,"Amiryan Street, Yerevan",,unknown,2-room apartment on Amiryan street is for sale urgently. The apartment is located on the opposite side.Translated from Armenian
592,Stone,No,Not available,1 / 4,1,1,33 sq.m.,from 3 m,Open balcony,Euro Renovation,Yerevan › Kanaker-Zeytun,"$33,000",USD,"FOR PART PAYMENT In Kanaker Park you can buy a beautiful one-room apartment 32.5 m, with kitchen furniture, sofa, fully furnished bathroom, has a large open balcony, electric water heater - 50 liter yard. Owner.Translated from Armenian"
593,Stone,No,Not available,3 / 4,2,1,70 sq.m.,from 3.5 m,Closed balcony,Major Renovation,Yerevan › Arabkir,,unknown,"Special building of Stalin's designFully renovated, side by sideWith the best planning solutionSale price is negotiableTranslated from Armenian"
594,Panels,No,Available,7 / 9,3,1,78 sq.m.,from 2.75 m,Closed balcony,Major Renovation,Yerevan › Avan,"$110,000",USD,"CODE 2 + 30647:3-room apartment is for sale in Avan. It is capitally renovated. The entrance door is iron. The floor is laminate, the windows are of European production. The bathroom is Spanish tiled. There is an air conditioner and heating system. It has an economic balcony.Translated from Armenian"
595,Monolith,Yes,Available,2 / 5,5,2,168 sq.m.,from 3 m,Not available,Major Renovation,Yerevan › Ajapnyak,"$250,000",USD,"Code 2 + 803873A 5-room apartment is for sale in Ajapnyak district. The apartment is fully renovated. The entrance door is iron, the windows are euro, the floor is parquet, tiled. 2 bathrooms: 1 combined, tiled floor. It has a heating system. Sold with furniture.Translated from Armenian"
596,Panels,No,Available,9 / 9,1,1,43 sq.m.,from 2.75 m,Closed balcony,Major Renovation,Yerevan › Shengavit,"$38,000",USD,Urgent sale of 1-2 rooms. Apartment in CharbakhThoroughly reconstructedE/p e/dS/h needs cosmetic repairsE-mail: Wires and water pipes changedHeatingPermanent water and gasIt has a storage roomClose to bus stop and metroTranslated from Armenian
597,Stone,No,Available,8 / 9,4,1,98 sq.m.,from 2.7 m,Open balcony,Old Renovation,"Davidashen 4-th block, Yerevan","$85,000",USD,ID06124Վաճառվում է 4 սենյականոց բնակարան Դավիթաշեն 4-րդ թաղամասում 98քմ 9/8-րդ հարկում բնակարանը վերանորոգված է:
598,Stone,No,Not available,1 / 4,1,1,38 sq.m.,from 3.2 m,Not available,Old Renovation,"Mesrop Mashtots Avenue, Yerevan","$100,000",USD,Մաշտոց ստալինկա Մատենադարանի մոտ: Բարձր առաջին հարկ ։ Պատուհանները նայում են փողոց։ Շատ լուսավոր բնակարան: Բնակարանից բացվումա հիանալի տեսարան:Mashtots stalinka near Matenadaran. High ground floor. The windows face the street. Very bright apartment. The apartment offers a magnificent view.Маштоц сталинка возле Матенадарана. Высокий первый этаж. Окна смотрят на улицу. Очень светлая квартирa. С квартиры открывается великолепный вид.
599,Stone,No,Not available,2 / 5,2,2,88 sq.m.,from 2.8 m,Closed balcony,Major Renovation,"Viktor Hambartsumyan street, Yerevan","$95,000",USD,"Apartment for sale V. On Hambardzumyan street. The building is a Czech project, the apartment is located on the 2nd floor. It is fully repaired, heating system is installed. It has a full two-room apartment with a closed balcony. Call for details, we will be happy to answer. HaykTranslated from Armenian"
600,Panels,No,Available,1 / 14,2,1,42 sq.m.,from 2.8 m,Closed balcony,Major Renovation,"Mamikonyants street, Yerevan","$56,000",USD,"CODE 7249Arabkir, Mamikonyants StreetOn the 1st floor of a 14-storey residential building42 square meters, 2 roomsThe apartment is fully renovatedThere is a heating systemTranslated from Armenian"
601,Panels,No,Available,7 / 16,1,1,45 sq.m.,from 2.7 m,Closed balcony,Major Renovation,"Norashen block, Yerevan","$46,000",USD,"1-room turned into 2-room apartment for sale in Norashen district, on the 7th floor of a 16-storey panel building, the apartment is renovated, the entrance door is iron, the windows are of European production, the floor of the entrance hall-kitchen is tiled, Gas, Constant hot and cold water, Water heater, Near the bus stop.The commission fee of the agency is 2%, a display contract is signed for the exhibition of the apartment. Please have your ID.Translated from Armenian"
602,Monolith,Yes,Available,2 / 5,3,1,75 sq.m.,from 3 m,Closed balcony,No Renovation,"Verin Antarayin street, Yerevan","$155,000",USD,"An unrenovated apartment with an area of 75 square meters is for sale in a newly built building on Verin Antarai Street. The location of the apartment is on the sunny side. It has an open balcony.The apartment is gasified, the pipes of the heating system are laid.Power cords are also routed.Translated from Armenian"
603,Panels,No,Available,3 / 9,3,1,80 sq.m.,from 2.7 m,Closed balcony,Major Renovation,"Karakhanyan street, Yerevan","$72,000",USD,"Code NN3 / 134:A 4-room turned into 3-room apartment is for sale on Karakhanyan street. Located on the 3rd floor of a 9-storey panel building. It occupies an area of 80 square meters. The apartment is renovated. Euro windows are installed, heating system, the floor is covered with parquet. There is a closed balcony. There is also a garage with an area of 30 square meters, which is for sale for an additional fee. A kindergarten and a school are nearby.Translated from Armenian"
604,Monolith,Yes,Available,11 / 14,2,1,47 sq.m.,from 3 m,Open balcony,Cosmetic Renovation,Yerevan › Kentron,"$82,000",USD,"Apartment for saleCenter, Argishti street• 2 rooms• Area of 47 square meters• 14 / 11th floor / monolith_• cosmetically renovated•Heating System• Open balcony• The bathroom is tiled• Side:Translated from Armenian"
605,Panels,No,Available,8 / 9,3,1,78 sq.m.,from 2.8 m,Open balcony,Designer Renovation,Yerevan › Davitashen,"$110,000",USD,"An apartment is for sale on Tigran Petrosyan street, it has an open balcony, individual heating system and heated floor. It is on the south side, it is sold together with a partial property.Translated from Armenian"
606,Monolith,Yes,Available,10 / 17,3,1,110 sq.m.,from 2.8 m,Not available,No Renovation,"Charents street, Yerevan","$160,000",USD,"Zero condition, stained glass European windows, metal door, 3 open balconies, has parking - $ 13000Translated from Armenian"
607,Stone,No,Not available,4 / 4,2,1,71 sq.m.,from 3 m,Multiple balconies,Euro Renovation,Yerevan › Kentron,"$150,000",USD,"Code 10 + 21514:2-3 room modified apartment for sale T. On the Great Avenue. The apartment is fully renovated. Iron entrance door, laminate flooring, euro windows, tiled kitchen and bathroom.The apartment has an open and closed balcony, heating system, air conditioner.Sold with furniture and appliances.Translated from Armenian"
608,Stone,No,Not available,3 / 7,4,2,120 sq.m.,from 3 m,Not available,Euro Renovation,"Amiryan Street, Yerevan","$285,000",USD,"A 4-room apartment is for sale in the center, on Amiryan street, behind Hay Economy Bank.4 rooms: 120 sq/m. 3/7 floors: Stone building-3 bedrooms-Heating and cooling systemEuropean airportsGranite windowsills-2 Bathrooms3 square meter dressing room-Kitchen furniture and built-in cupboards made of oak woodItalian bedroom furnitureWooden doorEuropean plumbingGarage===SOLD WITH PROPERTY $285,000===IT IS STRICTLY PROHIBITED TO COPY /SCREENSHOT/ PICTURES AND POST ON OTHER PAGES AND ANNOUNCEMENTS, RESERVE THE COPYRIGHT OF THE AGENCY./AMRV285/Translated from Armenian"
609,Monolith,Yes,Available,5 / 9,3,1,108 sq.m.,from 3 m,Multiple balconies,Major Renovation,Yerevan › Nor Nork,"$125,000",USD,"10 + 31725:3-room apartment is for sale in Nork 2nd block. The apartment is fully renovated. Iron entrance door, tiled floor, euro windows.The apartment has 2 bathrooms, tiled.There is a heating system.The apartment has a loggia.For sale together with the kitchen furniture.Translated from Armenian"
610,Stone,No,Not available,2 / 4,2,1,52 sq.m.,from 3.2 m,Open balcony,Euro Renovation,Yerevan › Malatia-Sebastia,"$65,000",USD,"A fully renovated 2-room apartment is for sale on the crossroads of Malatia-Sebastia Bank. Furniture, Stalin project, stone, possibility to add. , First line.For sale or rentTranslated from Armenian"
611,Panels,Yes,Available,4 / 9,3,1,94 sq.m.,from 3 m,Not available,Cosmetic Renovation,"Victor Hambardzumyan Street, Yerevan","48,000,000 ֏",AMD,"3-room apartment is for sale on Hambardzumyan street, 94 sq. M. M area. It is located on the 3rd floor of a 9-storey Czech project building. An iron door is installed, the floor is covered with parquet. The apartment is in clean condition. It is provided with constant water and gas supply. The bathroom is tiled, equipped with sanitary ware. It is heated by a heating system. There is a closed balcony.Translated from Armenian"
