Construction Type,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
,,,,,,,,,,,,"Forest Street, Yerevan","$3,200",USD,"Բացառիկ առաջարկ կառուցապատողի կողմից միայն մեկ ներդրողի համար:Առաջարկվում է շենքի պենտհաուսը' վերանորոգված ըստ գնորդի նախասիրությունների։Գինն իջեցված է ժամանակավորապես:Շինարարության ավարտը' դեկտեմբեր 2024թ. ։Հնարավոր է հետ գնման պայմանագիր կնքել 3700$/քմ վճարմամբ 3 տարի անց, եթե բնակարանը հանձնվում է մեր տնօրինության տակ, ենթավարձակալության հնարավորությամբ, կամ 3400$/քմ' եթե բնակարանը մնում է գնորդի տնօրինության տակ։Ունի 3 ավտոկայանատեղի համար նախատեսված ավտոտնակ:Հարթ տանիքին տեռասսա, որտեղ հավելավճարով հնարավոր է տեղադրել մասնավոր լողավազան, այգի, խարույկի շուրջ նստատեղեր, արևային վահանակներ:Առանց սպասարկման վճար, սակայն 5* հյուրանոցի մակարդակի սպասարկմամբ:Շենքում բնակարանների գինը վերանորոգմամբ' սկսած 2500$/քմ (2րդ հարկի համար) ' ներառյալ.* 1 ավտոկայանատեղի/ավտոտնակ յուրաքանչյուր 100քմ համար' ապահովված էլեկտրականությամբ, տեսավերահսկվող, տաքացվող, իրերի պահպանման հնարավորությամբ:* Անվճար ջեռուցում և հովացում։* Անվճար էներգախնայող պատուհաններ' գետնից մինչև առաստաղ' ալյումինե շրջանակներով։* Վերանորոգված պատշգամբ' բնական փայտով և քարով երեսապատված, տնկված բույսերով, կաթիլային ոռոգման համակարգով։* Անվճար ընդունարան, կոնսիերժի, անվտանգության, մաքրարության, այգեպանի ծառայություններ շենքի համար։* Անխափան վթարային էներգամատակարարում։* Ապաստարան։* Ավտոլվացում' անվճար ""լվա ինքդ"" կամ վճարովի։* Անվճար էլեկտրական և հիբրիդային ավտոմեքենաների լիցքավորում։Մեկ հարկի օգտակար մակերեսը 400-800քմ:Շենքի ընդհանուր օգտակար մակերեսը' 4000, 6000քմ:3000քմ մակերեսով ավտոկայանատեղի:Կարող է վաճառվել ամբողջական շենքը' գինը պայմանագրային:Միայն կանխիկ գնման համար է այս առաջարկը:Տրամադրվող տարածքները դեպի Արարատ և Ազգային ժողովի շենք բաց տեսարան ունեն:Ամբողջովին վերանորոգված՝ հովացման և ջեռուցման համակարգով, էներգախնայող լուսամուտներով, պատշգամբները բարեկարգված և կանաչապատ:Նախագծի համառոտ բնութագիրը:Մենք նախագծել ենք մեր համալիրը որպես քաղաքի կենտրոնում գտնվող խելացի և էկոլոգիապես մաքուր շինություն՝ իր յուրահատուկ կասկադային պարտեզով։Դիրքը.Համալիրն ունի բացառիկ դիրք. Այն գտնվում է քաղաքի սրտում, շատ հանգիստ փողոցում, ունի բաց տեսարան:Ուղիղ Ազգային ժողովի դիմաց՝ 330 մետր հեռավորության վրա։Բազմաբնակարան շենքերի կառուցապատման առաջին գիծ: Դիմացի հատվածում թույլատրվում է մինչև երկհարկանի առանձնատներ կառուցել:Առաջին հարկից սկսած լիարժեք տեսարան է բացվում դեպի Ազգային ժողով, Մասիս, Օպերայի շենք, Ծիծեռնակաբերդի հուշարձան, Մարզահամերգային համալիր: Վերևի հարկերից բացվում է տեսարան նաև դեպի Կասկադ:Ոտքով մինչև Կասկադ 450մ/6 րոպե, մինչև Օպերա 12 րոպե:Շենքն իր ենթակառուցվածքներով, հարմարություններով և մատուցվող ծառայություններով համապատասախանում է 5* հյուրանոցի պահանջներին.• Ընդունարան, Դռնապան,• Անվտանգություն,• Ուղեբեռի բաժանմունք,• Լվացքատուն,• Հանգստյան սրահ, Սրճարան,• Լողավազան և մարզասրահ,• Գեղեցկության սրահ և SPA կենտրոն,• Մանկական խաղահրապարակ,• Մանկական զարգացման կենտրոն,• Մթերային խանութ,• Դեղատուն,• Ավտոկայանատեղ,• Այգի և Բակ:Կանաչապատում և էկոլոգիապես մաքուր շինարարություն.• Կանաչապատ տարածքը կազմում է 3400 քմ, ներառյալ՝ ուղղահայաց կանաչապատումը:• Այգին կունենա բույսերի և ծառերի մեծ բազմազանություն։• Մենք հոգ ենք տանելու կանաչ տնկարկների մասին ամբողջ համալիրում, այդ թվում պատշգամբներում և տանիքին: Կներդրվի համապարփակ կաթիլային ոռոգման համակարգ:• Մոտակայքում (5 րոպե ոտքով) են գտնվում Ազգային Ժողովի և Սիրահարների այգիները։• Շենքի կառուցման, կանաչապատման և տարածքի բարեկարգման ժամանակ նախատեսում ենք օգտագործել բնապահպանական տեսանկյունից ամենամաքուր տեխնոլոգիաներն ու բնական նյութերը՝ քար, փայտ, մետաղ։• Ըստ հնարավորինս կտեղադրվեն առավել աննկատ արևային վահանակներ:Շինարարության ընթացքում տրված գումարը երաշխավորվում է նոտարական վավերացմամբ պայմանագրով և գույքի գրավով:Ցանկության դեպքում հնարավոր է կնքել լրացուցիչ պայմանագիրտարածքի հետգնման ավելի բարձր գնով կամ վարձակալության' սկսած գնան պահից:Օրինակ, հնարավոր է վարձակալել 12 տարով և ստանալ բնակարանի գնման համար վճարված գումարը հետ' պահպանելով սեփականությունը, կամ հետ վաճառել կրկնակի ավելի բարձր գումարով: Պայմանագիրն իրավաբանորեն նույնն է, նույնպես տրվում է նոտարական վավերացմամբ և Կադաստրի կողմից գրանցված համարժեք կոշտ գույքային գրավի վկայական:Эксклюзивное предложение от застройщика, только для одного инвестора.Предлагается пэнтхаус здания_ отремонтированный с учетом предпочтений покупателя.Высота потолков до 6 метров.Просторный гараж с возможностью парковки трех автомобилей.Терраса на крыше, с возможностью обустройства за дополнительную плату: Частный бассейн, сад, лаундж зона вокруг камина, солнечные панели, аккумуляторы бесперебойного обеспечения электроэнергией.Без платы за обслуживание, но с обслуживанием на уровне 5 * отеля.Цена временно снижена.Завершение строительства декабрь 2023г.Можно заключить договор купли-продажи с оплатой 3700$/кв. М через 3 года, если квартира сдается в нашем распоряжении, с возможностью субаренды, или 3400$/кв. М, если квартира остается в распоряжении покупателя.Цена квартир в здании от 2500$ / кв. М (для 2-го этажа), в том числе:* 1 парковка / гараж на каждые 100 кв. М, обеспеченный электричеством, с возможностью видеонаблюдения, обогрева, хранения вещей:* Бесплатное отопление и охлаждение.* Энергосберегающие окна с алюминиевыми рамами от пола до потолка.*Полностью отремонтированные закрытые помещения.* Отремонтированный балкон, облицованный натуральным деревом и камнем, с посаженными растениями, системой капельного орошения, вентилируемый фасад.* Бесплатная стойка регистрации, услуги консьержа, охраны, уборки, садовника для здания.* Бесперебойное аварийное энергоснабжение.* Бомбоубежище: Полностью оборудованное_санузлы, вентиляция, источники обеспечения бесперебойного электропитания.* Бесплатная зарядка электрических и гибридных автомобилей.* Автомойка - бесплатная самостоятельная или платная.Полезная площадь одного этажа 400-800 кв. М.Общая полезная площадь зданий 4000, 6000 кв.Парковка площадью 3000 кв. М.Возможно продажа целого корпуса здания -цена договорная:Данное предложение действительно только покупке без использования ипотеки.Предоставляемые помещения имеют открытый вид на Арарат и здание Национального собрания:Полностью отремонтирован с системой охлаждения и отопления, энергосберегающими окнами, балконы благоустроены и благоустроены.Краткая характеристика проекта:Мы спроектировали наш комплекс как умное и экологически чистое здание в центре города с уникальным каскадным садом.Положение.Комплекс имеет исключительное положение. Он расположен в самом центре города, на очень тихой улице, имеет открытый вид:Прямо напротив Национального собрания, на расстоянии 330 метров.Первая линия строительства многоквартирных домов.С первого этажа открывается полноценный вид на Арарат, Национальное собрание, здание Оперы, Цицернакаберд, Спортивно-концертный комплекс.Пешком до каскада 450м/ 6 мин до Оперы 12 мин.Здание со своими инфраструктурами, удобствами и предоставляемыми услугами соответствует требованиям гостиницы 5*.* Приемная, Консьерж,* Безопасность: Видеонаблюдение, охрана, бомбоубежище,* Комната для временного хранения багажа,* Прачечная,* Салон отдыха, кафе,* Бассейн и тренажерный зал,* Салон красоты и спа центр,* Детская площадка,* Центр детского развития,* Продуктовый магазин,* Аптека,* Автостоянка,* Сад и двор:Озеленение и экологичное строительство.* Площадь озеленения на 400квм застройки одного корпуса здания: Сад и детская площадка_600 квм, озелененные балконы_200квм, терраса пэнтхауса_ 400квм, вертикальное озелнение_2200квм.* В саду будет большое разнообразие растений и деревьев.* Мы позаботимся о зеленых насаждениях по всему комплексу, в том числе на балконах и крыше.* Неподалеку (в 5 минутах ходьбы) находятся парк Влюбленных и Национального собрания.* При строительстве, озеленении и благоустройстве территории мы планируем использовать энергосберегающие и чистые с экологической точки зрения технологии и природные материалы: Камень, дерево, металл, стекло.* По возможности будут установлены самые незаметные солнечные панели:Сумма, выданная в ходе строительства, гарантируется нотариальным договором и залогом на имущество:При желании можно заключить дополнительный договорпо более высокой цене выкупа или аренды, начиная с момента покупки:Например, можно арендовать на 12 лет и получить обратно сумму, уплаченную за покупку квартиры, сохранив право собственности, или продать обратно за вдвое большую сумму.",Dec-15-2022_22-59,,,https://list.am/en/item/16749843
,,,,,,,,,,,,"Գրիգոր Հասրաթյան փողոց, Երևան","400,000 ֏",AMD,"️* In Ajapnyak community, at Grigor Hasratyan 19, in a newly constructed multi-apartment building, Real Investment company announces the start of the reservation process for the sale of apartments directly from the developer without additional commissions.* The law of refund of income tax from salary will be applied.* The said building will consist of* Taxability: -14.* Number of entrances: -2.* Public area - the entire first floor.* Parking - two floors.* Elevators - there will be two elevators at each entrance.* According to the project, there will be four apartments on one platform at the entrance of the building.* Two one bedroom,* One two-room and* One three-room apartments.* According to the project, the apartments will have the following areas.* One-room apartments - 45.4 square meters and 49.1 square meters.* Two-room apartments - 70.6 square meters.* Three-room apartments - 83.2 square meters.* Construction works will start from 25.05.2022.* The mentioned building will be commissioned on 01.03.2025.* In the initial phase, until 30.07.2022, you can buy or reserve apartments by paying per square meter:* 400,000 AMD.* To get more detailed information or to reserve an apartment, call the indicated phone numbers.* You can also come to our office at the following address:* RA c. Yerevan, Davtashen, T. Petrosyan street 40/2,* On weekdays* Monday to Friday* from 10:00 to 18:00.️* Saturday* from 11:00 to 17:00.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17811440
,,,,,,,,,,,,"Գրիգոր Հասրաթյան փողոց, Երևան","400,000 ֏",AMD,"️* In Ajapnyak community, at 19 Grigor Hasratyan street, in a newly constructed multi-apartment building, Real Investment company announces the start of the reservation process for the sale of apartments directly from the developer without additional commissions.* The law of refund of income tax from salary will be applied.* The said building will consist of* Taxability: -14.* Number of entrances: -2.* Public area - the entire first floor.* Parking - two floors.* Elevators - there will be two elevators at each entrance.* According to the project, there will be four apartments on one platform at the entrance of the building.* Two one bedroom,* One two-room and* One three-room apartments.* According to the project, the apartments will have the following areas.* One-room apartments - 45.4 square meters and 49.1 square meters.* Two-room apartments - 70.6 square meters.* Three-room apartments - 83.2 square meters.* Four-room apartments - 122 square meters.* Construction works will start from 25.05.2022.* The mentioned building will be commissioned on 01.03.2025.* In the initial phase, until 30.07.2022, you can buy or reserve apartments by paying per square meter:400,000 AMD.* To get more detailed information or to reserve an apartment, call the indicated phone numbers.* You can also come to our office at the following address:* RA c. Yerevan, Davtashen, T. Petrosyan street 40/2,* On weekdays from Monday to FridayFrom 10:00 to 18:00.On SaturdayFrom 11:00 to 17:00.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/12624531
,,,,,,,,,,,,"Գրիգոր Հասրաթյան փողոց, Երևան","400,000 ֏",AMD,"️* In Ajapnyak community, at Grigor Hasratyan 19, in a newly constructed multi-apartment building, Real Investment company announces the start of the reservation process for the sale of apartments directly from the developer without additional commissions.* The law of refund of income tax from salary will be applied.* The said building will consist of* Taxability: -14.* Number of entrances: -2.* Public area - the entire first floor.* Parking - two floors.* Elevators - there will be two elevators at each entrance.* According to the project, there will be four apartments on one platform at the entrance of the building.* Two one bedroom,* One two-room and* One three-room apartments.* According to the project, the apartments will have the following areas.* One-room apartments - 45.4 square meters and 49.1 square meters.* Two-room apartments - 70.6 square meters.* Three-room apartments - 83.2 square meters.* Construction works will start from 25.05.2022.* The mentioned building will be commissioned on 01.03.2025.* In the initial phase, until 30.07.2022, you can buy or reserve apartments by paying per square meter:400,000 AMD.* To get more detailed information or to reserve an apartment, call the indicated phone numbers.* You can also come to our office at the following address:* RA c. Yerevan, Davtashen, T. Petrosyan street 40/2,* On weekdays from Monday to FridayFrom 10:00 to 18:00.On SaturdayFrom 11:00 to 17:00.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/12773158
,,,,,,,,,,,,"Gyurjyan street, Yerevan","22,500,000 ֏",AMD,"2 rooms, newly built, monolithic building, 3rd f of Nor Nork, Gyurjian str. , 15/4h, 50 square meters, plaster, plaster, individual heating, will be commissioned in 2024, income tax applies, directly from the developer.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18525034
,,,,,,,,,,,,"Monte Melkonyan Avenue 46/2, Yerevan","$150,000",USD,"The apartment is located a little above the Dalma Garden Mall trade center in the 7th building of the newly built Renaissance district on Monte Melkonyan Street. The building is located right in front of the sports and concert complex. In the general district, this building has the highest position compared to other buildings, there is no building blocking the front of the 9th floor. The apartment has a view to Ararat, as well as to ""Yerevan park"". The apartment has a spacious balcony, a separate dressing room from the bedroom, a storage room next to the apartment. Will be handed over with capital renovation in 2023. Martin.The apartment was purchased from the developer with a mortgage, it is possible to sign a contract during the sale, which will allow the new buyer to benefit from the income tax refund.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18214464
,,,,,,,,,,,,"Admiral Isakov Avenue, Yerevan","$55,000",USD,"EM Construction Company offers apartments in a newly constructed building *2-room apartment in a newly built building on Admiral Isakov Avenue, 55 sq. M. , high ceilings, from the developer near Isahakov Ave. Income tax refund is in effect, only a few days left to start, hurry up to book your apartmentTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18082128
,,,,,,,,,,,,"Myasnikyan avenue, Yerevan","69,720,000 ֏",AMD,"WITHOUT INTERMEDIATE PAYMENT, BUILDER, INCOME TAX REFUND, 1 SQM: AMD 600,000. Gaj, European windows, iron entrance door, 2 bathrooms, 2 open balconies, beautiful view.ATTENTION PROMOTION FOR 1st 10 APARTMENTS, SQM 575,000 RA AMD.ՆՈՐՔ ՌԵԶԻԴԵՆՍ 4K/NORQ RESIDENCE 4K   ,,ԱՆԻ,, անշարժ գույք... Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/14891605
,,,,,,,,,,,,"Myasnikyan avenue, Yerevan","60,000,000 ֏",AMD,"Without commission, from the developer, with return of income tax, 1 square meter: AMD 600,000, plaster, European windows, iron entrance door, 2 bathrooms, 2 open balconies, beautiful view.ՆՈՐՔ ՌԵԶԻԴԵՆՍ 4K/NORQ RESIDENCE 4K   ,,ԱՆԻ,, անշարժ գույք... Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/14895796
,,,,,,,,,,,,"Myasnikyan avenue, Yerevan","84,565,000 ֏",AMD,"The apartment is located on the 11th floor.WITHOUT INTERMEDIATE PAYMENT, BUILDER, INCOME TAX REFUND, 1 SQM, starting from AMD 575,000. Gaj, euro windows, iron entrance door, new electrical wiring, 2 bathrooms, stained glass windows with a beautiful view.ՆՈՐՔ ՌԵԶԻԴԵՆՍ 4K/NORQ RESIDENCE 4K   ,,ԱՆԻ,, անշարժ գույք... Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/14896694
,,,,,,,,,,,,"Viktor Hambartsumyan street 25, Yerevan","$1,540",USD,"NEW CONSTRUCTION - near Baghramyan street, V. A 2-room apartment is for sale on Hambardzumyan (Gaidar) street, 1st line, in a newly built PREMIUM CLASS building.ELEVATOR AVAILABLE200m to Baghramyan Street, next to Barekamutyun metro station.First line, well-maintained yard.Completion of the building: 2023. The end of$1,540 - 1 sq. M. For47.71 sq. M.Key words,Developer, newly built, premium, Baghramyan, Gaidar, Gaidar, V. Hambardzumyan, Gulbenkyan, GulbekyanTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18339468
,,,,,,,,,,,,"Admiral Isakov Avenue, Երևան","$95,000",USD,"*3-room apartment in a newly built building, Admiral Isakov Avenue, 95 sq. M., high ceilingsMG Construction Company offers + 2 + 3 + 4 in a newly built apartment buildingfrom the developer of one-room apartments. The residential complex is located next to Isahakov Avenue. Income tax refund is available. There are only a few days left before the start, hurry up and book your apartment.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18088744
,,,,,,,,,,,,"Admiral Isakov Avenue, Yerevan","$65,000",USD,"*2-room apartment in a newly built building on Admiral Isakov Avenue, 65 sq. M., high ceilingsMG Construction The organization offers apartments in a newly constructed multi-apartment building from the developer. The residential complex is located next to Isahakov avenue. Income tax refund is available. There are only a few days left before the start, hurry up and book your apartment.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18085505
,,,,,,,,,,,,"Admiral Isakov Avenue, Երևան","$41,000",USD,Կազմակերպությունը առաջարկում է նոր կառուցվող շենքում բնակարաններ կառուցապատողից Իսահակով պողոտայի հարևանությամբ գործում Է եկամտային հարկի վերադարձը մեկնարկին մնացել է հաշված օրեր շինարարությունը սկսվելու պահից գինը փոխվելու է շտապեք ամրագրել ձեր բնակարանը,Dec-15-2022_22-59,,,https://list.am/en/item/18167541
