Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links
Stone,No,Not available,5.0,135 sq.m.,5,1,from 2.7 m,4.0,Not available,Major Renovation,"Մովսես Խորենացի փողոց 1, Գյումրի","$76,000",USD,"Apartment for salec. Gyumri M. Khorenatsi135 square meters. Total area5/4-5th floor5 roomsUtility with all amenitiesThoroughly reconstructedStoreyStoneLightOn the sunny sideWith a heating systemEuro windowsWith hot and cold waterSelling price: $76,000Code 6465Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18293839
Stone,Yes,Available,4.0,70 sq.m.,2,1,from 2.75 m,4.0,Open balcony,Cosmetic Renovation,"Sayat Nova avenue 9a, Gyumri","$73,000",USD,"Sayat Nova 9a, Norakarruyts building, two windows to the living room, one window to the opposite room with a balconyTranslated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18293755
Stone,No,Not available,4.0,40 sq.m.,2,1,from 3.2 m,4.0,Open balcony,No Renovation,Shirak › Maralik,"5,000,000 ֏",AMD,"Продаю квартиру в г. Маралик. Газ, вода и свет всё проведён, евро окни, выходной дверь тоже новый. Не хватает только ремонта. Торг возможен.",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18151431
Stone,No,Not available,3.0,65 sq.m.,2,1,from 3.2 m,2.0,Multiple balconies,Partial Renovation,"Garegin Nzhdeh Avenue 4, Gyumri","$34,000",USD,"An apartment for sale in the heart of the city, in the Textile district, a 2-room apartment on the 2nd floor of 3. To the south, always the sun in it. The position is east-west, and also has a balcony to the beautiful nature (park) and a balcony to the main avenue. Built-in cabinets with an interesting design. All utilities. It is close to the bus stop, supermarkets, medical centers, schools and other very important facilities.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18163844
Stone,No,Not available,5.0,110 sq.m.,4,2,from 2.75 m,4.0,Open balcony,Partial Renovation,"Tonakanyan Street, Artik","$30,000",USD,There is a basement under the buildingIt is possible to exchange with your own house in ArtikNegotiable:Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/16574724
Stone,No,Not available,5.0,44 sq.m.,1,1,from 2.7 m,4.0,Open balcony,Partial Renovation,"Կոշտոյան փողոց 5, Գյումրի","$20,500",USD,"1 room apartment for sale, 44 sq. M. Մ. Located in Koshtoyan district, next to the maternity hospital, on the 4th floor of a 5-storey building. The apartment has an iron door, wooden windows. It is provided with round-the-clock water and gas supply. The kitchen and the bathroom are tiled. Individual heating system is installed. Outdoor parking is provided for the cars in the yard. It has 1 open balcony.Code 1112Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/14719048
Monolith,No,Not available,5.0,76 sq.m.,3,1,from 2.8 m,3.0,Open balcony,Old Renovation,"Մանուշյան փողոց 16Ա, Գյումրի","$22,500",USD,"ALL PROPERTY INCLUDED IN THE SALE PRICE ․․․3-room apartment 76 sq. M. Is for sale. Մ. Located on Manushyan street, near Fantan, on the 3-rd floor of a 5-storey residential building. The apartment has a wooden door, wooden windows. It is provided with round-the-clock water and gas supply. The bathroom is partially tiled, a water heater is installed. There is an open-air parking lot for cars from the yard. It has 1 open and closed balcony. All the necessary shops, a school and a kindergarten are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/16938303
Stone,Yes,Not available,4.0,80 sq.m.,3,1,from 2.75 m,1.0,Closed balcony,Major Renovation,"Ghandilyan street, Gyumri","$30,000",USD,Lincy's dwarf fortified apartment. The bathroom is tiled. Iron door. Good condition.Translated from Armenian,Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17453615
Stone,No,Not available,5.0,94 sq.m.,3,1,from 2.7 m,2.0,Open balcony,Old Renovation,"Կամոյի փողոց 48Ա, Գյումրի","10,300,000 ֏",AMD,Apartment with a total area of 94.39 square meters. Located on the second floor of a five-story building.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17161607
Stone,No,Not available,4.0,43 sq.m.,1,1,from 2.75 m,2.0,Open balcony,Cosmetic Renovation,"Արևելյան փողոց 1, Գյումրի","$16,500",USD,1 + 1 apartment with all communal amenities is for sale. The apartment has the opportunity to add a room at the expense of the balcony. It is a bright warm apartment.Translated from Armenian,Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17737194
Stone,Yes,Not available,5.0,78 sq.m.,3,1,from 2.7 m,3.0,Not available,No Renovation,"Aram Khachatryan Street, Gyumri","$30,000",USD,"Apartment for saleQ ․ Gyumri, Aram Khachatryan streetArea of 78 square meters2 + 1 room5 / 3rd floorHeating SystemHot առը cold waterLightCosmetically renovatedWithout propertyWith all utilitiesThe sale price is $ 30,000Code 3674Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17767110
Stone,Yes,Not available,3.0,82 sq.m.,3,1,from 2.8 m,1.0,Not available,Major Renovation,"Տերյան փողոց 98, Գյումրի","25,000,000 ֏",AMD,"The apartment is completely new (Linz), with European windows, bars, wooden doors, parquet, heating systemTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17796308
Stone,No,Not available,3.0,70 sq.m.,3,1,from 2.7 m,3.0,Open balcony,Major Renovation,"Շիրակացի փողոց 1, Գյումրի","$35,500",USD,"Apartment for saleK. Gyumri, Shirakatsi street70 square meters. Surface2 + 1 room3/3rd floorThoroughly reconstructedOpen balconyHot and cold waterLightHeating SystemStoneUtility with all amenitiesSelling price $35,500Code 6823Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18273857
Monolith,No,Not available,4.0,90 sq.m.,4,2,from 2.7 m,3.0,Open balcony,Cosmetic Renovation,"Եղիշե Չարենցի փողոց 9, Գյումրի","$45,000",USD,"Apartment for sale in district 58 of Gyumri. Communal with all facilities, located on the 3rd 4th floor of a 4-story building (duplex apartment) It is cosmetically renovated, it is in good condition, the windows have been partially changed, an individual heating system has been installed. There is a school, kindergarten, service halls nearby. The price is negotiable.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/18199822
Stone,No,Not available,3.0,68 sq.m.,2,1,from 2.7 m,1.0,Open balcony,Major Renovation,"Կազաչի պոստ թաղամաս 1, Գյումրի","$23,000",USD,"Apartment for saleK. Gyumri, Kazakh post office68 square meters. Surface2 + 1 room3/1st floorThoroughly reconstructedOpen balconyHot and cold waterLightDryHeating SystemStoneUtility with all amenitiesSelling price $23,000Code 9822Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18268865
Stone,Yes,Not available,4.0,90 sq.m.,3,1,from 2.8 m,4.0,Open balcony,Cosmetic Renovation,"Տրդատ Ճարտարապետի փողոց 9/6, Գյումրի","$65,000",USD,"The apartment is located in Karmir Khach district, iron door, 2 balconies with euro doors, euro windows, basement, partial property, 1 living room and 2 bedrooms, kitchen, individual heatingTranslated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/17986225
Stone,Yes,Not available,6.0,90 sq.m.,3,1,from 2.75 m,6.0,Open balcony,Old Renovation,Shirak › Gyumri,"$75,000",USD,Վաճառվում կամ տրվում է վառձով բնակարան Գյումրի քաղաքում։Продается или сдается в аренду дом в г. Гюмри.Для дополнительной информаци звонить по тел.,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17554779
Monolith,No,Not available,4.0,83 sq.m.,3,1,from 2.75 m,4.0,Not available,Designer Renovation,"Մովսես Խորենացի փողոց 2, Գյումրի","$41,500",USD,"ԲՆԱԿԱՐԱՆԸ ԿԱՊԻՏԱԼ ՎԵՐԱՆՈՐՈԳՎԱԾ Է ԲՆԱԿԵՑՎԱԾ ՉԷ․․․Վաճառվում է 4 ձևափոխված 3-ի սենյականոց բնակարան 83 ք/մ. Մակերեսով, որը գտնվում է Անի թաղամասում Մովսես Խորենացի փողոցում։Բնակարանը կապիտալ վերանորգված է, մուտքին տեղադրված է երկաթյա դուռ, եվրոպատուհաններ, հատակը ծածկված է լամինատով, խոհանոցը և սանհանգույցը սալիկապատված է: Էլեկտրական լարերը և ջրատար խողովակները ևս նոր են։ Ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Տեղադրված է ջեռուցման անհատական համակարգ։Դիրքը արևելք-արևմուտք։Ավտոմեքենաների համար հատկացված են բացօթյա կայանատեղեր: Մոտակայքում են գտնվում բոլոր անհարժեշտ խանութները, հանգստի և ժամանցի վայրեր և այլն։К ВАШЕМУ ВНИМАНИЮ ПРЕДСТАВЛЕНА ШИКАРНАЯ КВАРТИРА С КРАСИВЫМ ВИДОМ ИЗ ОКНА!Стильная, просторная 4-комнатная квартира на 4 этаже 4-этажного жилого дома. Оптимальная планировка: Большой квадратный холл, светлая и просторная гостиная + КУХНЯ СОВМЕЩЕНЫ, две спальни (20 и 14 кв. М.) Просторная ванная комната, что дает возможность разместить джакузи, душевую кабину общая площадь ванной комнаты 13 кв. М. Ремонту менее года, состояние идеальное, металлопластиковые стеклопакеты, медная проводка, новые батареи бакси! Новая входная дверь, после ремонта в квартире никто не проживал.",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18194739
Panels,No,Not available,5.0,48 sq.m.,2,1,from 2.8 m,5.0,Not available,Cosmetic Renovation,"Մանուշյան փողոց 16Ա, Գյումրի","$19,500",USD,"Վաճառվում է լուսավոր հարմարավետ բնակարան ք. Գյումրիում, Շարլ Ազնավուրի հրապարակից դեպի ""Սև ֆոնտան""։Ունի Baxi ջեռուցման համակարգ։Սանհանգույցը վերանորոգման ենթակա է։Բնակարանը վաճառվում է առանց գույք, դատարկ։Շտապ!Գինը վերջնական է!Продаётся светлая уютная квартира в Гюмри недалеко от статуи Шарля Азнавура в сторону ""Черного фонтана"".Отопление индивидуальное Baxi.Требуется ремонт ванной и туалета.Квартира продается в пустом виде.Срочно!Цена окончательна!",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17421035
Stone,No,Not available,5.0,100 sq.m.,3,1,from 2.75 m,1.0,Closed balcony,Euro Renovation,Shirak › Artik,"$25,000",USD,"Վաճառվում է 3 սենյականոց բնակարան 5 հարկանի քարե շենքի 1-ին հարկում 100ք. Մ ընդհանուր մակերեսով: Բնակարանը ամբողջովին վերանոգված է, ունի անհատական ջեռուցման համակարգ, դիմացի մասը ավելացված է, ունի նկուղ: Վաճառվում է գույքի և տեխնիկայի հետ միասին:Կոդ 0225",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18259853
Stone,No,Not available,3.0,100 sq.m.,4,1,from 2.75 m,3.0,Open balcony,Cosmetic Renovation,"Ղանդիլյանի փողոց 10, Գյումրի","$26,000",USD,"4-room apartment is for sale on Ghandilyan street, near Nairi Restaurant, on the 3rd floor of a 3-story building. The apartment is renovated, provided with round-the-clock water and gas supply. The total area is 100 square meters, the bathroom and the kitchen is tiled, a 12 liter water boiler is installed. An iron door, wooden windows are installed, the interior doors are made of wood. It has 1 open balcony. Cable TV is available. Internet is available. All the necessary shops.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/15767137
Stone,No,Not available,4.0,75 sq.m.,3,1,from 2.6 m,4.0,Multiple balconies,Cosmetic Renovation,Shirak › Artik,"6,200,000 ֏",AMD,Call the mentioned phone number for details.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17966172
Stone,Yes,Not available,5.0,55 sq.m.,2,1,from 3 m,1.0,Not available,Major Renovation,"Manushyan street, Gyumri","$39,000",USD,Sewer and The whole water supply system is brand newIt was capitally renovated on 20.06.21.Heating system BaxiI will also listen to an exchange offer.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17869366
Stone,No,Not available,4.0,96 sq.m.,3,1,from 2.7 m,2.0,Not available,Old Renovation,"Aram Khachatryan Street 2, Gyumri","15,000,000 ֏",AMD,Three-room apartment in Gyumri. Aram Khachatryan 2 streetTranslated from Armenian,Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18155304
Monolith,No,Not available,4.0,76 sq.m.,3,1,from 2.7 m,1.0,Not available,Cosmetic Renovation,"Մովսես Խորենացի փողոց 2, Գյումրի","$35,000",USD,"A 3-room apartment of 76 square meters is for sale. The area is located in Ani district, near the 11th school, on the 1st floor of a 4-story residential building. The apartment is cosmetically renovated, iron and wooden doors, wooden windows are installed at the entrance. It is provided with round-the-clock water supply and gas supply. A water heater is installed. Outdoor parking spaces are allocated for cars by the yard. There is a basement area with a separate entrance. All necessary shops, recreation and entertainment places, etc. Are nearby.Translated from Armenian",Nov-25-2022_14-09,,OUtdoor parking,Not available,"YArd view, street view, city view, park view",,https://list.am/en/item/18234177
Stone,No,Not available,4.0,92 sq.m.,4,1,from 2.7 m,4.0,Closed balcony,Cosmetic Renovation,"Ghandilyan street, Gyumri","$28,000",USD,"Apartment for saleք ․ Gyumri Ghandilyan street92 sq. M. Total area:4 / 4th floor3 + 1 roomKarashenClosed balconyLightSide:With partial propertyWith all utilitiesThe sale price is $ 28,000Code 5585Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17989597
Stone,No,Not available,5.0,84 sq.m.,4,1,from 2.8 m,3.0,Multiple balconies,Old Renovation,Shirak › Artik,"$30,000",USD,Tufa house. Floor 3. Rooms 4.Balcony 2. In the city center.The condition of the apartment is good. Separate bathroom. Windows on different sides of the house. Geyser for hot առը cold water.It is possible to exchange apartments in Yerevan with prepayment!Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17320774
Stone,No,Not available,5.0,78 sq.m.,3,1,from 2.7 m,5.0,Closed balcony,Major Renovation,"Լևոն Մադոյան փողոց 1, Գյումրի","17,000,000 ֏",AMD,"Apartment for salec. Gyumri, Cinema Yerevan78 square meters. Total area5/5th floor3 roomsStoneLightOn the sunny sideThoroughly reconstructedWith a heating systemUtility with all amenitiesSale price: 17,000,000 AMDCode 8567Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18232066
Stone,Yes,Not available,4.0,61 sq.m.,2,1,from 2.7 m,4.0,Open balcony,No Renovation,"2-րդ թաղամաս 12, Արթիկ","$10,500",USD,"Շատ շտապ. Բնակարանը լմբատ տաղամասում է, կպատասխանենք նամակով",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18227106
Stone,No,Not available,5.0,50 sq.m.,2,1,from 2.8 m,5.0,Not available,Major Renovation,"Ghandilyan street, Gyumri","$43,000",USD,"Fully renovated apartment for sale on Ghandilyan street. The door is iron, the windows are euro, the bathroom is completely renovated, the floor is laminated and tiled, there is constant hot and cold water, the roof is completely changed, a Murino heater is installed, it is privatized, it is sold with the whole property. The price is final. Is, there is no downgrade, it is pointless not to call.Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/16111487
Monolith,No,Not available,4.0,137 sq.m.,5,2,from 2.7 m,4.0,Not available,Major Renovation,"Եղիշե Չարենցի փողոց 1, Գյումրի","30,000,000 ֏",AMD,"Duplex 5-room apartment 137 sq/m for sale. With a plot located at the beginning of Charentsi street in Ani district. The apartment is completely renovated, there is an iron door at the entrance, European windows, the floor is covered with laminate, the kitchen and bathrooms are tiled, the interior doors are of European manufacture. The electrical wiring and water pipes are also new. It is provided with round-the-clock water supply and gas supply. An individual heating system is installed. On the 5th floor of the apartment, there are 2 more rooms with a tiled bathroom and the possibility of expansion. There are outdoor parking spaces for cars. All necessary shops, recreation and entertainment places, etc. Are nearby.Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/15432066
Monolith,No,Not available,3.0,90 sq.m.,3,1,from 2.8 m,1.0,Not available,Major Renovation,"Aram Khachatryan Street 8, Gyumri","23,500,000 ֏",AMD,"ALL PROPERTY and EQUIPMENT Մ IS INCLUDED IN THE SALE PRICE3-room apartment of 90 sq. M. Is for sale. Located in Ani district, behind the Pedagogical Institute. The apartment is fully renovated, the entrance door is metallic, the windows are modern plastic ones, the floor is tiled, the kitchen and the bathroom is tiled, the interior doors are euro. The electric wires, water pipes are new. It is provided with round-the-clock water and gas supply. Individual heating system is installed. It has 1 closed balcony. East-west position. Outdoor parking spaces are provided for cars. All the necessary shops, places of rest, entertainment, etc. Are nearby.Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/15710526
Stone,No,Not available,4.0,53 sq.m.,3,1,from 2.7 m,4.0,Not available,Major Renovation,"Խրիմյան Հայրիկ, Գյումրի","$24,000",USD,"Apartment for saleք ․ Gyumri Kh ․ DadTotal area 53 square meters3 rooms4 / 4th floorCosmetically renovatedWith all utilitiesDry houseThe sale price is $ 24,000Code 6285Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17318666
Stone,No,Not available,5.0,105 sq.m.,4,1,from 2.7 m,5.0,Open balcony,Cosmetic Renovation,"Խրիմյան Հայրիկ, Գյումրի","$34,000",USD,"Apartment for saleք ․ Gyumri Khrimyan Hayrik105 square meters - total area4 rooms5 / 5th floorCosmetically renovatedWater, Gas, LightBright sideWith all utilitiesThe sale price is $ 34,000Code 4223Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17533050
Stone,No,Not available,5.0,59 sq.m.,3,1,from 2.7 m,4.0,Open balcony,Major Renovation,"Yerevan Highway, Gyumri","$34,000",USD,"Apartment for saleք ․ Gyumri Yerjanyan road ․Total area 59 square meters3 rooms5 / 4th floorOverhauledWith all utilitiesDry houseWith heating systemEuro doors and windowsWith partial propertyThe sale price is $ 34,000Code 7285Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17319530
Panels,No,Not available,5.0,50 sq.m.,2,1,from 2.8 m,1.0,Closed balcony,No Renovation,Shirak › Maralik,"6,000,000 ֏",AMD,It has two entrances. Write or call for details. Not to offer a closed exchange. (negotiable for real buyer)Translated from Armenian,Nov-25-2022_14-10,,,,,,https://list.am/en/item/17773600
Stone,No,Not available,2.0,97 sq.m.,4,1,from 3.2 m,1.0,Not available,Old Renovation,"Улица Гандиляна 2, Гюмри","$29,000",USD,"The apartment is large, spacious, with high ceilings. It needs repair. The front door is iron. There is no hot water. It is possible to make 2 separate apartments. It can be used as a guest house or shop area. It has a yard and a garage that can be used as a garage.NegotiableTranslated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/18146178
Stone,No,Not available,2.0,100 sq.m.,4,1,from 2.7 m,2.0,Open balcony,Major Renovation,"Rustaveli Street, Gyumri","50,000,000 ֏",AMD,"THE APARTMENT IS SERVED AS A HOSTEL, IT CAN ALSO BE PROVIDED FOR LONG TERM RENTAL OFFICE. CAPITALLY RENOVATED UNHABITED WITH COMPLETELY NEW PROPERTIES AND APPLIANCES...This Capital Renovated 4-room apartment is for sale in the central part of the city on Rustavel street, which is located on the 2nd floor of a 2-story building. It is provided with 24-hour water and gas supply. The total area is 100 sq/m. Iron door, euro windows, interroom doors are euro, the bathrooms (2 bathrooms) and the kitchen are tiled, an individual heating system is installed, the floor is laminate. Cable TV and Internet are available. There is an open balcony. All necessary shops, kindergarten, school are nearby.Code 1114Translated from Armenian",Nov-25-2022_14-10,,OUtdoor parking,By agreement,"YArd view, street view, city view, park view","AIr conditioner, fridge, washing machine",https://list.am/en/item/13502033
Stone,No,Not available,4.0,56 sq.m.,3,1,from 2.7 m,1.0,Not available,Cosmetic Renovation,"Yerevan Highway, Gyumri","$16,800",USD,"Apartment for salec. Gyumri Yerevan Street.57 square meters.2 + 1 room5/1st floorUtility with all amenitiesWith hot and cold waterThoroughly reconstructedLightSelling price: $18,500Code 7835Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17947168
Stone,No,Not available,5.0,60 sq.m.,2,1,from 2.7 m,5.0,Open balcony,Major Renovation,"Կոշտոյան փողոց 12/1, Գյումրի","$23,000",USD,"Apartment for saleQ ․ Gyumri, KoshtoyanArea of 60 square meters2 rooms5 / 5th floorEuro windowsHeating SystemNew cosmetically renovatedThe bathroom is tiledOpen balconyEuro renovatedThe sale price is $ 23,000Code 7769Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17716204
Stone,No,Not available,5.0,80 sq.m.,3,1,from 2.75 m,1.0,Not available,Major Renovation,"Շահինյան փողոց 6Ա, Գյումրի","$49,600",USD,"A 3 + 1-room apartment is for sale at 6a Shahinyan street. It has a small yard with its own gate._Windows and doors_ of European production (three-layer aluminum)_The bathroom_ is tiled and equipped with quality sanitary ware (душевая кабина)_The kitchen, the corridor_ are tiledThe floor is laminate_Heating_individual (baksi)_Air conditioner (exhaust)_The outer door_ is ironClose to the houseIt is sold partially furnished, with kitchen furniture and plumbing.Nearby are:_ Vega store-salon_schools_kindergartens_Tumo_ Technopark_Gyumri central park (gorka)_ HospitalFather's houseTranslated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/18191650
Panels,No,Not available,4.0,78 sq.m.,3,1,from 2.75 m,4.0,Closed balcony,Cosmetic Renovation,"Արագած-2 թաղամաս 1, Գյումրի","$20,000",USD,"Շենքը կառուցվել է 1992 թ լավ վիճակում։ Բոլոր էլեկտրական լարերը փոխված պատերը ամբողջությամբ նոր գաջած կոսմետիկ վերանորոգված լավ վիճակում, կոմունալ բոլոր հարմարություներով, շենքին կից կա հողատարածք և պահոցային տարածք։ Որոշակի կահույք տրվում է տան հետ միասին։",Nov-25-2022_14-10,,,By agreement,,,https://list.am/en/item/17604710
Stone,No,Not available,3.0,85 sq.m.,3,1,from 3.5 m,1.0,Closed balcony,Partial Renovation,"Gorki Street, Gyumri","$55,000",USD,"A three-room apartment is for sale in the center of the city. The apartment is 85 square meters. It is privatized. It is for sale together with the garage. It is provided with constant water and gas. The price is $ 50,000.Translated from Armenian",Nov-25-2022_14-10,,,By agreement,,,https://list.am/en/item/16534961
Stone,Yes,Not available,4.0,100 sq.m.,4,1,from 2.7 m,4.0,Not available,Cosmetic Renovation,"Մովսես Խորենացի փողոց 1, Գյումրի","$36,000",USD,"Apartment for saleQ ․ Gyumri, Mkhorenatsi100 sq. M. Area:4 rooms4 / 4th floorCosmetically renovatedHeating SystemHot առը cold waterRoof:LightWith all utilitiesThe sale price is $ 36,000Code 7826Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17938523
Stone,No,Not available,2.0,126 sq.m.,5,1,from 2.8 m,1.0,Closed balcony,No Renovation,"Ջրաշինարարների փողոց 1, Ախուրյան","$12,000",USD,"A half-built apartment is for sale. It is located 5 km away from Vardanants Square, in the central part of Akhuryan. There is a basement of 35 sq. M.The sale price is $ 20,000.To see the plan, call or write the mentioned phone number.Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17721597
Stone,No,Not available,4.0,75 sq.m.,3,1,from 2.7 m,2.0,Open balcony,Old Renovation,"Garegin Nzhdeh Avenue, Gyumri","$35,000",USD,"Apartment for saleք ․ Gyumri Garegin NzhdehTotal area 75 square meters2 + 1 room2 / 2nd floorWith all utilities2 open balconiesSide:The sale price without a garage is $ 35,000Code 6689Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17400750
Stone,Yes,Not available,4.0,146 sq.m.,4,1,from 2.75 m,2.0,Open balcony,Designer Renovation,"Akhuryan Highway, Gyumri","$135,000",USD,"Code 1822Apartment for saleK. Akhuryan Highway, Gyumri146 square meters. Surface4 rooms4/2nd floorEuro renovatedHeating SystemHot and cold waterTwo balconiesProperty with appliancesLightUtility with all amenitiesSelling price $135,000Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17931991
Stone,No,Not available,2.0,124 sq.m.,5,2,from 3 m,2.0,Not available,Major Renovation,"Ghandilyan street, Gyumri","$50,000",USD,"Apartment with all communal facilities, sunny apartment with Euro windows, for saleTranslated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/17276525
Stone,No,Not available,1.0,100 sq.m.,3,1,from 3 m,1.0,Multiple balconies,Cosmetic Renovation,"26 Komisarneri Street, Gyumri","$40,000",USD,"Urgent sale, 97 building of 26 commissars, apt. 1 Back of Igit pharmacy. Sergey... It has 2 entrances from the building and there is a basement from the door of the building ///Translated from Armenian",Nov-25-2022_14-10,,,Not available,,,https://list.am/en/item/17249977
Stone,Yes,Not available,4.0,69 sq.m.,3,1,from 2.7 m,2.0,Not available,No Renovation,"Արագած թաղամաս 1, Գյումրի","$21,000",USD,"Apartment for salec. Gyumri Aragats district69 square meters. Total area4/2nd floor3 roomsStoneLightOn the sunny sideWith a heating systemUtility with all amenitiesSelling price: $21,000Code 6467Translated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/18155471
Stone,No,Not available,1.0,120 sq.m.,4,1,from 2.7 m,1.0,Not available,No Renovation,Shirak › Hatsik,"$15,000",USD,"Own house, water, electricity, gasTranslated from Armenian",Nov-25-2022_14-10,,,,,,https://list.am/en/item/18130183
Stone,Yes,Not available,4,48 sq.m.,2,1,from 2.7 m,1,Not available,Major Renovation,"Մուշ 2-2 թաղամաս, Գյումրի","$27,500",USD,"Apartment for salec. Gyumri, Mush 2/2 district48 square meters. Total area4/1st floor2 roomsStoneThoroughly reconstructedLightWith a heating systemUtility with all amenitiesWith hot and cold waterWith propertyBy techniqueSale price: 11,000,000 AMDTranslated from Armenian",Dec-15-2022_22-58,,,Available,,,https://list.am/en/item/18718799
Monolith,No,Not available,4,95 sq.m.,3,1,from 2.75 m,4,Multiple balconies,Euro Renovation,"Aram Khachatryan Street 25, Gyumri","$26,000",USD,Квартира времено НЕ продаётсяЯ собираюсь пережать в США а именно в Глендейл. Мне нужен Компайнонкоторий пожелает полететь со мной и работать вместе или как Инвестор.Свези с правилами сайта детали не могу писать для утачнения связитиссо мной по телефону и я всё обисню.Убидетилная просба звоните только после 20:00Я работаю в ваеной часте и не могу ползватся телефоном.Квартира тёплая и солнечнаяЕсть свет. Газ. Вода. Интернетвместе с квартири есть и болшаябодсовка и 50км в крыше.По любим вопросом званите.,Dec-15-2022_22-58,"Intercom entry, playground",Outdoor parking,Partial Furniture,"Yard view, street view, view of Ararat","Fridge, stove, washing machine",https://list.am/en/item/18696250
Stone,No,Not available,5,78 sq.m.,3,1,from 2.8 m,5,Open balcony,Euro Renovation,Shirak › Maralik,"$20,000",USD,"Maralik, Shirak provinceIt also has a basement of 12 square meters, an open balconyFor more information callTranslated from Armenian",Dec-15-2022_22-58,,,,,,https://list.am/en/item/18420825
Stone,No,Not available,3,106 sq.m.,3,1,from 3.5 m,3,Open balcony,Cosmetic Renovation,"Улица Максима Горького 73, Гюмри","$62,000",USD,"Продается 3-х комнатная квартира, 106 кв. М. , в центре города со всеми коммунальными удобствами.Дом каменный, высокие потолки, балкон находится на фасаде дома, выходящего на главную улицу.Развита инфраструктура, все в пешей доступности: Школа, детский сад, магазины, аптеки, банк.Звоните, с удовольствием отвечу на Ваши вопросы.",Dec-15-2022_22-58,,,,,,https://list.am/en/item/18431430
Stone,Yes,Not available,4,41 sq.m.,2,1,from 2.8 m,4,Open balcony,Major Renovation,Shirak › Gyumri,"24,455,000 ֏",AMD,"I am selling a 1-room apartment in the center of the city in a newly built building. Address: Sayat Nova Street 9/9, building 17. It is in habitable condition, it can be renovated. It can be converted into a 2-room apartment. It has an open balcony with a tin roof.Translated from Armenian",Dec-15-2022_22-58,,,Not available,,,https://list.am/en/item/18497978
