Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Parking,Appliances,Window Views,The House Has,Links
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,5,Multiple balconies,Not available,Partial Renovation,Armavir › Merdzavan,"$40,000",USD,"The apartment is located in the central part of Merdzavan, water, gas, electricity, clean conditionTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18133493
Stone,No,Not available,5,78 sq.m.,3,1,from 2.7 m,2,Open balcony,,Major Renovation,Armavir › Echmiadzin,"$70,000",USD,"The apartment is located in the central part of Etchmiadzin, in a stone building, it is renovated, it has all utilities, it has a heating system, air conditioning, the ceiling height is 2.7m, it has an open balcony, a garage.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18303885
Panels,No,Not available,5,74 sq.m.,3,1,from 2.75 m,3,Multiple balconies,Not available,Major Renovation,"Արագած փողոց 4, Վաղարշապատ","3,000,000 ₽",RUB,"A 3-room apartment is for sale.The main concrete works have been completed.1. Power lines2. Water pipes3. Windows (euro)4. Wooden doors (new)5. Warm floor6. Possibility of a balcony 54 square meters (6*9)7. Entrance to the pantry8. Iron door (new)The price is 3,000,000 rubles, which is also negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/15963394
Stone,No,Not available,2,80 sq.m.,4,1,from 3.2 m,2,Not available,,Euro Renovation,"Baghramyan street, Vagharshapat","$53,000",USD,"A 3-room apartment is for sale on Baghramyan Street. It has an open, spacious balcony. It is located next to VTB bank.For more information call.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17917022
Panels,No,Not available,5,59 sq.m.,2,1,from 2.7 m,2,Open balcony,,No Renovation,Armavir › Echmiadzin,"$40,000",USD,"The apartment is located in Zvartnots, partially under renovation, it has all utilities, the ceiling height is 2.7m, it has a pantry, basement, garage, 22 square meters, 2 rooms have been converted into 3, and it also has an open balcony.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18301722
Stone,No,Not available,3,51 sq.m.,3,1,from 3.2 m,3,Not available,Not available,Euro Renovation,Armavir › Echmiadzin,"19,000,000 ֏",AMD,"A 3-room full connection euro apartment turned into 2 is for sale on the 3rd floor of a stone building on Shahumyan street, Echmiadzin. There is a euro window, a tiled bathroom. Ceiling height: 3 m.Code 16832Translated from Armenian",Nov-25-2022_14-05,OUtdoor parking,STove,STreet view,,https://list.am/en/item/17515658
Stone,No,Not available,5,50 sq.m.,1,1,from 2.6 m,5,Closed balcony,Not available,Old Renovation,"Մեսրոպ Մաշտոցի փողոց 3, Արմավիր","12,000,000 ֏",AMD,"One room with 50 sq / m stone warm building, the apartment is in good condition. There are various educational institutions, kindergartens and shops in the area. The roof of the building has been completely changed. Iron entrance door, hot or cold water, gas supply. It is not for rent.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17201652
Stone,No,Not available,5,78 sq.m.,4,1,from 2.75 m,3,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$45,000",USD,"3-room apartment for saleTwo balconiesGas, water permanentShahumyan street of Etchmiadzin cityIn the beginningFloor 4:The area is 78 square metersFor more information call:Code E0009Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/14072583
Stone,No,Not available,2,80 sq.m.,4,1,from 2.8 m,1,Not available,,Major Renovation,"Vazgen Arajin street, Vagharshapat","$55,000",USD,"With garage, property and appliances. Baksi, air conditioner.Code BE-2744Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18292324
Stone,No,Not available,5,65 sq.m.,3,1,from 3 m,3,Not available,,Designer Renovation,"Վռամ Կոստանյան փողոց 1, Վաղարշապատ","$75,000",USD,"3-room apartment for sale in In the center of Etchmiadzin, next to Nor Dar grocery store. It is sold with the entire property (including TV, refrigerator, washing machine, etc.), only the property of one of the bedrooms is missing. It is equipped with all utilities, the doors are iron, the porch is also repaired and a camera is installed. The ceiling is multifunctional with its color combinations. A beautiful view opens from the window (Mount Ararat) For more information call.Code TS001Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18292275
Stone,No,Not available,1,400 sq.m.,5,1,from 3 m,1,Open balcony,,Cosmetic Renovation,"Mashtots Street, Armavir","$45,000",USD,"House area 124 m2, fencedTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17866000
Stone,No,Not available,1,90 sq.m.,4,1,from 3.2 m,1,Not available,,Partial Renovation,"Վազգեն Սարգսյանի փողոց 121, Վաղարշապատ","$82,000",USD,"In Etchmiadzin, a private house is for sale next to ""Shen Tun"" supermarket, it can also work as a commercial area. In front there is a plot of land, which is suitable for starting any kind of business. Permanent gas, water, electricity internet. The line has just been changed. The windows are of European production. The living area is 74 square meters + 22 square meters. Bathroom. Price $ 82,000 (negotiable) Call for details.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17762555
Stone,No,Not available,5,96 sq.m.,4,1,from 2.7 m,3,Closed balcony,,Partial Renovation,Armavir › Echmiadzin,"$60,000",USD,"A 4-room apartment on the 3rd floor of a stone building is for sale in a very busy place not far from the center of Etchmiadzin. There is a euro door-window, a water heater, a tile, a large fenced land and a garage. It is 85 square meters on paper, in fact it is 96 square meters.Code 16738Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17586140
Panels,Yes,Not available,5,44 sq.m.,3,2,from 3 m,5,Closed balcony,,Cosmetic Renovation,Armavir › Metsamor,"$15,000",USD,Normal situationDetails:Call forTranslated from Armenian,Nov-25-2022_14-05,,,,,https://list.am/en/item/18260622
Stone,No,Not available,5,72 sq.m.,3,1,from 2.6 m,5,Multiple balconies,,Euro Renovation,"Ереванское шоссе 19, Мердзаван","$50,000",USD,Трёх комнатная квартира. Без пасредника. Евро ремонт. Балкони 2.окни евро. Двери евро. Цена дагаваримся. Квартира находится в Мердзаване. Дом 5и этажка ка. Пятом етаже. Проект Чехские.,Nov-25-2022_14-05,,,,,https://list.am/en/item/17700201
Stone,No,Not available,5,85 sq.m.,4,1,from 2.75 m,3,Closed balcony,Not available,Partial Renovation,"Baghramyan street 16, Vagharshapat","$60,000",USD,"In the center of Etchmiadzin. Garage. The windows are euro, the doors are changed.Code B-8045Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17742183
Stone,No,Not available,5,175 sq.m.,5,2,from 2.8 m,5,Multiple balconies,,Major Renovation,"Mesrop Mashtots street 14, Vagharshapat","$120,000",USD,"Stone GARAGE (legal), 2 apartments connected to each other, balcony on 2 sides with beautiful views, 2 bathrooms, 2 closets, the roof is tiled. On facebook Real Estate in Etchmiadzin- Ansharj guyq Ejmiacnum:Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17307218
Panels,No,Not available,5,92 sq.m.,4,1,from 2.75 m,1,Closed balcony,Not available,Major Renovation,"Եղիշե Չարենցի փողոց 19, Վաղարշապատ","$50,000",USD,"4 rooms, of which 30 sq. M. Added part, 2 rooms not repaired, basement 40 sq. M. Euro windows with bars. On facebook Real Estate in Etchmiadzin - Ansharj guyq EjmiacnumCode B-9150Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/16891798
Stone,No,Not available,3,66 sq.m.,3,1,from 2.7 m,3,Open balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$80,000",USD,"AS048:A 3-room apartment is for sale on the 3rd/3rd floor, in the square of Etchmiadzin. The renovation is cosmetic, the bathroom is tiled, the windows and doors are changed. The apartment has a large open balcony 20m long, from which the Cathedral garden is visible; the square The two-story stone garage and 2 separate basements are also for sale with the apartment; The apartment has heat. System, air conditioner, there is a separate cabin installed. The total area is 65.5 square meters;Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18284899
Stone,No,Not available,4,68 sq.m.,3,1,from 3 m,3,Closed balcony,Available,Major Renovation,Armavir › Echmiadzin,"$60,000",USD,"AS049:K. A 3-room apartment is for sale on the 4th/3rd floor of a newly built building in Etchmiadzin. The apartment is completely renovated, it is sold together with all the property and equipment. The total area is 68 square meters. The cost is $60,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18030132
Stone,No,Not available,5,54 sq.m.,2,1,from 2.75 m,5,Not available,Available,Designer Renovation,Armavir › Echmiadzin,"$95,000",USD,Code A01012-ROOM APARTMENT FOR SALEEtchmiadzin in the center of the cityFloor 5The area is 54 square metersSold with all property appliancesAshotTranslated from Armenian,Nov-25-2022_14-05,,"AIr conditioner, fridge, stove, dishwasher, washing machine, drying machine","YArd view, street view",,https://list.am/en/item/14909431
Stone,No,Not available,5,64 sq.m.,3,1,from 2.8 m,5,Closed balcony,Available,Old Renovation,"Mesrop Mashtots street 63, Vagharshapat","$48,500",USD,"For sale in the center of Etchmiadzin, near the Monument to the Victims (fountains), in a stone building, near the bus stop (long shops) wires and water lines changed, hot-cold water with water heater, beautiful views, pasture, possibly with furniture,There is a garage in the yard + $ 4000Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/9983792
Stone,No,Not available,5,90 sq.m.,3,1,from 2.7 m,3,Multiple balconies,,Old Renovation,Armavir › Echmiadzin,"$52,000",USD,"A 3-room apartment turned into 2 is for sale on the 3rd floor of a stone non-Khrushchev building on the 1st line in the center of Mashtots str. , Etchmiadzin. The certificate states 60 square meters, but in reality the area is 90 square meters.Code 17052Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/14935717
Stone,No,Not available,5,96 sq.m.,4,1,from 2.7 m,5,Open balcony,,Euro Renovation,"Սայաթ-Նովա փողոց 23, Արմավիր","$52,000",USD,"A renovated apartment with all utilities is for sale in the city of Armavir. The apartment is equipped with a heating boiler, the roof is covered with tin. The apartment is sold with furniture. There is a warehouse with a diameter of 4 square meters on the floor.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17620886
Stone,No,Not available,5,86 sq.m.,4,1,from 2.7 m,1,Open balcony,,Major Renovation,Armavir › Echmiadzin,"24,000,000 ֏",AMD,"The apartment is in the Charents district, it is completely renovated, it is located in a stone building, it has all the utilities, the ceiling height is 2.70m, it has a heating system and a basement, an open storage room, and a small pavilion in front of the building.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18035334
Stone,No,Not available,2,80 sq.m.,3,1,from 3 m,2,Open balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$53,000",USD,"The apartment is located in the center of Etchmiadzin, in a stone building, in good condition, has all utilities, the ceiling height is 3m, it has an open balcony.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18273686
Stone,No,Not available,5,70 sq.m.,1,1,from 2.8 m,3,Open balcony,,No Renovation,"Vazgen Arajin street, Vagharshapat","$40,000",USD,"3rd floor, added 40 square meters. In the center.On facebook Real estate in Ejmiatsin - Ansharj guyq EjmiacnumCode BE-0022Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17150446
Stone,No,Not available,5,88 sq.m.,3,1,from 2.7 m,2,Open balcony,Available,Partial Renovation,Armavir › Echmiadzin,"$50,000",USD,"AS040:K. A 3-room apartment on the 5th/2nd floor is for sale in the very beginning of Etchmiadzin's Charents district. The apartment is in a clean condition. The total area is 87.8 square meters and there is a two-sided open balcony. The cost is $50,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18271697
Stone,No,Not available,5,68 sq.m.,3,1,from 2.7 m,3,Closed balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"19,800,000 ֏",AMD,"The apartment is located in Etchmiadzin, it has all utilities, it has a pantry, it is renovated, it is in good condition.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18018939
Stone,No,Not available,3,35 sq.m.,2,1,from 2.7 m,3,Not available,,No Renovation,Armavir › Dalarik,"1,000,000 ֏",AMD,"The property is the property of the Bank as a result of the pledge.Armavir region, Dalarik village, apartment at 9 Komitas str. Building 10, 35-33 sq. M., two rooms on the third floor of a three-story building, windows, wooden entrance doors, bathroom, water, gas are missing Electricity.The property is free.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/13047969
Stone,No,Not available,5,68 sq.m.,2,1,from 3 m,5,Closed balcony,Not available,Cosmetic Renovation,Armavir › Metsamor,"$30,000",USD,"2-комн. Квартира город Мецамор, 68 кв. М. , косметический ремонт, каменное здание.",Nov-25-2022_14-05,,,,,https://list.am/en/item/18123952
Panels,No,Not available,5,130 sq.m.,4,1,from 3 m,1,Closed balcony,,Cosmetic Renovation,Armavir › Metsamor,"$43,000",USD,"The apartment is located on the 1st floor of building 40. It needs cosmetic renovation in places. The whole house (with double glazing) has gas, the first floor used to be a shopping mall.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18266222
Stone,No,Not available,4,114 sq.m.,3,1,from 3 m,2,Not available,Available,Partial Renovation,"Улица Мовсеса Хоренаци 101, Вагаршапат","$57,000",USD,Все вопроси по телефону. Срочно! Свижитес на вацап,Nov-25-2022_14-05,,,,,https://list.am/en/item/18140233
Panels,No,Not available,5,74 sq.m.,3,1,from 2.75 m,5,Closed balcony,,No Renovation,Armavir › Echmiadzin,"$49,500",USD,"The apartment is located in the central part of Etchmiadzin, in average condition, has all the utilities, the ceiling height is 2.70m, with a basement, the roof is renovated, it also has the possibility of adding 24 square meters.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18264942
Stone,No,Not available,4,63 sq.m.,2,1,from 2.75 m,4,Closed balcony,By agreement,Cosmetic Renovation,Armavir › Echmiadzin,"$46,000",USD,"Apartment in Charents district of Etchmiadzin, located in a stone building, 2 rooms, has all utilities, heating system, renovated, the roof is also renovated.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18019287
Stone,No,Not available,4,100 sq.m.,4,1,from 2.75 m,2,Not available,Not available,Partial Renovation,Armavir › Echmiadzin,"$55,000",USD,A 4-room apartment is for sale on Vazgen First Street.Call for detailsTranslated from Armenian,Nov-25-2022_14-05,,,,,https://list.am/en/item/18037356
Stone,No,Not available,4,55 sq.m.,3,1,from 2.7 m,1,Not available,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$52,000",USD,"Apartment in Etchmiadzin, the apartment has all utilities, is located in a stone building, the total area is 54.5 square meters, it has a 22 square meter self-added part, a heating system, it has a basement, a garage.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18018356
Stone,No,Not available,4,34 sq.m.,1,1,from 2.7 m,4,Open balcony,,Designer Renovation,Armavir › Echmiadzin,"$37,000",USD,"1 BEDROOM APARTMENT FOR SALEin Etchmiadzin CityFloor 4The area is 33 square meters residential,AshotWith fractional property techniquesFor more information call:Code A0456Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18262882
Panels,No,Not available,5,77 sq.m.,3,1,from 2.7 m,5,Open balcony,,Cosmetic Renovation,Armavir › Armavir,"$40,000",USD,"It is sold together with kitchen furniture. For other questions, call. The apartment is located in Bangladesh district.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17551943
Stone,No,Not available,3,40 sq.m.,2,1,from 2.75 m,3,Not available,By agreement,Major Renovation,"Տիգրան Անդրեասյանի փողոց 1, Մուսալեռ","$36,000",USD,"ՇՏԱՊ Վաճառվում է 2 սենյականոց, նոր կապիտալ վերանորոգված բնակարան, Զվարթնոց օդանավակայանի հարեվանությամբ գտնվող Մուսալեռ գյուղի Անի թաղամասում քարե շենքի 3րդ հարկում:Ընդհանուր մակերեսը 38մ: Տանիքը վերանորոգված է: 2 կողմից արեվերես է։ Եվրո պատուհաններ:Ապահովված է մշտական տաք/սառը ջրով, ջեռուցման baxi համակարգով և գազով:Վաճառվում է առանց միջնորդի:Продаётся 2х комнатная капитально отремонтированная квартира на 3ем этаже каменного жилого дома в районе Ани деревни Мусалер, находящейся вблизи от аэропорта Звартноц.Общая площадь квартиры 38 м. Крыша отремонтирована. Окна выходят на 2 солнечные стороны. Установлены Евро окна.Квартира газифицирована, оснащена индивидуальной системой отопления BAXI. Бесперебойное наличие холодной/горячей воды.Продаётся без посредникаВ случае возникновения вопросов, связанных с квартирой, пожалуйста, просьба звонить по указанному номеру телефона",Nov-25-2022_14-05,,,,,https://list.am/en/item/18133664
Panels,No,Not available,5,68 sq.m.,2,1,from 2.7 m,2,Not available,,Major Renovation,Armavir › Echmiadzin,"$55,000",USD,"Bucks systemHeated floor2 for saleOne-room apartment Charentson the streetWith all the money, technology back togetherRenovatedFloor 2Code E006Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18208111
Stone,No,Not available,5,58 sq.m.,2,1,from 2.7 m,4,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$55,000",USD,"The apartment is located in Charents district, has all utilities, ceiling height is 2.7m, has 60 square meters of self-added area, has two-sided open balconies, is bought in average condition.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18252545
Stone,No,Not available,5,60 sq.m.,3,1,from 2.8 m,4,Closed balcony,,Cosmetic Renovation,"Vazgen Arajin street, Vagharshapat","$54,000",USD,3-room apartment for sale in In the center of Etchmiadzin. It is equipped with all utilities. For more information call.Translated from Armenian,Nov-25-2022_14-05,,,,,https://list.am/en/item/18011318
Stone,No,Not available,5,79 sq.m.,3,1,from 2.75 m,5,Open balcony,,Major Renovation,Armavir › Echmiadzin,"$60,000",USD,"Apartment in the central part of Etchmiadzin, the apartment is fully renovated, has all the communal facilities, heating baxi system, has an open balcony, basement, air conditioner, also for sale with furniture $ 65,000Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17299744
Stone,Yes,Not available,3,55 sq.m.,3,1,from 2.6 m,1,Open balcony,,Old Renovation,Armavir › Echmiadzin,"$36,000",USD,"Apartment in the village near Etchmiadzin, the apartment is located in a stone building, total 55 square meters, 15 square meters of yard area is added, the yard is fenced, has all the communal facilities, with constant water, is in good condition.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17333196
Panels,Yes,Not available,5,80 sq.m.,3,1,from 2.8 m,5,Multiple balconies,,Cosmetic Renovation,Armavir › Armavir,"$45,000",USD,Call for questionsTranslated from Armenian,Nov-25-2022_14-05,,,,,https://list.am/en/item/16496371
Stone,No,Not available,2,106 sq.m.,4,1,from 3 m,1,Open balcony,,Major Renovation,"Spandaryan Street, Vagharshapat","$65,000",USD,"A 4-room apartment is for sale in Echmiadzin, only 17 km away from Yerevan.It is located on the 1st floor of a 2-storey apartment building, which has a separate entrance, a small, fenced yard.The total area is 106.5 square metersLiving area - 88.5 square meters* Ceiling height: 3.00 mYard area - 18 square meters. M:*Consist of,Entrance hallliving roomkitchen3 bedroomsbathroomThe apartment is fully renovated, individual heating system is installed.The price includes all the property and equipment.• Kind Regards #AsatryanConsulting team:The best for you!Best for you!Luchshee for you!Lo mejor para ti!The best for you!最 适合 您Code 17578907Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17578907
Bricks,,,2,200 sq.m.,4,,,2,,,,Armavir › Echmiadzin,"28,000,000 ֏",AMD,Կապիտալ նորակառույց։ հողատարածքը 1700քառակուսի։ Սակարկելի,Nov-25-2022_14-05,,,,,https://list.am/en/item/12343316
Stone,No,Not available,5,68 sq.m.,3,1,from 2.8 m,3,Multiple balconies,,Old Renovation,"Gorki Street, Gyumri","$47,000",USD,"Продается 3-х комнатная квартира в центре города: 1 гостиная, 2 спальни. Подведены все коммуникации: Постоянная вода, газ, электричество, есть система отопления. Квартира солнечная, есть открытый балкон. Ванная комната выложена плиткой, а пол в комнатах паркет.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18003238
Stone,No,Not available,5,68 sq.m.,2,1,from 2.75 m,2,Open balcony,,Major Renovation,Armavir › Echmiadzin,"$55,000",USD,"2 for saleOne-room apartment Charentson the streetWith color, techniqueRenovatedFloor 2Code E0876Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17369988
Stone,No,Not available,5,71 sq.m.,3,1,from 2.7 m,1,Open balcony,Not available,Partial Renovation,Armavir › Echmiadzin,"$46,500",USD,"Code H174Apartment for saleAddress K. Etchmiadzin Aragats massifArea 72 square meters, of which 12 square meters are privateNumber of rooms 3 Floor 1 Has (BAXI) system Windows changed Has basement GarageHro:Call for details#Echmiadzin#Vagharshapat#Real_Property:#Apartment_for_saleTranslated from Armenian",Nov-25-2022_14-05,,,YArd view,,https://list.am/en/item/14279215
Stone,No,Not available,3,107 sq.m.,3,1,from 2.7 m,1,Not available,,No Renovation,Armavir › Armavir,"$40,000",USD,"3-room apartment on the 3/1 floor with an area of 104 square meters is for sale on Baghramyan street, Armavir city, Armavir region, near a new source. The apartment is in zero condition, can be used as a commercial area, has a front door and euro windows (with bars) For an additional fee, we will provide a basement and a garage. $ 40,000. Negotiable: H = 3.35Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/16516360
Stone,No,Not available,5,60 sq.m.,3,1,from 2.8 m,5,Closed balcony,,Old Renovation,"Mesrop Mashtots street 63, Vagharshapat","$48,000",USD,"3-room apartment is for sale in the center of Etchmiadzin, near the fountains. Renovation of old, hot-cold water, gas supply, euro windows, completely new roof. Call for details.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17275767
Stone,Yes,Not available,5,48 sq.m.,1,1,from 3 m,4,Closed balcony,,Euro Renovation,"Shahumyan street, Armavir","14,000,000 ֏",AMD,"1 room marked 2. Overhauled,With all amenities.Code 0041Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17781081
Panels,Yes,Not available,5,78 sq.m.,3,1,from 3 m,4,Closed balcony,,Cosmetic Renovation,"Sayat-Nova street, Armavir","$33,000",USD,It has gas supply and heating system.Code 0040Translated from Armenian,Nov-25-2022_14-05,,,,,https://list.am/en/item/17752873
Stone,No,Not available,5,100 sq.m.,4,1,from 2.8 m,2,Multiple balconies,Not available,No Renovation,"Վռամ Կոստանյան փողոց 4, Վաղարշապատ","$45,000",USD,Code BA-8010 The apartment is in Aragats district. State condition. Balcony open on 2 sides. On facebook Real estate in Ejmiatsin - Ansharj guyq EjmiacnumTranslated from Armenian,Nov-25-2022_14-05,,,"YArd view, street view",,https://list.am/en/item/17316328
Stone,No,Not available,5,89 sq.m.,3,1,from 2.7 m,4,Multiple balconies,Not available,Partial Renovation,Armavir › Echmiadzin,"$40,000",USD,"AS059:A 3-room apartment on the 5th/4th floor is for sale at the very beginning of Zvartnots. The apartment has been cosmetically renovated, the windows have been changed. The total area is 89 square meters. And there are 2 open balconies. The cost is $40,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17922508
Stone,No,Not available,4,80 sq.m.,3,1,from 2.6 m,2,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$55,000",USD,"The apartment is located in Etchmiadzin, not far from the center, in a stone building, it has all utilities, the ceiling height is 2.65m, it has an open balcony.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18222225
Stone,No,Not available,5,64 sq.m.,2,1,from 2.75 m,4,Closed balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$55,000",USD,"An apartment on the 5/2 floor is for sale on Shaumyan Street in Etchmiadzin, near the centerTranslated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17745371
Stone,No,Not available,5,80 sq.m.,4,1,from 2.75 m,5,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$46,000",USD,"Apartment in Zvartnots district, the apartment has all the communal facilities, has an open balcony, the roof is repaired, it is in average condition.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17406169
Stone,No,Not available,5,98 sq.m.,4,1,from 2.8 m,2,Open balcony,By agreement,Cosmetic Renovation,"Երևանյան խճուղի 71, Մերձավան","$75,000",USD,"A comfortable apartment is for sale in Merdzavan. The apartment is on the other side, it has all the amenities. It is close to the bus stop, there are shops, a school and a kindergarten nearby. For sale urgently, by the owner.Iron door, euro windows, bakdi.Translated from Armenian",Nov-25-2022_14-05,,,"YArd view, street view",,https://list.am/en/item/17584346
Stone,No,Not available,2,67 sq.m.,2,1,from 2.7 m,2,Open balcony,Not available,Old Renovation,Armavir › Armavir,"813,583 ֏",AMD,"The property is the Bank's collateral, which is at the ARCS auction.Apartment at 29 Lenughi 8, No. 29, Armavir region, 67-5 square meters, two rooms on the second floor of a two-story building, the walls are made of stone, the windows, the entrance doors are wooden, it has water, gas, there is no sewerage.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/14730561
Stone,No,Not available,2,1500 sq.m.,8+,1,from 3 m,2,Not available,,Old Renovation,Armavir › Baghramyan,"$80,000",USD,"Total area: 1500 m2.Area near the house: 10x15.2 floors, total 300m2. There is a storage room, a cellar, a shop (65m2), a half-built barn (60m2)1000m2 grape refreshments, 40 and more fruit, newly planted and fruit trees.Utilities: Gas, water, electricity, irrigation.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17154317
Stone,No,Not available,5,79 sq.m.,3,1,from 2.7 m,2,Open balcony,,Euro Renovation,Armavir › Echmiadzin,"$46,000",USD,"An unrenovated 3-room apartment on the 1st floor of a 5-story building is for sale in Etchmiatsin, at the beginning of Charents. It has a closed and open balcony and a basement under the whole house. Together with the stone garage, it will cost 3000 more.Code 18208Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/18215659
Stone,No,Not available,5,65 sq.m.,2,1,from 2.7 m,3,Multiple balconies,Available,Cosmetic Renovation,Armavir › Merdzavan,"$43,000",USD,"2-room apartment is for sale in Merdzavan community (Czech project), on the 3-rd floor of a five-story stone building. The total area is 65 square meters. Near the bus stop, first line.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17827068
Panels,No,Not available,5,81 sq.m.,3,1,from 2.7 m,5,Open balcony,,Euro Renovation,Armavir › Echmiadzin,"$60,000",USD,"In Etchmiadzin, in the center of Mashtots str. , On the 1st line, in a stone, not Khrushchev building, a 4-room connection turned into a 3-room apartment is for sale on the 5th floor of a 5-storey stone building. The roof is repaired. It has 2 open balconies, a basement. The kitchen and living room furniture is given with it.Code 17368Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17357505
Stone,No,Not available,5,100 sq.m.,4,1,from 2.75 m,1,Multiple balconies,By agreement,Designer Renovation,Armavir › Echmiadzin,"$82,000",USD,"Not far from Etchmiadzin polyclinic, a 4-room connection euro furnished apartment is for sale on the 1st floor of a 5-storey good stone building. It has a baxi, air conditioner, 2 open balconies, a huge yard and 2 entrances.Code 17562Translated from Armenian",Nov-25-2022_14-05,OUtdoor parking,"AIr conditioner, stove","YArd view, street view",,https://list.am/en/item/17960085
Stone,No,Not available,5,78 sq.m.,3,1,from 2.8 m,5,Closed balcony,Not available,Old Renovation,Armavir › Armavir,"15,000,000 ֏",AMD,"A three-room apartment is for sale in Armavir, 23 Silikyan second entrance, an apartment of 40, on the fifth floor of a five-story stone building, 78 sq. M. Newly built, next to a market called Sadakhlo, in front of the train station.Price is negotiable.Call only the numbers mentioned on Wiber, Whats App, or the same mobile number.Translated from Armenian",Nov-25-2022_14-05,,,,,https://list.am/en/item/17778113
