Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Condition
Country House,Stone,2514 sq.m.,2,4,1,Cosmetic Renovation,1556 sq.m.,Aragatsotn › Artashavan,"$100,000",USD,"Տունը գտնվում է Արտաշավան գյուղում, պտղատու ծառերով տարածք և կա նաև լողավազան։Տան բնակելի տարածքը 292մ քառակուսիTranslated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/16453618,
House,Stone,180 sq.m.,1,4,1,No Renovation,1000 sq.m.,Aragatsotn › Aparan,"4,000,000 ֏",AMD,The house is in a semi-constructed condition. The price is not final.Translated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/17990415,
House,Stone,508 sq.m.,1,8+,1,No Renovation,,Aragatsotn › Aparan,"$10,000",USD,A house for sale in a mansion in need of capital repairs is negotiableTranslated from Armenian,Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/14376400,
Country House,Stone,140 sq.m.,2,5,2,Major Renovation,4500 sq.m.,Aragatsotn › Oshakan,"$500,000",USD,"Summer house in Oshakan (Ashtarak) renovated with antique horse,There is an old winery (cellar) in the area, about 300 years old մեկ one house that is not renovated 200 m. Քռ. Area:Price - Negotiable:Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17610978,
House,Stone,100 sq.m.,1,3,1,Partial Renovation,1035 sq.m.,Aragatsotn › Ashtarak,"$50,000",USD,"Own house for sale in Ashtarak city, Mashtots 71, on the road to Oshakan. The total area of the plot is 1035 m2, there are many different fruit trees in the garden. At the beginning of the plot is the house, which has 100m2, 3 rooms, renovated, drinking water 24 hours, irrigation water 24 hours, the gas pipeline passes.Next to the plot gate. For detailed information, call the phone number;Price negotiableTranslated from Armenian",Nov-25-2022_00-25,By agreement,Not available,,,,https://list.am/en/item/18268629,
Country House,Stone,400 sq.m.,2,6,2,Partial Renovation,400 sq.m.,"Րաֆֆու փողոց 71, Աշտարակ",$100,USD,"Gas, light, water, euro windows, wooden doors, etc.Raffi street Ashtarak 72nd residential houseTranslated from Armenian",Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/17873760,
House,Stone,250 sq.m.,2,5,2,Partial Renovation,1000 sq.m.,Aragatsotn › Byurakan,"$50,000",USD,"A two-story apartment is for sale in Byurakan. The apartment is equipped with constant gas, water and electricity. It has a very convenient location, it is located in the center of the village on the main road, it has a garden with fruit trees.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18045306,
House,Stone,2800 sq.m.,2,5,1,Old Renovation,2600 sq.m.,Aragatsotn › Voskevaz,"$48,000",USD,"A two-story private house is urgently for sale in the village of Voskevaz, Aragatsotn marz (only 25 km from Yerevan) The total area is 2800 square meters. Permanent drinking and irrigation water. There are many fruit trees. The walls of the mansion are double-layered. Two basements, large bedrooms. Beautiful yard, view of Arai, Aragats and Ararat mountains. It is also available for rent on a contractual basis.Translated from Armenian",Nov-25-2022_00-25,Available,Not available,,,,https://list.am/en/item/18082699,
House,Stone,130 sq.m.,1,5,1,No Renovation,1400 sq.m.,Aragatsotn › Talin,"$11,700",USD,"Unfinished, solid building, spacious basement, address Rene Lonyan str. Home 44, call until 9:30 p. M.Translated from Armenian",Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/16489648,
House,Stone,150 sq.m.,1,4,2,Major Renovation,1200 sq.m.,Aragatsotn › Parpi,"$120,000",USD,"A newly built, capitally renovated private house is for sale in Parpi village, the total land is 1200 square meters, it is fenced, has a heating system, communal facilities, call for details.Translated from Armenian",Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/17944111,
House,Stone,164 sq.m.,2,5,2,Cosmetic Renovation,164 sq.m.,"Միքայել Նալբանդյան փողոցի 7-րդ փակուղի 1, Օշական","$21,000",USD,"Private house for sale in Oshakan village, for details call 965чорс55Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17738792,
House,Stone,340 sq.m.,3,6,1,Major Renovation,"10,000 sq.m.",Aragatsotn › Ashtarak,"$300,000",USD,"A luxurious summer house is for sale in Oshakan. A very large area on the shores of the Kasakh River, can serve as a recreation area with a wonderful view of nature. Price is negotiable.Code 54321Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17568736,
House,Stone,120 sq.m.,1,6,1,Major Renovation,600 sq.m.,Aragatsotn › Ashtarak,"$75,000",USD,"A fully renovated one-story private house is for sale in Oshakan, with a wonderful view of the Kasakh River. Come and see for yourself. The price is negotiable.Code 100922Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18296297,
House,Stone,246 sq.m.,2,7,1,Partial Renovation,1013 sq.m.,Aragatsotn › Ashtarak,"150,000 ֏",AMD,"A two-story private house is for rent in Ashtarak. On the first floor there is a pantry, bathroom, kitchen, bedroom.4 bedroom living room on the second floor. With all utilities. BAXI system. The garden is productive and well developed. The house is located in a very good neighborhood of Ashtarak.Code 22288Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18179336,
House,Stone,100 sq.m.,1,3,1,Partial Renovation,700 sq.m.,Aragatsotn › Ashtarak,"$60,000",USD,A private house with all communal facilities is for sale in Ashtarak. BAXi system is available. The house has a garage.Code 197811Translated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/17840970,
House,Stone,200 sq.m.,2,5,1,Partial Renovation,800 sq.m.,Aragatsotn › Ashtarak,"$55,000",USD,"A private house is for sale in Ashtarak, in a very good district.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/15204790,
House,Stone,150 sq.m.,1,4,1,Partial Renovation,1130 sq.m.,Aragatsotn › Ashtarak,"$45,000",USD,"A private house is for sale in Ashtarak. With all utilities. Permanent water. The house only needs interior decoration. Orchard, there is a tonratun in the yard.Code 889900Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17731681,
House,Stone,70 sq.m.,1,2,1,Partial Renovation,300 sq.m.,Aragatsotn › Ashtarak,"$44,000",USD,"A small, comfortable private house with all its communal facilities is for sale in the central part of Ashtarak.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17693413,
House,Stone,500 sq.m.,4+,8+,2,No Renovation,2000 sq.m.,Aragatsotn › Ashtarak,"$70,000",USD,"A newly built uninhabited house is for sale in Oshakan very urgently. The house needs interior decoration. The price is negotiable. If you are interested, call the mentioned phone number.Code 19990Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17854413,
House,Stone,400 sq.m.,2,6,1,Partial Renovation,1000 sq.m.,Aragatsotn › Ashtarak,"$75,000",USD,A spacious private house with all the communal facilities is for sale in a very quiet district of Ashtarak. The price is not final.Code 22330Translated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/17233013,
House,Stone,300 sq.m.,2,4,1,Old Renovation,1600 sq.m.,Aragatsotn › Ashtarak,"$63,000",USD,"Own house for sale in Oshakan, 300 square meters. The house has 3 bedrooms, 1 living room, large hallway, kitchen.The entire first floor of the house is a basement with a bathroom.The land area is 1200 square meters, on the bank of the Kasakh river. The price is negotiable.Code 110922Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18301137,
House,Stone,240 sq.m.,2,5,1,No Renovation,600 sq.m.,Aragatsotn › Ashtarak,"$42,000",USD,A newly built private house is for sale in Ashtarak.Translated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/16969710,
House,Stone,110 sq.m.,1,4,1,Partial Renovation,2000 sq.m.,Aragatsotn › Ashtarak,"$75,000",USD,"A private house is for sale in the central street of Ashtarak city, which can also serve as a recreation area, guest house. The house is habitable, renovated. Some parts need cosmetic repairs. On the first floor of the house there are 2 cellars with arches, which will not leave any guest indifferent. The cellars can serve as wineries, where tourists can taste the delicious Armenian grape wine. Ashtaraki flows in the garden. The garden is fruitful, the land is fertile. The price is negotiable.Code 310822Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18254671,
House,Stone,310 sq.m.,2,8+,1,No Renovation,1200 sq.m.,Aragatsotn › Ashtarak,"$50,000",USD,A large uninhabited private house is for sale in Ashtarak. The price is negotiable.Translated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/12334677,
House,Monolith,100 sq.m.,1,4,1,Partial Renovation,1500 sq.m.,"Shirak street 1-st lane, Yerevan","13,000,000 ֏",AMD,"A private house is for sale in the center of Kuchak village. It has gas, electricity, water. There are fruit trees on the plot. Call for details.Translated from Armenian",Nov-25-2022_00-25,By agreement,Not available,,,,https://list.am/en/item/18355820,
House,Stone,100 sq.m.,1,4,1,Old Renovation,,Aragatsotn › Byurakan,"$45,000",USD,"Վաճառվում է սեփական տուն հողամասով գ. Բյուրականի կենտրոնում,Բնակելի տարածքը 100քմ, հողամասը 1300քմ, տուն ունի կոմունալ հարմարություն, գազ, լույս, ջուր, հողամասում կա պտղատու ծառեր։ Կփոխանակեմ ք. Աշտարակում 3 սենյականոց բնակարանի հետ",Nov-25-2022_00-25,,,,,,https://list.am/en/item/14091803,
House,Stone,288 sq.m.,2,4,1,Cosmetic Renovation,930 sq.m.,"Թամազյան փողոց 189/3, Աշտարակ","$120,000",USD,"288 sq. M. Renovated stone house is for sale.Iron entrance door, thermo-aluminum windows are installedThe house has two floors, on the first floor there is a basement, a garage for three cars, in the yard - a barbecue, the second floor is residential, there are four bedrooms, a large living room, a dining room, a kitchen, one bathroom, the house has all the amenities, is located on Tamazyan street in AshtarakIt has a large balcony with a beautiful view of the 930 sq. M. Orchard (apricot, peach, apple, cherry, nut, hazelnut, quince, plum, cherry, mulberry, almond, thorn, grape)Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17488878,
House,Stone,135 sq.m.,1,5,1,Partial Renovation,800 sq.m.,"Shahumyan S 1, Talin","$35,000",USD,"House for sale in Talin, in case of partially repaired questions, callTranslated from Armenian",Nov-25-2022_00-25,Available,1 spot,,,,https://list.am/en/item/16392653,
House,Stone,600 sq.m.,3,8+,3+,Old Renovation,5300 sq.m.,Aragatsotn › Ashtarak,"$190,000",USD,"G Ushi, 2 swimming pools, sauna, sports hall, billiards, auxiliary building, bakery, cattle shed, garage, stone barbecue, with furniture. (below convenient hotel) fruit trees, fenced. , electricity, generator (own water line, electricity, three-phase sep, line, waterTranslated from Armenian",Nov-25-2022_00-25,Available,3 or more spots,,,,https://list.am/en/item/14265605,
House,Stone,198 sq.m.,2,5,1,Old Renovation,400 sq.m.,Aragatsotn › Ashtarak,"$40,000",USD,"Own house for sale in the center of Ashtarak city. There is gas, water, electricity (also three-phase) Located in the center of the city, but in a peaceful neighborhood.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/16084837,
House,Stone,170 sq.m.,1,3,1,No Renovation,,Aragatsotn › Voskevaz,"$28,000",USD,Ունի նավ այգի енданур 882 мк,Nov-25-2022_00-25,,,,,,https://list.am/en/item/15785358,
House,Stone,200 sq.m.,2,5,2,No Renovation,1200 sq.m.,Aragatsotn › Aragatsotn,"$20,000",USD,A half-built house is for sale in the 5th State FarmTranslated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/11549170,
House,Stone,226 sq.m.,2,7,2,Old Renovation,800 sq.m.,Aragatsotn › Ashtarak,"$85,000",USD,"A two stored house is for sale in Ohanavan village. The area of the residential building is 226 square meters, the area of the land is 800 square meters. It consists of 7 rooms, 2 bathrooms, there are 2 barns of 35 square meters, a garage of 26 square meters.Sale price: 85․000 USDCode: AH-T80Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/16721947,
Country House,Stone,264 sq.m.,3,1,3+,Major Renovation,1000 sq.m.,Aragatsotn › Ashtarak,"$360,000",USD,"A luxurious three-story country house is for sale in the village of Ohanavan. There is a swimming pool, a sauna, a Turkish bath, a hydromassage pool, a separate spa room with a hydromassage pool, a solarium. There is a large swimming pool in the yard, which has a view of the valley.Selling price: 360,000 USDCode: AH-T75Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/16722098,
Country House,Stone,200 sq.m.,2,7,2,No Renovation,1280 sq.m.,Aragatsotn › Byurakan,"31,000,000 ֏",AMD,"The fenced 1280 square meter plot of land with a two-story building of 200 square meters is located in the center of Byurakan, near the spring.There are 5 popok trees and 1 mulberry treeIs availableDrinking waterDrinking waterGas:ElectricityPROMOTION:A significant discount will be given to the real buyer this yearTranslated from Armenian",Nov-25-2022_00-25,,1 spot,,,,https://list.am/en/item/17635262,
House,Stone,2000 sq.m.,1,3,1,Major Renovation,,Aragatsotn › Talin,"$60,000",USD,"Private house for sale, the house has 3 rooms, euro windows, iron door, basement, natural gas, there are various fruit trees in the gardenTranslated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/10351785,
Country House,Monolith,855 sq.m.,2,5,2,Old Renovation,640 sq.m.,Aragatsotn › Antarut,"$60,000",USD,"It is located in the central part of the village. The bass is available. In front of the house there is a garden with various fruit trees. The big store is nearby. For details, call the mentioned phone number.Translated from Armenian",Nov-25-2022_00-25,Available,Not available,,,,https://list.am/en/item/16748522,
Country House,Stone,160 sq.m.,3,4,1,Old Renovation,2000 sq.m.,Aragatsotn › Aghdzk,"$32,000",USD,Summer house for sale 30 km from Yerevan Electricity Fruit trees beautiful view of Mount AraratTranslated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/17701587,
House,Monolith,250 sq.m.,2,5,1,Old Renovation,1000 sq.m.,Aragatsotn › Mastara,"22,000,000 ֏",AMD,"Capital building, electricity, fruit trees, apricots, walnuts, cherries, etc. , has a sewer, the possibility of adding, the area is suitable for permanent living as a look, as a summer house or from a business point of view, in case of investment can serve as eco-tourism, mini hotel, located in the area of Mastara Church of historical and cultural value, St. Hovhannes, Mastara village is located on the north-south road, the village school is nearby, there are various shops nearby, for more information call the mentioned number...Translated from Armenian",Nov-25-2022_00-25,By agreement,2 spots,,,,https://list.am/en/item/16289360,
House,Stone,240 sq.m.,2,4,1,Partial Renovation,1300 sq.m.,"6th Street, Kosh","$40,000",USD,"The house is located in Kosh village.It has two floors. Has a plot of land.It is provided with communal facilities.Has a barn, garage.Code 9755Translated from Armenian",Nov-25-2022_00-25,By agreement,Not available,,,,https://list.am/en/item/17734438,
House,Stone,359 sq.m.,2,4,1,Partial Renovation,690 sq.m.,"Ճանապարհորդ Լինչի փողոց 36Ա, Աշտարակ","$75,000",USD,"The house has all the utilities, heating (baxi)2 garages on the ground floor, a garden with fruit trees. Address Lynch 83/1.An exchange with an adequate apartment is possible.Translated from Armenian",Nov-25-2022_00-25,Not available,3 or more spots,,,,https://list.am/en/item/17672636,
Country House,Stone,264 sq.m.,3,1,3+,Major Renovation,1000 sq.m.,Aragatsotn › Ashtarak,"$360,000",USD,"A luxurious three-story country house is for sale in the village of Ohanavan.Available:swimming poolsaunaTurkish bathhydromassage poola separate spa room with hydromassage pool, solariumThere is a large swimming pool in the yard, which has a view of the valley.Selling price: 360,000 USDCode: GS-T75Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/16745895,
House,Stone,100 sq.m.,2,3,1,Cosmetic Renovation,3000 sq.m.,Aragatsotn › Ashtarak,"$75,000",USD,"Продается, дом со всеми удобствоми, дом находится не подолеку Городоа Аштарак, Дом имеет все необходимые комунальные удобства имеет участок 3000м, по всем вопросам можете связаться по указоному номеру",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17537819,
House,Stone,150 sq.m.,1,4,1,Euro Renovation,2600 sq.m.,Aragatsotn › Oshakan,"$65,000",USD,"Own house with all utilities for sale. It has an orchard, heating system, garage, pantry.NegotiableTranslated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18352160,
Country House,Stone,800 sq.m.,3,8+,3+,No Renovation,600 sq.m.,"1-й тупик улицы Набалдяна, Ошакан","12,500,000 ֏",AMD,Exchange with a car for an additional feeTranslated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/15992161,
House,Stone,380 sq.m.,2,8+,2,Cosmetic Renovation,3000 sq.m.,Aragatsotn › Ushi,"$260,000",USD,"Վաճառվում է տուն Ուշիում:Ունի պտղատու այգի, լողավազան, տաղավար, Ավտոկայանատեղի 8 + մեքենաների համար: Մանրամասն տեղեկության համար զանգահարել մինչև 21:00Продается или сдается в аренду дом в 25-28 км от центра Еревана (село Уши) В доме есть все удобства (интернет, кондиционер, телевизор, беседка, мангал, бассейн, паркинг для 8 + машин), могут прожить несколько семей (10 + человек) Цена по договоренности.Ushi аренда продажа жилье дом",Nov-25-2022_00-25,By agreement,3 or more spots,,,,https://list.am/en/item/18291130,
House,Stone,120 sq.m.,1,5,1,Old Renovation,8000 sq.m.,"Atoyan Street, Եղիպատրուշ","$30,000",USD,The house is old and renovatedTranslated from Armenian,Nov-25-2022_00-25,Available,3 or more spots,,,,https://list.am/en/item/16976639,
House,Stone,750 sq.m.,2,4,2,Partial Renovation,600 sq.m.,Aragatsotn › Ashtarak,"$100,000",USD,"I am selling and exchanging my own two-story house at Proshyan address in Ashtarak city. I am the owner.The total area is 750 square meters.Land 600 square metersEach floor of the house is 150 square meters.On the first floor there is a large hall, a kitchen, a separate toilet and a large dryer.On the second floor there are 4 rooms, a large hall and a toilet. From the windows of the rooms you can see a beautiful view of Mount Masis and 80% of the city of Ashtarak.The house has a balcony the length of the house.It has all utilities (hot and cold), water, gas, electricity.Price AMD equivalent to 100,000 dollarsTranslated from Armenian",Nov-25-2022_00-25,,1 spot,,,,https://list.am/en/item/18147030,
House,Panels,56 sq.m.,1,2,1,Cosmetic Renovation,,"Գարեգին Նժդեհի փողոց 2, Ապարան","$23,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/18251683,
House,Stone,80 sq.m.,2,3,1,Cosmetic Renovation,523 sq.m.,Aragatsotn › Aparan,"$20,000",USD,"СРОЧНО! Продам дом в Апаране в районе Кучак. Участок фасадный со стороны трассы, в 5-минутах езды от знаменитого, туристического Гнтуника. Участок огорожена качественным металлическим забором, есть гараж. Вода и электричество подведена. Участок находится в тихом и уютном местечке. Цена окончательная!",Nov-25-2022_00-25,Available,1 spot,,,,https://list.am/en/item/17994999,
House,Stone,800 sq.m.,2,6,1,Cosmetic Renovation,300 sq.m.,Aragatsotn › Agarak,"$58,000",USD,"2-storey stone house is for sale in Agarak village, Aragatsotn region. Cosmetically repaired natural gas has all the amenities @.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17699779,
House,Stone,260 sq.m.,1,6,1,Euro Renovation,2000 sq.m.,"Baghramyan street, Talin","$30,000",USD,"6-room private house (260 sq. M.) with its land / orchard (2000 sq. M.) and garage (30 sq. M.) for sale in Tatul village, Aragatsotn region.The house is provided with all the communal facilities - kitchen, bathroom, living room, corridor, heating system, European windows, permanent drinking water, gas, electricity, sewerage.The bathroom is tiled, the windows are euro, it has Bax heating system, the price includes kitchen furniture, you can buy it only in cash.Sale by the owner, the price is negotiable.There is a separate storage building in the yard. In addition to the convenience of living, after a certain project change, the area is also very suitable for any kind of business activity.An exchange with an apartment in Yerevan is possible.Price: $ 30,000Translated from Armenian",Nov-25-2022_00-25,,1 spot,,,,https://list.am/en/item/17755462,
House,Monolith,250 sq.m.,2,8+,3+,Major Renovation,2500 sq.m.,Aragatsotn › Agarak,"$350,000",USD,"In the village of Agarak, 24 km from Yerevan, a newly built, beautiful two-story private house-summer house is for sale.The total area of the land: 2500 sq/mTotal area of the building: 250 sq/mThe house has:Entrance hall2 living rooms, one with a fireplaceseparate kitchen3 bedrooms, one of them with its own bathroom1 bathroom2 open balconiesstorage roomThe mansion is located on the bank of the river. It has a beautiful, green garden, where there are decorative and fruit trees and bushes (spruce, mulberry, walnut trees, etc.) In the courtyard there is a separate guest building with its own living room, bedroom, kitchen and bathroom. There is also an outdoor pavilion, a summer kitchen with its grill. There is a garage for 1 car.The heating is carried out by electric current, there is a possibility of drawing gas. Installed 2 years ago. Capacity drinking water tank, there is also a 10kW power generator.The house is fenced, a video surveillance and video recording system is installed.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18350175Translated from Armenian",Nov-25-2022_00-25,Available,1 spot,,,,https://list.am/en/item/18350175,
House,Stone,200 sq.m.,1,4,1,Major Renovation,1400 sq.m.,Aragatsotn › Aparan,"$65,000",USD,"A newly built private house is for sale, which is also a working guest house.European renovated, furnished, hot and cold water.200 sq. M. Area, 1400 square meters of land.A beautiful view of Aragats mountain opens from the house.200 square meters Basement that can be used for production etc.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18010973,
House,Stone,241 sq.m.,2,3,1,Cosmetic Renovation,410 sq.m.,Aragatsotn › Kosh,"$55,000",USD,"The surface of the two-story stone house is 241 square meters, the plot is 0.41 ha.For more information call:Translated from Armenian",Nov-25-2022_00-25,,1 spot,,,,https://list.am/en/item/18150961,
Country House,Monolith,78 sq.m.,2,2,1,No Renovation,,"24-րդ փողոց 2, Աղձք","$15,000",USD,2 этажный дом. Дачный паселк село Ахцк. Есть электричество и поливная вода,Nov-25-2022_00-25,Available,1 spot,,,,https://list.am/en/item/15208534,
Country House,Stone,300 sq.m.,2,5,2,Designer Renovation,,Aragatsotn › Ashtarak,"$450,000",USD,"Կոդ-K-7556Վաճառվում է 2 հարկանի 5 սենյականոց առանձնատուն Ագարակ գյուղում (Ագարակ գյուղ, մայրուղու հարևանությամբ) ։ Առանձնատունը նորաոճ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ պրեսգրանիտ, սանհանգույցը՝ նորաոճ սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի հանդերձարան, ավտոտնակ (35քմ․), ծածկապատշգամբ, ազատ հող (2300քմ․), բակ, այգի՝ դեկորատիվ և պտղատու ծառերով, ծաղկանոց, ջրավազան, բուխարի, ամառային խոհանոց, օդորակիչ, ներկառուցված պահարան, խոհանոցի կահույք, մշտական ջուր։ Բակում առկա է ևս 1 նորակառույց, 2 սենյականոց տուն՝ խոհանոցով և սանհանգույցով։ Տեսարանը՝ դեպի բակ։ Ընդհանուր մակերեսը՝ 2508քմ․։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for sale in Agarak village. The rooms' quantity is 5 (1 hall and 4 bedrooms) The house is in the modern renovated. The entrance door is iron-made, the windows are euro-based, the floor is covered by solid granite. The bathroom is modern tiled, the electric wires and pipes are newly changed. The house has a garage (35SqM), veranda, plot (2300SqM), garden with fruitful and decorative trees, flower garden, pool, fireplace, summer kitchen, air-conditioner, built-in closet, kitchen furniture and is supplied with constant water. The house also has 2 room monolith house with kitchen and bathroom. The view is towards yard.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.Agarak",Nov-25-2022_00-25,,,,,,https://list.am/en/item/15009701,
House,Stone,1350 sq.m.,2,4,1,No Renovation,1350 sq.m.,Aragatsotn › Aragatsotn,"$75,000",USD,"Call for details.Aragatsotn village of Aragatsotn region.A water heater is installed.A system with a capacity of 3 kW.Candidate. 1 ton of water yard.The windows are metal-plastic. Living room, kitchen, bathroom,2 bedrooms are fully renovated.There is a basement, a garage, a cellar, a poultry house, a barn, fruit trees.Call for details.Translated from Armenian",Nov-25-2022_00-25,By agreement,1 spot,,,,https://list.am/en/item/16196419,
House,Stone,160 sq.m.,1,5,1,Partial Renovation,1300 sq.m.,"Nerses Ashtaraketsu square 7, Ashtarak","$53,000",USD,"The house is for sale together with the land, the plot is separate and mortgagedTranslated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/4180312,
Country House,Stone,100 sq.m.,1,3,1,No Renovation,1362 sq.m.,"Մարշալ Բաղրամյան փողոց 10/5Ա, Ապարան","$30,000",USD,"I am selling a private house in Kuchak village, newly built, it has a living area of 100 sq. M. Մ. , land 1362 sq. M. M: The house is suitable as a summer house, as a farming activity (cattle breeding, beekeeping, etc.) The house is in a free area. Real address: 16 Kuchak village, Aparan, st. 16 housesTranslated from Armenian",Nov-25-2022_00-25,Not available,1 spot,,,,https://list.am/en/item/13437196,
House,Stone,200 sq.m.,2,7,2,No Renovation,1200 sq.m.,"Ashot Hovhannisyan Street 12, Yerevan","$47,000",USD,"Երկու հարկանի քարե տուն մեծ այգիով 1200քմ տունը ունի կոսմետիկ վերանորոգման կարիք տանիքը նոր խմելու և ոռոգման ջուր միշտ կա սանհանգուց մառան գինու տակառներով բերքատու ծառեր նաև փոխանակում Երևանում բնակարանի հետ ։Двухэтажный каменный дом с большим садом 1200 кв. М В доме требуется косметический ремонт, крыша новая, всегда есть питьевая и поливная вода, с/у, погреб с винными бочками, плодовые деревья, Обмен на дом или квартиру в Ереване. 23 km от Еревана",Nov-25-2022_00-25,Available,2 spots,,,,https://list.am/en/item/15857802,
House,Stone,216 sq.m.,2,8+,3+,Partial Renovation,1600 sq.m.,Aragatsotn › Ashtarak,"$180,000",USD,"A 2-storey stone house is for sale in the beginning of Ashtarak city. The house has all the amenities: Individual heating system, European windows, iron door and gate, large garage, cellars and pantry. On the first floor there is a large living room, one bedroom, bathroom, kitchen and pantry. On the second floor, a large living room, 4 bedrooms, a bathroom, a kitchen and a large open balcony. The house is surrounded by a large orchard, where an open-air pavilion has been built. A summer kitchen, a brick oven for cooking barbecue and another bathroom are built near the pavilion. The house is surrounded by a high stone wall.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18291163,
Country House,Stone,67 sq.m.,2,2,1,Cosmetic Renovation,"22,000 sq.m.",Aragatsotn › Aragatsavan,"$30,000",USD,"House with its yard, 50 meters away, apricot orchard 3500 m / 2, barn with its area, 1.6 hectares of arable land, all with ownership certificate, the house is in good condition, gas supply, hot and cold water.1.6 hectares of arable land @ minus $ 28,000Translated from Armenian",Nov-25-2022_00-25,Available,Not available,,,,https://list.am/en/item/16519087,
House,Stone,250 sq.m.,1,6,1,Partial Renovation,850 sq.m.,Aragatsotn › Aragatsavan,"$25,000",USD,"House @ is in normal condition, has a barn next to it with a yard, a garage with a basement, the front of the house is 30 meters more, there is a garden behind the house. Has a certificate of ownership, very urgent sale, negotiable.Translated from Armenian",Nov-25-2022_00-25,Available,3 or more spots,,,,https://list.am/en/item/17036056,
House,Stone,380 sq.m.,2,6,1,Euro Renovation,1500 sq.m.,Aragatsotn › Ashtarak,"$150,000",USD,"Code 10909 A two-storey private house is for sale in Ashtarak, in Oshakan village. The house is euro-renovated. It has a swimming pool, a separate summer kitchen, a fenced orchard. It also has a separate plot of 2,000 square meters near the house, the price is $ 20,000.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/11049542,
