Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links
Office Space,90 sq.m.,"Nalbandyan street, Armavir","150,000 ֏",AMD,"The area is located on the second floor of the ""ISAHAKYAN CENTRE"" building. Office containerTranslated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18545337
Office Space,90 sq.m.,"Nalbandyan street, Armavir","150,000 ֏",AMD,"The area is located on the second floor of the ""ISAHAKYAN CENTRE"" building. Office containerTranslated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18545342
Automotive Service,220 sq.m.,"Զվարթնոց թաղամաս, Վաղարշապատ","150,000 ֏",AMD,"A two-story commercial space is for rent or sale on the Yerevan-Echmiadzin main highway in Zvartnots. The total area is 220 square meters, of which 150 is the building. The commercial area is suitable for vulcanizing, (boxer) car washes, and other businesses. The price is AMD 150,000 for rent, and $150,000 for sale. It is also exchanged for a 2-3 room apartment, with an additional payment from you.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,"Outdoor parking, covered parking, garage",Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18659897
Office Space,100 sq.m.,Armavir › Armavir,"100,000 ֏",AMD,"We give half the price to the store, call for the priceTranslated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18530382
Agricultural Space,4500 sq.m.,Armavir › Taronik,"90,000 ֏",AMD,"Livestock building for rent in Zeva village of Echmiadzin.Two livestock buildings built on a 4.5ha plot of land.No electricity, gas, water (hot and cold) very suitable for ready-made business.Call for other questions.Translated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18412826
Retail Space,24 sq.m.,"Մխիթար Հերացու փողոց 8/1, Արմավիր","50,000 ֏",AMD,"A 24 square meter area is for rent, which was used as a vegetable shop. The shop has all the necessary things to run a vegetable shop. If you wish, you can carry out other activities. It is located on Heratsi Street in Armavir city, next to the newly built church.Translated from Armenian",Dec-15-2022_21-29,Available,Not available,First Line,Common from the Courtyard,,Direct Lease,1 month,1 month,Included,https://list.am/en/item/18460272
Retail Space,271 sq.m.,"Էջմիածին փողոց 140, Պտղունք","420,000 ֏",AMD,"25 m. In length, 12 m. The width is 271 square meters. Newly built commercial area with a total area, with three-phase electricity and round-the-clock water supply, in front of the building is the entire length of the building and 11 m. Wide parking space. The area is located on the Yerevan-Echmiadzin highway (near Musaler village, Ptghunk community)Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,3 years,Without prepayment,Not included,https://list.am/en/item/18386928
Industrial and Manufacturing,300 sq.m.,"Էջմիածնի խճուղի 18, Ապագա","800,000 ֏",AMD,A dairy factory for rent with all its facilities. Tani Panri Ttvaseri Milk Curd. Owned by Sarnara.Translated from Armenian,Dec-15-2022_21-29,Available,Not available,First Line,Separate from the Street,"Outdoor parking, covered parking, garage",Direct Lease,5 years,By Agreement,Not included,https://list.am/en/item/18601688
Multifunctional Space,650 sq.m.,Armavir › Parakar,"520,000 ֏",AMD,"Multipurpose space for rent in Parakyar.There are buildings on the premises that can serve as workshop space and some for storage. The area of the spare part is 650 square meters, AMD 800 per square meter.The area of the production area is 1600 square meters, 1 square meter costs AMD 700.For details, you can call the indicated phone number and the same numberwhatsapp (+ 374)viber (+ 374)Translated from Armenian",Dec-15-2022_21-29,By agreement,Not available,First Line,Separate from the Street,,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/18432930
Industrial and Manufacturing,400 sq.m.,Armavir › Echmiadzin,"400,000 ֏",AMD,"Production space for rent.The area is under video surveillance, there is a security system, WiFi, three-phase water, constant water.There is parking for trucks and cars.Next to Etchmiadzin-Yerevan highway.Translated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18494524
Retail Space,80 sq.m.,"Jivani street 15, Armavir","180,000 ֏",AMD,"Area 4 rooms. Renovated, suitable for both commercial and office use (call this number - zero, ninety eight, twenty six, zero, zero, seventy)Translated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18464931
Multifunctional Space,1200 sq.m.,Armavir › Echmiadzin,"$1,000",USD,Сдаётся площадь от собственника,Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18562642
Everything Else,80 sq.m.,"Vazgen Arajin street, Vagharshapat","250,000 ֏",AMD,"For rent, call for detailsTranslated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18551391
Agricultural Space,800 sq.m.,Armavir › Echmiadzin,"75,000 ֏",AMD,"Cattle farm for rent, intended for pigs, but can be used for other animals. Livestock farm premises 5.30 / 7.30 plot premises 800 square meters fenced on the main roadTranslated from Armenian",Dec-15-2022_21-30,,,,,,,,,,https://list.am/en/item/18522782
Office Space,1600 sq.m.,"Մեսրոպ Մաշտոցի փողոց, Վաղարշապատ","2,000,000 ֏",AMD,A lot for the innovation center tooTranslated from Armenian,Dec-15-2022_21-30,,,,,,,,,,https://list.am/en/item/18414802
Office Space,50 sq.m.,"Jivani street 15, Armavir","120,000 ֏",AMD,The apartment has two rooms and a bathroom. It is located in front of cheese and bread with a detailed greetingTranslated from Armenian,Dec-15-2022_21-30,,,,,,,,,,https://list.am/en/item/18023745
Hotel,600 sq.m.,"Մերձավանի խճուղի 1, Փարաքար","1,000,000 ֏",AMD,"It is an active business. 10 rooms with their own bathrooms. Some rooms have sauna, swimming pool. All rooms have air conditioning. Has a kitchen. It's on the way. The rent of the entire hotel is AMD 1,000,000 per monthTranslated from Armenian",Dec-15-2022_21-30,,,,,,,,,,https://list.am/en/item/18461590
Retail Space,111 sq.m.,"Mesrop Mashtots street, Vagharshapat","550,000 ֏",AMD,"A two-story space is for rent in Etchmiadzin, with a total area of 111 square meters. It also has a basement. The area is located in the central part of Etchmiadzin city. The space is multifunctional and can be used for office as well as other types of activities.Translated from Armenian",Dec-15-2022_21-30,,,,,,,,,,https://list.am/en/item/18477164
Automotive Service,80 sq.m.,Armavir › Echmiadzin,"100,000 ֏",AMD,The rental price is finalTranslated from Armenian,Dec-15-2022_21-30,,,,,,,,,,https://list.am/en/item/18449655
